id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311441156270686208,2020-09-30 23:01:51,"RT @ct_races: You are just so ignorant / doo-dah, doo-dah…",None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ct_races', 'name': 'Camptown Races', 'id': 1137442532, 'id_str': '1137442532', 'indices': [3, 12]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
2,1311426026824704006,2020-09-30 22:01:44,"RT @BletchleyRoll: Mary Sears (Large) - Bletchley Park October 1944 - September 1945. Naval Section, clerk.",None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BletchleyRoll', 'name': 'Women of Bletchley', 'id': 2992120279, 'id_str': '2992120279', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
3,1311410942819921921,2020-09-30 21:01:48,"RT @bublbobl_ebooks: ICH/FUJISUE UwDs""""p DfDf"""" bcdef &lt;xZiZ YSH: xiZi sDsE ZxZx",None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bublbobl_ebooks', 'name': 'BUBBLE BOBBLE EBOOKS', 'id': 1314713449, 'id_str': '1314713449', 'indices': [3, 19]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,fi,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
4,1311380639619391489,2020-09-30 19:01:23,RT @Homestar_ebooks: I will literally do whatever comes out of that sweet rectangular mouth next.,None,None,None,None,None,0,15,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Homestar_ebooks', 'name': 'homescare_eek!books???\u200d??', 'id': 1191681048, 'id_str': '1191681048', 'indices': [3, 19]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
5,1311365427692478464,2020-09-30 18:00:56,RT @SchmeichelBot: Ohne Dich haette das Leben keinen Sinn!,None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SchmeichelBot', 'name': 'Schmeichel Bot', 'id': 57146860, 'id_str': '57146860', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,de,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
6,1311350408040845312,2020-09-30 17:01:15,RT @BletchleyRoll: Agnes G P Shearer (Allan) - Bletchley Park 1943 - 1945. Block D(3). Compiled information on German scientists.,None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BletchleyRoll', 'name': 'Women of Bletchley', 'id': 2992120279, 'id_str': '2992120279', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
7,1311335490285699080,2020-09-30 16:01:58,RT @BletchleyRoll: Joan Dodd - Bletchley Park January 1944 - March 1945. Eastcote March - June 1945. Bombe operator.,None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BletchleyRoll', 'name': 'Women of Bletchley', 'id': 2992120279, 'id_str': '2992120279', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
8,1311320264442089472,2020-09-30 15:01:28,RT @Every3Minutes: In the antebellum U.S.  a human being's parent was just sold.,None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Every3Minutes', 'name': 'Every Three Minutes', 'id': 2899773086, 'id_str': '2899773086', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
9,1311305282199449600,2020-09-30 14:01:56,RT @BletchleyRoll: Vera Cox - Forest Moor 1943 - 1944. Intercept operator.,None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BletchleyRoll', 'name': 'Women of Bletchley', 'id': 2992120279, 'id_str': '2992120279', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,ro,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
10,1311290077042147329,2020-09-30 13:01:31,"RT @BletchleyRoll: B M Cooper - Bletchley Park May 1943 - August 1945. Naval Section,, NS II and NS III, Japanese.",None,None,None,None,None,0,1,Best Of The Bots,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BletchleyRoll', 'name': 'Women of Bletchley', 'id': 2992120279, 'id_str': '2992120279', 'indices': [3, 17]}], 'urls': []}",684,False,253,False,BestOf TheBots,False,False,en,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",False,BestOfTheBots,57032,False,False
