id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31146E+18,9/30/2020 23:59,"AutoEQ Ml2.8 2020-09-30 23:57 UTC [2020-09-30 16:57 PDT] 2 mi ENE of Westmorland, CA depth 09 km https://t.co/MNtmfNaJNL",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MNtmfNaJNL', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641280#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
2,1.31145E+18,9/30/2020 23:47,"AutoEQ Ml3.0 2020-09-30 23:45 UTC [2020-09-30 16:45 PDT] 2 mi ENE of Westmorland, CA depth 03 km https://t.co/Gk4HdLYcV4",None,None,None,None,None,0,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Gk4HdLYcV4', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641176#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
3,1.31145E+18,9/30/2020 23:41,"AutoEQ Ml3.0 2020-09-30 23:39 UTC [2020-09-30 16:39 PDT] 3 mi E of Westmorland, CA depth 07 km https://t.co/G7G5vXSBIo",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G7G5vXSBIo', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641136#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [95, 118]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
4,1.31145E+18,9/30/2020 23:40,"AutoEQ Ml3.0 2020-09-30 23:38 UTC [2020-09-30 16:38 PDT] 2 mi ENE of Westmorland, CA depth 03 km https://t.co/917E7lJWff",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/917E7lJWff', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641112#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
5,1.31145E+18,9/30/2020 23:36,"AutoEQ Ml3.3 2020-09-30 23:34 UTC [2020-09-30 16:34 PDT] 1 mi NE of Westmorland, CA depth 01 km https://t.co/zKf3A82gZo",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zKf3A82gZo', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641088#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [96, 119]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
6,1.31145E+18,9/30/2020 23:35,"AutoEq #EarthquakeSwarm rate increase for #BrawleySeismicZone 2020/09/30 23:10:57 UTC, 37.4/hr M&gt;=1.2. https://t.co/wQkTgwZPmT",None,None,None,None,None,2,0,twty,"Pasadena, CA","{'hashtags': [{'text': 'EarthquakeSwarm', 'indices': [7, 23]}, {'text': 'BrawleySeismicZone', 'indices': [42, 61]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wQkTgwZPmT', 'expanded_url': 'http://www.scsn.org/index.php/earthquakes/earthquake-swarms/', 'display_url': 'scsn.org/index.php/eart…', 'indices': [106, 129]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
7,1.31145E+18,9/30/2020 23:34,"AutoEQ Mlr3.9 2020-09-30 23:31 UTC [2020-09-30 16:31 PDT] 2 mi ENE of Westmorland, CA depth 08 km https://t.co/t88v0SLAdG",None,None,None,None,None,2,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/t88v0SLAdG', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641064#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [98, 121]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,ro,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
8,1.31145E+18,9/30/2020 23:33,"AutoEQ Ml2.8 2020-09-30 23:31 UTC [2020-09-30 16:31 PDT] 1 mi ENE of Westmorland, CA depth 01 km https://t.co/xUmlZcFUcu",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xUmlZcFUcu', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641056#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
9,1.31145E+18,9/30/2020 23:32,"AutoEQ Ml2.9 2020-09-30 23:30 UTC [2020-09-30 16:30 PDT] 2 mi ENE of Westmorland, CA depth 07 km https://t.co/AMUHn7vb3J",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AMUHn7vb3J', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39641048#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
10,1.31145E+18,9/30/2020 23:21,"AutoEQ Ml3.1 2020-09-30 23:19 UTC [2020-09-30 16:19 PDT] 2 mi ENE of Westmorland, CA depth 04 km https://t.co/5GdtLGfm8o",None,None,None,None,None,1,0,twty,"Pasadena, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5GdtLGfm8o', 'expanded_url': 'http://earthquake.usgs.gov/earthquakes/eventpage/ci39640848#executive', 'display_url': 'earthquake.usgs.gov/earthquakes/ev…', 'indices': [97, 120]}]}",3673,FALSE,3,FALSE,Caltech Quake Bot,FALSE,FALSE,en,"Results preliminary and subject to change upon review. Visit our website for more info. ""AutoEQ"" = Automated post. All others are manual posts by the SCSN.",FALSE,CaltechQuake,7177,FALSE,FALSE
