id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311387333866991616,2020-09-30 19:27:59,@bubulov Big valley game lodge,1311382719805493252,bubulov,1311382719805493252,125335434,125335434,1,0,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bubulov', 'name': 'Bunah Chapi', 'id': 125335434, 'id_str': '125335434', 'indices': [0, 8]}], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
2,1311269395277254656,2020-09-30 11:39:20,RT @iamKabo: ???? Pula Motswana Pula ???? https://t.co/H6uckdVOlF,None,None,None,None,None,0,19,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamKabo', 'name': 'Kabo Olesitse', 'id': 37406511, 'id_str': '37406511', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1311235318079778817, 'id_str': '1311235318079778817', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EjJxkxcXcAEOucA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJxkxcXcAEOucA.jpg', 'url': 'https://t.co/H6uckdVOlF', 'display_url': 'pic.twitter.com/H6uckdVOlF', 'expanded_url': 'https://twitter.com/iamKabo/status/1311235327751847936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 460, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 813, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1040, 'h': 1536, 'resize': 'fit'}}, 'source_status_id': 1311235327751847936, 'source_status_id_str': '1311235327751847936', 'source_user_id': 37406511, 'source_user_id_str': '37406511'}]}",7244,False,3698,False,Nations Finest,False,False,es,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
3,1311267818869002240,2020-09-30 11:33:04,Happy Independence Day Botswana ???????????? https://t.co/DTEQEquumH,None,None,None,None,None,1,1,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311267804054781954, 'id_str': '1311267804054781954', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EjKPHtIXgAIYLvr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKPHtIXgAIYLvr.jpg', 'url': 'https://t.co/DTEQEquumH', 'display_url': 'pic.twitter.com/DTEQEquumH', 'expanded_url': 'https://twitter.com/DjTmanBots/status/1311267818869002240/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
4,1311011335468089346,2020-09-29 18:33:54,?????????? Mafia https://t.co/Jd880fpwwh,None,None,None,None,None,0,0,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Jd880fpwwh', 'expanded_url': 'https://twitter.com/MsLemmy/status/1310974783669121025', 'display_url': 'twitter.com/MsLemmy/status…', 'indices': [12, 35]}]}",7244,False,3698,False,Nations Finest,False,False,it,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,True
5,1310909590591111169,2020-09-29 11:49:36,@Casper_thedj ?????? motho a ka botsa,1310909021000536064,Casper_thedj,1310909021000536064,105247392,105247392,1,0,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Casper_thedj', 'name': 'Bundle of Joy', 'id': 105247392, 'id_str': '105247392', 'indices': [0, 13]}], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,ht,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
6,1310874317928964097,2020-09-29 09:29:26,"RT @KenzarMafia: ""Go sego letsogo le le abang go nale le le tsayang"", please help us get @kamosoafrica to 5000 so they could donate #ShinyG…",None,None,None,None,None,0,34,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KenzarMafia', 'name': 'Kenzar Mafia®', 'id': 135423088, 'id_str': '135423088', 'indices': [3, 15]}, {'screen_name': 'kamosoafrica', 'name': 'Kamoso Africa #KamosoAfrica', 'id': 1060904042946355201, 'id_str': '1060904042946355201', 'indices': [89, 102]}], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
7,1310874317928964097,2020-09-29 09:29:26,"RT @KenzarMafia: ""Go sego letsogo le le abang go nale le le tsayang"", please help us get @kamosoafrica to 5000 so they could donate #ShinyG…",None,None,None,None,None,0,34,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KenzarMafia', 'name': 'Kenzar Mafia®', 'id': 135423088, 'id_str': '135423088', 'indices': [3, 15]}, {'screen_name': 'kamosoafrica', 'name': 'Kamoso Africa #KamosoAfrica', 'id': 1060904042946355201, 'id_str': '1060904042946355201', 'indices': [89, 102]}], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
8,1310873698228940800,2020-09-29 09:26:59,RT @UnitedArtistsBW: The United House Party INDEPENDENCE Special Edition https://t.co/W43unow5GE,None,None,None,None,None,0,4,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UnitedArtistsBW', 'name': 'United Artists Social Club', 'id': 240732789, 'id_str': '240732789', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1310862584338415616, 'id_str': '1310862584338415616', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EjEek0DXgAA8Fyd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjEek0DXgAA8Fyd.jpg', 'url': 'https://t.co/W43unow5GE', 'display_url': 'pic.twitter.com/W43unow5GE', 'expanded_url': 'https://twitter.com/UnitedArtistsBW/status/1310862596782862336/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 638, 'h': 938, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 463, 'h': 680, 'resize': 'fit'}, 'large': {'w': 638, 'h': 938, 'resize': 'fit'}}, 'source_status_id': 1310862596782862336, 'source_status_id_str': '1310862596782862336', 'source_user_id': 240732789, 'source_user_id_str': '240732789'}]}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
9,1310832967875465216,2020-09-29 06:45:08,RT @bkciti: If it ever gets to a stage where Slumbisto is due to take over ever motswana o tlaa tlhoka energy ele ya ga Khama a batla go nt…,None,None,None,None,None,0,1,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bkciti', 'name': 'Bakang', 'id': 630070967, 'id_str': '630070967', 'indices': [3, 10]}], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,en,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,True
10,1310832871611994112,2020-09-29 06:44:45,"Emisang go tswela batho dipelo le sa itsi gore madi ba a tsaya kae , now you have act mum to pressing issues affecting the society e le dibe tsa gago le pipa molomo ??",None,None,None,None,None,0,0,Twitter for iPhone,"Gaborone,Botswana","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",7244,False,3698,False,Nations Finest,False,False,tl,Best House Dj 2014/15 YAMA Winner???? Bookings:tshepog@gmail.com +267 71294249,True,DjTmanBots,24123,False,False
