id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1309844367348305925,2020-09-26 13:16:47,"base from ?? (japanese-ogre)
eyes from ?? (angry)
mouth from ?? (smirk) https://t.co/wveDMASE3U",None,None,None,None,None,89,1,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309844363946668032, 'id_str': '1309844363946668032', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Ei2AglgWsAA7QOB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei2AglgWsAA7QOB.jpg', 'url': 'https://t.co/wveDMASE3U', 'display_url': 'pic.twitter.com/wveDMASE3U', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309844367348305925/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
2,1309829263454019584,2020-09-26 12:16:46,"base from ?? (zzz)
eyes from ?? (moon)
mouth from ?? (money) https://t.co/EGAJDXXaIs",None,None,None,None,None,77,9,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309829260115406848, 'id_str': '1309829260115406848', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/media/Ei1yxbWXcAAM-cx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei1yxbWXcAAM-cx.jpg', 'url': 'https://t.co/EGAJDXXaIs', 'display_url': 'pic.twitter.com/EGAJDXXaIs', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309829263454019584/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
3,1309814162663579648,2020-09-26 11:16:46,"base from ?? (earth)
eyes from ?? (raised-eyebrow)
mouth from ?? (scowl) https://t.co/NwmYKeyB6q",None,None,None,None,None,424,82,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309814160411234304, 'id_str': '1309814160411234304', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/Ei1lCgkWkAApvbG.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei1lCgkWkAApvbG.jpg', 'url': 'https://t.co/NwmYKeyB6q', 'display_url': 'pic.twitter.com/NwmYKeyB6q', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309814162663579648/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
4,1309799064884727813,2020-09-26 10:16:46,"base from ?? (hand)
eyes from ?? (tired)
mouth from ?? (kiss) https://t.co/ux3wdAkYWh",None,None,None,None,None,64,3,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309799062732976128, 'id_str': '1309799062732976128', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/Ei1XTtVWsAATo2k.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei1XTtVWsAATo2k.jpg', 'url': 'https://t.co/ux3wdAkYWh', 'display_url': 'pic.twitter.com/ux3wdAkYWh', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309799064884727813/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
5,1309783964652101632,2020-09-26 09:16:46,"base from ?? (angry)
eyes from ?? (closed-crying)
mouth from ?? (crazy) https://t.co/9pdI5VZfqv",None,None,None,None,None,385,43,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309783962424954880, 'id_str': '1309783962424954880', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Ei1JkwTX0AALuzE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei1JkwTX0AALuzE.jpg', 'url': 'https://t.co/9pdI5VZfqv', 'display_url': 'pic.twitter.com/9pdI5VZfqv', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309783964652101632/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
6,1309768864151023616,2020-09-26 08:16:46,"base from ?? (steam)
eyes from ?? (tired)
mouth from ?? (straight-small) https://t.co/NDp14D1aAC",None,None,None,None,None,132,12,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309768862058020864, 'id_str': '1309768862058020864', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/Ei071zDWAAAgWCt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei071zDWAAAgWCt.jpg', 'url': 'https://t.co/NDp14D1aAC', 'display_url': 'pic.twitter.com/NDp14D1aAC', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309768864151023616/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
7,1309753764136595456,2020-09-26 07:16:46,"base from ?? (earth)
eyes from ?? (satisfied)
mouth from ?? (bunny-teeths) https://t.co/SRLdGzH9Rd",None,None,None,None,None,152,17,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309753762039451648, 'id_str': '1309753762039451648', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/Ei0uG3GX0AASQ5w.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei0uG3GX0AASQ5w.jpg', 'url': 'https://t.co/SRLdGzH9Rd', 'display_url': 'pic.twitter.com/SRLdGzH9Rd', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309753764136595456/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
8,1309738664918953984,2020-09-26 06:16:46,"base from ?? (demon)
eyes from ?? (straight)
mouth from ?? (vomit) https://t.co/HJMyTZKBaw",None,None,None,None,None,192,15,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309738662977056769, 'id_str': '1309738662977056769', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/Ei0gX-tXsAEoh-I.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei0gX-tXsAEoh-I.jpg', 'url': 'https://t.co/HJMyTZKBaw', 'display_url': 'pic.twitter.com/HJMyTZKBaw', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309738664918953984/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
9,1309723564547997702,2020-09-26 05:16:45,"base from ?? (cat)
eyes from ?? (carved-holes)
mouth from ?? (woozy) https://t.co/qSRO1sQocs",None,None,None,None,None,494,162,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309723562572484615, 'id_str': '1309723562572484615', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/Ei0SpBUXkAcDtji.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei0SpBUXkAcDtji.jpg', 'url': 'https://t.co/qSRO1sQocs', 'display_url': 'pic.twitter.com/qSRO1sQocs', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309723564547997702/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
10,1309708462612533248,2020-09-26 04:16:45,"base from ?? (tears)
eyes from ?? (unamused)
mouth from ?? (beaming) https://t.co/tJfJcVCEJ0",None,None,None,None,None,240,56,Emoji-Mashup-Bot+,emoji.mashup.bot[AT]gmail.com,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309708460502773761, 'id_str': '1309708460502773761', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/Ei0E59uXcAEIsUU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei0E59uXcAEIsUU.jpg', 'url': 'https://t.co/tJfJcVCEJ0', 'display_url': 'pic.twitter.com/tJfJcVCEJ0', 'expanded_url': 'https://twitter.com/EmojiMashupPlus/status/1309708462612533248/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",96308,False,2,False,Emoji Mashup Bot+,False,False,en,"Tries to create new emojis out of three random emoji parts. Bot made by @louanben. Check out my older brother @EmojiMashupBot !
 
Tweets every 60 min.",False,EmojiMashupPlus,8652,False,False
