id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31137E+18,9/30/2020 18:31,We've never been people that go around and confront people that have been successful and say: We envy you because of how well you're doing.,None,None,None,None,None,6,2,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
2,1.31137E+18,9/30/2020 18:31,We've never been people that go around and confront people that have been successful and say: We envy you because of how well you're doing.,None,None,None,None,None,6,2,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
3,1.31137E+18,9/30/2020 18:01,Premium Forex Trend Management Software https://t.co/WY2YRKXQTV Forex Beginner,None,None,None,None,None,0,0,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WY2YRKXQTV', 'expanded_url': 'http://bit.ly/fxtrendstrading', 'display_url': 'bit.ly/fxtrendstrading', 'indices': [40, 63]}]}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
4,1.31136E+18,9/30/2020 17:31,"No profession requires more hard work, intelligence, #patience, and mental #discipline than successful #speculation.",None,None,None,None,None,1,0,Twitter Web App,Riga,"{'hashtags': [{'text': 'patience', 'indices': [53, 62]}, {'text': 'discipline', 'indices': [75, 86]}, {'text': 'speculation', 'indices': [103, 115]}], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
5,1.31135E+18,9/30/2020 17:01,Successful #investing is anticipating the anticipations of others.,None,None,None,None,None,1,0,Twitter Web App,Riga,"{'hashtags': [{'text': 'investing', 'indices': [11, 21]}], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
6,1.31134E+18,9/30/2020 16:31,I know at last what distinguishes man from animals; financial worries.,None,None,None,None,None,1,0,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
7,1.31134E+18,9/30/2020 16:00,"As long as you're going to be thinking anyway, think big. - Donald Trump",None,None,None,None,None,1,1,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
8,1.31133E+18,9/30/2020 15:30,The ability to foresee that some things cannot be foreseen is a very important quality! forex crypto currency trading,None,None,None,None,None,0,0,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
9,1.31132E+18,9/30/2020 15:00,Frugality includes all the other virtues. - Cicero,None,None,None,None,None,4,1,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
10,1.31131E+18,9/30/2020 14:30,Do you know the only thing that gives me pleasure? It's to see my dividends coming in.,None,None,None,None,None,4,1,Twitter Web App,Riga,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",34736,FALSE,35537,FALSE,Forex Trading Bots,FALSE,FALSE,en,#ForexTrading #ForexRobots,FALSE,FxTradingBot,133134,FALSE,FALSE
