id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1309321534272606210,2020-09-25 02:39:14,"With two-signature escrow, a cheater can’t win, but it’s still possible for you to lose. It at least takes away the profit motive for cheating you.",None,None,None,None,None,6,4,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,FALSE,False
2,1309261133518438401,2020-09-24 22:39:13,My head hurts just thinking about that.,None,None,None,None,None,5,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
3,1309250645157990406,2020-09-24 21:57:33,"SHA256 is not going to be broken by Moore’s law computational improvements in our lifetimes. If it’s going to get broken, it’ll be by some breakthrough cracking method.",None,None,None,None,None,4,5,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
4,1309190244403642368,2020-09-24 17:57:32,"In a few decades when the reward gets too small, the transaction fee will become the main compensation for nodes.",None,None,None,None,None,10,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
5,1309129844719054848,2020-09-24 13:57:32,I am not claiming that the network is impervious to DoS attack. I think most P2P networks can be DoS attacked in numerous ways.,None,None,None,None,None,4,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
6,1309069444329738243,2020-09-24 09:57:31,"Commerce on the Internet has come to rely almost exclusively on financial institutions serving as trusted third parties to process electronic payments. While the system works well enough for most transactions, it still suffers from the inherent weaknesses of the trust based model",None,None,None,None,None,7,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
7,1309009044439433217,2020-09-24 05:57:31,"Announcing the first release of Bitcoin, a new electronic cash system that uses a peer-to-peer network to prevent double-spending. It's completely decentralized with no server or central authority.",None,None,None,None,None,14,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
8,1308948645132283904,2020-09-24 01:57:30,"Eventually at most only 21 million coins for 6.8 billion people in the world if it really gets huge. But don't worry, there are another 6 decimal places that aren't shown, for a total of 8 decimal places internally. It shows 1.00 but internally it's 1.00000000.",None,None,None,None,None,10,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
9,1308888244772311041,2020-09-23 21:57:30,"The proof-of-work is a Hashcash style SHA-256 collision finding. It's a memoryless process where you do millions of hashes a second, with a small chance of finding one each time.",None,None,None,None,None,5,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
10,1308881707039436802,2020-09-23 21:31:31,"Like cash, you don’t keep your entire net worth in your pocket, you keep walking around money for incidental expenses.",None,None,None,None,None,11,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
11,1308821306905952259,2020-09-23 17:31:30,You could use TOR if you don't want anyone to know you're even using Bitcoin.,None,None,None,None,None,16,3,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
12,1308760906491453454,2020-09-23 13:31:30,"To compensate for increasing hardware speed and varying interest in running nodes over time, the proof-of-work difficulty is determined by a moving average targeting an average number of blocks per hour. If they're generated too fast, the difficulty increases.",None,None,None,None,None,5,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
13,1308700503421997056,2020-09-23 09:31:29,It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though.,None,None,None,None,None,13,2,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
14,1308700503421997056,2020-09-23 09:31:29,It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though.,None,None,None,None,None,13,2,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
15,1308640103787573248,2020-09-23 05:31:28,"With the transaction fee based incentive system I recently posted, nodes would have an incentive to include all the paying transactions they receive.",None,None,None,None,None,3,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
16,1308579703587057664,2020-09-23 01:31:28,"By convention, the first transaction in a block is a special transaction that starts a new coin owned by the creator of the block. This adds an incentive for nodes to support the network, and provides a way to initially distribute coins into circulation",None,None,None,None,None,12,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
17,1308519301494824961,2020-09-22 21:31:27,"As an additional firewall, a new key pair should be used for each transaction to keep them from being linked to a common owner. Some linking is still unavoidable with multi-input transactions, which necessarily reveal that their inputs were owned by the same owner.",None,None,None,None,None,2,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
18,1308483427377786884,2020-09-22 19:08:54,"If SHA-256 became completely broken, I think we could come to some agreement about what the honest block chain was before the trouble started, lock that in and continue from there with a new hash function.",None,None,None,None,None,8,2,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
19,1308440944719601664,2020-09-22 16:20:05,"It would have been nice to get this attention in any other context. WikiLeaks has kicked the hornet's nest, and the swarm is headed towards us.",None,None,None,None,None,4,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
20,1308434316108718085,2020-09-22 15:53:45,That would be nice at point-of-sale. The cash register displays a QR-code encoding a bitcoin address and amount on a screen and you photo it with your mobile.,None,None,None,None,None,2,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
21,1308373915983646721,2020-09-22 11:53:44,"It is strictly necessary that the longest chain is always considered the valid one. Nodes that were present may remember that one branch was there first and got replaced by another, but there would be no way for them to convince those who were not present of this.",None,None,None,None,None,4,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
22,1308313514235265024,2020-09-22 07:53:43,My head hurts just thinking about that.,None,None,None,None,None,5,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
23,1308253113753665536,2020-09-22 03:53:43,"Even if a bad guy does overproof-of-worker the network, it's not like he's instantly rich. All he can accomplish is to take back money he himself spent, like bouncing a check.",None,None,None,None,None,4,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
24,1308192712198426624,2020-09-21 23:53:42,"The proof-of-work chain is the solution to the synchronisation problem, and to knowing what the globally shared view is without having to trust anyone.",None,None,None,None,None,10,6,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
25,1308132309741297669,2020-09-21 19:53:41,"Being open source means anyone can independently review the code. If it was closed source, nobody could verify the security. I think it's essential for a program of this nature to be open source.",None,None,None,None,None,17,5,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
26,1308071910413041664,2020-09-21 15:53:40,"You could say coins are issued by the majority. They are issued in a limited, predetermined amount.",None,None,None,None,None,5,2,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
27,1308065778940481536,2020-09-21 15:29:19,I am not claiming that the network is impervious to DoS attack. I think most P2P networks can be DoS attacked in numerous ways.,None,None,None,None,None,0,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
28,1308005376844009472,2020-09-21 11:29:18,"A basic transaction is just what you see in the figure in section 2. A signature (of the buyer) satisfying the public key of the previous transaction, and a new public key (of the seller) that must be satisfied to spend it the next time.",None,None,None,None,None,3,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
29,1307944976744054786,2020-09-21 07:29:17,"The CPU proof-of-worker proof-of-work vote must have the final say. The only way for everyone to stay on the same page is to believe that the longest chain is always the valid one, no matter what.",None,None,None,None,None,11,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
30,1307884575197147138,2020-09-21 03:29:16,"When there are multiple double-spent versions of the same transaction, one and only one will become valid.",None,None,None,None,None,10,2,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
31,1307824172123463681,2020-09-20 23:29:15,That would be nice at point-of-sale. The cash register displays a QR-code encoding a bitcoin address and amount on a screen and you photo it with your mobile.,None,None,None,None,None,3,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
32,1307763771679662080,2020-09-20 19:29:14,"The network is robust in its unstructured simplicity. Nodes work all at once with little coordination. They do not need to be identified, since messages are not routed to any particular place and only need to be delivered on a best effort basis.",None,None,None,None,None,8,1,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
33,1307703372414439425,2020-09-20 15:29:14,"As an additional firewall, a new key pair should be used for each transaction to keep them from being linked to a common owner. Some linking is still unavoidable with multi-input transactions, which necessarily reveal that their inputs were owned by the same owner.",None,None,None,None,None,3,0,NakamotoQuotes,Japan,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",10025,False,0,False,Satoshi Nakamoto Bot,False,False,en,"""It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though."" ran by @videah_",False,NakamotoQuotes,6776,False,False
