id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311378623941816322,2020-09-30 18:53:22,"Would you like to join us? Maybe we'll have some of that yellow cheese studded with roasted hazelnuts and a potato, carrot 'n' mushroom pasty or two, with lots of herb gravy, of course.",None,None,None,None,None,28,4,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
2,1311288040984383488,2020-09-30 12:53:26,"What could be nicer than a foamin’ goblet of good elderflower an' bilberry cordial? Mmmm, with some acorn bread an’ sage cheese. Ice cold coltsfoot an' comfrey tea an’ a thick slice of fruit and honey cake.",None,None,None,None,None,320,31,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
3,1311197403375185925,2020-09-30 06:53:16,"You a-comin' in for summat to eat? There's blackberry muffins, honeynut tart with arrowroot sauce, an' cold plum'n'apple cider.",None,None,None,None,None,44,2,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
4,1311106819151060993,2020-09-30 00:53:19,Ferdy Stickle arrived with two pottery beakers of freshly brewed comfrey tea and a platter of warm strawberry cream scones.,None,None,None,None,None,31,3,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
5,1311016311506558983,2020-09-29 18:53:40,"Don't start talkin' about scoff, you'll have everybeast goin' on about feasts they were at seasons ago. All that ripe fruit an' crumbly cheese an' acorn salad, aye, an' dandelion burdock cup. Look, you've got me at it now!",None,None,None,None,None,34,3,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
6,1310925644986023936,2020-09-29 12:53:24,"Candied chestnut trifles, topped with meadowcream, jostled for position among carrot an' onion flans, leek'n'onion pasties, leek and onion soup, and the favorite of moles, deeper'n'ever turnip'n'tater'n'beetroot pie.",None,None,None,None,None,43,5,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
7,1310835260909916160,2020-09-29 06:54:14,"The most impressive single offering on the table was a redcurrant, almond, and meadowcream trifle with candied strawberries on top.",None,None,None,None,None,46,1,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
8,1310744453704028160,2020-09-29 00:53:24,"Who could resist roast almonds served in cream and honey, or acorn scones dipped in arrowroot and redcurrant sauce, white cheese on wheat bread with chopped radishes, or a huge home-baked fourseason plumcake, all washed down with either spiced nettle ale or damson juice.",None,None,None,None,None,127,15,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
9,1310653880309555200,2020-09-28 18:53:30,"Never had she tasted such marvelous things. Alternating between chestnut bread, damson and honey pie, summer salad, mushroom and onion gravy flan, mintcream cakes and honey-glazed preserved fruits, she held her own with the best trencherbeasts.",None,None,None,None,None,40,2,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
10,1310563306969731072,2020-09-28 12:53:36,"Half an hour before dawn the young mouse was roused by a shrew who gave him an acorn cup full of melon juice, a loaf of rough honey bread, and some tasty fresh roots he could not identify. By first light they were on the move again.",None,None,None,None,None,54,2,"Cheap Bots, Done Quick!",Mossflower Woods,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9766,False,0,False,Redwall Feasts Bot,False,False,en,Delicious descriptions from the kitchens at Redwall Abbey // four times daily // artwork by @cadenise // created with @v21's https://t.co/XpDujaprri,False,RedwallFeasts,2169,False,False
