id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311309151965007872,2020-09-30 14:17:19,#Njratgold SHA256: ab70b9ea05c74109550a361fe87229667204e610d5717aa00e7edbf2fdcef510 C2: tcp://fackyou[.]myq-see[.]com:1177,None,None,None,None,None,0,2,scumbots.py,DR7,"{'hashtags': [{'text': 'Njratgold', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,pt,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
2,1311309151965007872,2020-09-30 14:17:19,#Njratgold SHA256: ab70b9ea05c74109550a361fe87229667204e610d5717aa00e7edbf2fdcef510 C2: tcp://fackyou[.]myq-see[.]com:1177,None,None,None,None,None,0,2,scumbots.py,DR7,"{'hashtags': [{'text': 'Njratgold', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,pt,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
3,1311286501297266688,2020-09-30 12:47:19,#njRat SHA256: 11ebf3d35d1c3fc5414249d8ecdf72443580260c42d2d452a49af01b0432bdd5 C2: kebda4ever[.]ddns[.]net:2020,None,None,None,None,None,1,1,scumbots.py,DR7,"{'hashtags': [{'text': 'njRat', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,hu,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
4,1311282729795846146,2020-09-30 12:32:19,#njRat SHA256: 137d03d974474c2998492be7b2d57fd1c7091e987bef4f1cd39ce7cf5a019fbe C2: kebda4ever[.]ddns[.]net:2020,None,None,None,None,None,0,1,scumbots.py,DR7,"{'hashtags': [{'text': 'njRat', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,fr,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
5,1311267708927868929,2020-09-30 11:32:38,#njRat SHA256: a467e620334e8f75d3af8b58d1072338248e09aee97a9dadb8273442adfee973 C2: kaylar[.]ddns[.]net:5552,None,None,None,None,None,1,1,scumbots.py,DR7,"{'hashtags': [{'text': 'njRat', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,in,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
6,1311267627516473344,2020-09-30 11:32:19,#Njratgold SHA256: 1b8b57fdccb30974af01938df1c16ade299d684fdf12278d7e1c4c036605a0c1 C2: tcp://fackyou[.]myq-see[.]com:1177,None,None,None,None,None,0,1,scumbots.py,DR7,"{'hashtags': [{'text': 'Njratgold', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,fr,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
7,1311260835692634113,2020-09-30 11:05:19,#PowerShell_CobaltStrike_Beacon_Reverse_HTTP_x64 SHA256: 5e6a3f6e21b62be4c838b5c6a2a0e356d0471f8e135971aa91c3b73caef5fe93 C2: 172[.]241[.]29[.]12:443,None,None,None,None,None,0,1,scumbots.py,DR7,"{'hashtags': [{'text': 'PowerShell_CobaltStrike_Beacon_Reverse_HTTP_x64', 'indices': [0, 48]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,ht,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
8,1311127963644178435,2020-09-30 02:17:20,#njRat SHA256: 828ed2a9805c6b100ffc5317bb3b3de97e49fd20589ab0335da29d042d705b08 C2: ow9kj1w[.]mcv[.]kr:5552,None,None,None,None,None,0,2,scumbots.py,DR7,"{'hashtags': [{'text': 'njRat', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,ht,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
9,1311112865307385858,2020-09-30 01:17:21,"#NanoCore SHA256: 1a25dfe77d53a45af68ca9bb5bfe81e30fe2f9e5e720096f5e2b447d182495a5 C2: tcp://deaphnote[.]ddns[.]net:3606,tcp://127[.]0[.]0[.]1:3606,",None,None,None,None,None,1,1,scumbots.py,DR7,"{'hashtags': [{'text': 'NanoCore', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,ht,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
10,1311056311757484034,2020-09-29 21:32:37,#njRat SHA256: 1bbf41128066bcb360a6dac7f9b68c69578a67c501a879601108e715d45abb1c C2: 86[.]105[.]212[.]39:4604,None,None,None,None,None,2,1,scumbots.py,DR7,"{'hashtags': [{'text': 'njRat', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3753,False,3,False,ScumBots,False,False,ht,I drop dox on scumbag bots and RATs.,False,ScumBots,27305,False,False
