id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31E+18,9/30/2020 20:29,"@AquaLake180 don't worry captain, we'll buff out those scratches",None,None,None,None,None,28,1,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AquaLake180', 'name': 'Aqua Lake 180 ????', 'id': 1281112388658515968, 'id_str': '1281112388658515968', 'indices': [0, 12]}], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
2,1.31E+18,9/30/2020 20:29,@XboyardeeX hi avery! ??,None,None,None,None,None,5,0,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'XboyardeeX', 'name': 'chefboyardee', 'id': 3099142325, 'id_str': '3099142325', 'indices': [0, 11]}], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
3,1.31E+18,9/30/2020 20:28,@ChezBoiYT but they're my dorks ??,None,None,None,None,None,18,0,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
4,1.31E+18,9/30/2020 20:27,@kellytheprodigy LEEDLE LEEDLE LEEDLE LEE,None,None,None,None,None,28,3,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
5,1.31E+18,9/30/2020 20:27,@SarahC16075492 grandma's cookies ??,None,None,None,None,None,13,0,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SarahC16075492', 'name': 'Sarah C', 'id': 1270799562849034247, 'id_str': '1270799562849034247', 'indices': [0, 15]}], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
6,1.31E+18,9/30/2020 20:27,"@edwardistheman ahh, it does me heart good to see children out after dark",None,None,None,None,None,70,2,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'edwardistheman', 'name': 'Edward Sanchez', 'id': 78109015, 'id_str': '78109015', 'indices': [0, 15]}], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
7,1.31E+18,9/30/2020 20:26,@zacharyldiamond https://t.co/C4Y3gWugEK,None,None,None,None,None,41,2,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zacharyldiamond', 'name': 'Zachary Diamond', 'id': 1234668947842174976, 'id_str': '1234668947842174976', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1311402109271773186, 'id_str': '1311402109271773186', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMJRTDXkAIDAR_.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMJRTDXkAIDAR_.jpg', 'url': 'https://t.co/C4Y3gWugEK', 'display_url': 'pic.twitter.com/C4Y3gWugEK', 'expanded_url': 'https://twitter.com/SpongeBob/status/1311402127688978432/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 360, 'resize': 'fit'}, 'small': {'w': 480, 'h': 360, 'resize': 'fit'}}}]}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,und,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
8,1.31E+18,9/30/2020 20:26,@TwogoodMax those guys are dorks,None,None,None,None,None,18,0,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TwogoodMax', 'name': 'Max Twogood', 'id': 1259918069801025537, 'id_str': '1259918069801025537', 'indices': [0, 11]}], 'urls': []}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,en,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
9,1.31E+18,9/30/2020 20:18,@spongesthetic https://t.co/wBfimmupUF,None,None,None,None,None,6,1,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311400153551642625, 'id_str': '1311400153551642625', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMHfdbWoAEKcD_.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMHfdbWoAEKcD_.jpg', 'url': 'https://t.co/wBfimmupUF', 'display_url': 'pic.twitter.com/wBfimmupUF', 'expanded_url': 'https://twitter.com/SpongeBob/status/1311400167619416064/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 360, 'resize': 'fit'}, 'small': {'w': 480, 'h': 360, 'resize': 'fit'}}}]}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,und,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
10,1.31E+18,9/30/2020 20:17,@ScariestDuo https://t.co/U2iM5Fjm0f,None,None,None,None,None,6,1,Twitter Web App,Bikini Bottom,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311399809929146369, 'id_str': '1311399809929146369', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMHLdVXcAEaDVb.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMHLdVXcAEaDVb.jpg', 'url': 'https://t.co/U2iM5Fjm0f', 'display_url': 'pic.twitter.com/U2iM5Fjm0f', 'expanded_url': 'https://twitter.com/SpongeBob/status/1311399841289900032/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 360, 'resize': 'fit'}, 'small': {'w': 480, 'h': 360, 'resize': 'fit'}}}]}",2369964,FALSE,20,FALSE,SpongeBob,FALSE,FALSE,und,The official SpongeBob SquarePants Twitter from Nickelodeon,FALSE,SpongeBob,10899,FALSE,FALSE
