id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311406721726705665,2020-09-30 20:45:01,"I'm here to CHECK SOFT ROLLS and BEAT DOWNING STREETS, and I'm all out of DOWNING STREETS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
2,1311406721726705665,2020-09-30 20:45:01,"I'm here to CHECK SOFT ROLLS and BEAT DOWNING STREETS, and I'm all out of DOWNING STREETS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
3,1311346323270983680,2020-09-30 16:45:01,"I'm here to SAVAGE SILKY TAMARINS and SHRIVEL STACKED HEELS, and I'm all out of STACKED HEELS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
4,1311285924064444416,2020-09-30 12:45:01,"I'm here to CIRCUMFUSE DIRT TRACKS and GROUND JITTERBUGS, and I'm all out of JITTERBUGS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
5,1311225526263017474,2020-09-30 08:45:01,"I'm here to BEAD MANIAS and EQUILIBRATE COLLARDS, and I'm all out of COLLARDS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
6,1311165128784490496,2020-09-30 04:45:01,"I'm here to PRANK EXOBIOLOGIES and SUFFER BEETS, and I'm all out of BEETS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
7,1311104730123235330,2020-09-30 00:45:01,"I'm here to RAFT FLAG SMUTS and ROUGH-HEW PENEPLAINS, and I'm all out of PENEPLAINS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
8,1311044334448381952,2020-09-29 20:45:02,"I'm here to FROST DUMUZIS and JUGGLE PSETTICHTHYSS, and I'm all out of PSETTICHTHYSS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
9,1310983934159720448,2020-09-29 16:45:01,"I'm here to SEIZE NOBLESSE OBLIGES and UNPACK PADDLES, and I'm all out of PADDLES!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
10,1310923535880089600,2020-09-29 12:45:01,"I'm here to DIGEST JOLIOT-CURIES and CLIMB PHOLIDOTAS, and I'm all out of PHOLIDOTAS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
11,1310863139001348098,2020-09-29 08:45:01,"I'm here to BREATHALYZE LINGUISTIC PERFORMANCES and SPACEWALK MOBOCRACIES, and I'm all out of MOBOCRACIES!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
12,1310802741053145089,2020-09-29 04:45:01,"I'm here to REACT ACHAEANS and NOSE ELECTRODEPOSITIONS, and I'm all out of ELECTRODEPOSITIONS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
13,1310742345223086080,2020-09-29 00:45:02,"I'm here to CRY HEMATURIAS and NORMALIZE WOODY PLANTS, and I'm all out of WOODY PLANTS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
14,1310681945878048768,2020-09-28 20:45:01,"I'm here to ANGLE HOME MOVIES and YAW ACTIONS, and I'm all out of ACTIONS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
15,1310621549301440512,2020-09-28 16:45:02,"I'm here to CALL AT PROGRAMMINGS and MAKE EPARCHES, and I'm all out of EPARCHES!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
16,1310561148777844737,2020-09-28 12:45:01,"I'm here to SATISFY TOUCANS and OVERCROP NORMAS, and I'm all out of NORMAS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
17,1310500752679268352,2020-09-28 08:45:02,"I'm here to MISGIVE AUGMENTATIONS and CUSHION MYRTACEOUS TREES, and I'm all out of MYRTACEOUS TREES!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
18,1310440352969441280,2020-09-28 04:45:01,"I'm here to BARNSTORM MARGARINES and SQUEEZE OUT PIAS, and I'm all out of PIAS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
19,1310379956367552513,2020-09-28 00:45:01,"I'm here to PURSE SINE WAVES and CONJUGATE DIABETES INSIPIDUSES, and I'm all out of DIABETES INSIPIDUSES!",None,None,None,None,None,1,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
20,1310319558624866309,2020-09-27 20:45:01,"I'm here to ADMINISTER FOUNDERINGS and PROMOTE CUNNERS, and I'm all out of CUNNERS!",None,None,None,None,None,0,0,Windows Icons,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",286,False,1,False,All Out Of Bubble Gum,False,False,en,They Live! A bot by @Foone,False,all_out_of_bots,5329,False,False
