id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311420484001636353,2020-09-30 21:39:43,hockey player/ice skater au,None,None,None,None,None,28,7,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,de,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
2,1311330257262333953,2020-09-30 15:41:11,steampunk au,None,None,None,None,None,14,2,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,de,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
3,1311284693552238593,2020-09-30 12:40:08,celebrity/fan's parent au,None,None,None,None,None,13,4,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,en,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
4,1311239132853739522,2020-09-30 09:39:05,fae/human au,None,None,None,None,None,18,5,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,es,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
5,1311239132853739522,2020-09-30 09:39:05,fae/human au,None,None,None,None,None,18,5,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,es,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
6,1311193833603043328,2020-09-30 06:39:05,vampire au,None,None,None,None,None,91,10,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,fr,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
7,1311148689843515392,2020-09-30 03:39:42,Danganronpa au,None,None,None,None,None,19,4,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,in,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
8,1311057993690157057,2020-09-29 21:39:18,fashion design students au,None,None,None,None,None,12,2,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,en,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
9,1311024341816049665,2020-09-29 19:25:35,24 hour diner au,None,None,None,None,None,31,6,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,en,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
10,1310877060080992256,2020-09-29 09:40:20,met in detention au,None,None,None,None,None,44,6,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",16942,False,8302,False,AU Ideas,False,False,fr,ideas for alternate universe fanfics. should tweet every 3 hours. free to use! dm au suggestions open! {mod: @_leastweasel},False,au_idea_bot,27819,False,False
