id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31144E+18,9/30/2020 22:46,"New filing in Guiffre v. Maxwell: Letter

Doc. on PACER: https://t.co/wSQBaVcqkQ",None,None,None,None,None,12,4,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wSQBaVcqkQ', 'expanded_url': 'https://ecf.nysd.uscourts.gov/doc1/127127695539?caseid=447706&de_seq_num=3436', 'display_url': 'ecf.nysd.uscourts.gov/doc1/127127695…', 'indices': [57, 80]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
2,1.31143E+18,9/30/2020 22:21,"New filing in State of Texas et al v. Nielsen et al: Proposed Order

Doc. on PACER: https://t.co/7UO04ZdmEQ",None,None,None,None,None,2,3,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7UO04ZdmEQ', 'expanded_url': 'https://ecf.txsd.uscourts.gov/doc1/179136788702?caseid=1501682&de_seq_num=1851', 'display_url': 'ecf.txsd.uscourts.gov/doc1/179136788…', 'indices': [84, 107]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
3,1.31142E+18,9/30/2020 21:49,"New filing in Waymo v. @Uber: Stipulation and Proposed Order

Doc. on PACER: https://t.co/AhUdXbLPSw",None,None,None,None,None,4,2,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Uber', 'name': 'Uber', 'id': 19103481, 'id_str': '19103481', 'indices': [23, 28]}], 'urls': [{'url': 'https://t.co/AhUdXbLPSw', 'expanded_url': 'https://ecf.cand.uscourts.gov/doc1/035019773125?caseid=308136&de_seq_num=8046', 'display_url': 'ecf.cand.uscourts.gov/doc1/035019773…', 'indices': [77, 100]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
4,1.31142E+18,9/30/2020 21:21,"New filing in State of Texas et al v. Nielsen et al: Extension of Time

Doc. on PACER: https://t.co/jlQeBB7Vw9",None,None,None,None,None,1,3,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jlQeBB7Vw9', 'expanded_url': 'https://ecf.txsd.uscourts.gov/doc1/179036788429?caseid=1501682&de_seq_num=1849', 'display_url': 'ecf.txsd.uscourts.gov/doc1/179036788…', 'indices': [87, 110]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
5,1.31141E+18,9/30/2020 21:10,"New filing in United States v. Avenatti: Manual Filing (G-92)

Doc. on PACER: https://t.co/mnzuigkjQw",None,None,None,None,None,3,1,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mnzuigkjQw', 'expanded_url': 'https://ecf.cacd.uscourts.gov/doc1/031134011098?caseid=742713&de_seq_num=872', 'display_url': 'ecf.cacd.uscourts.gov/doc1/031134011…', 'indices': [78, 101]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
6,1.31141E+18,9/30/2020 21:10,"New filing in United States v. Avenatti: Deficiency in Electronically Filed Documents (G-112A) - optional html form

Doc. on PACER: https://t.co/v5gNwfbEVd",None,None,None,None,None,2,1,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v5gNwfbEVd', 'expanded_url': 'https://ecf.cacd.uscourts.gov/doc1/031134010606?caseid=742713&de_seq_num=869', 'display_url': 'ecf.cacd.uscourts.gov/doc1/031134010…', 'indices': [132, 155]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
7,1.31141E+18,9/30/2020 21:10,"New filing in Federal Bureau of Prisons execution case: Notice (Other)

Doc. on PACER: https://t.co/bafzf4hmwJ",None,None,None,None,None,1,2,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bafzf4hmwJ', 'expanded_url': 'https://ecf.dcd.uscourts.gov/doc1/04508083534?caseid=210604&de_seq_num=1349', 'display_url': 'ecf.dcd.uscourts.gov/doc1/045080835…', 'indices': [87, 110]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
8,1.31141E+18,9/30/2020 21:10,"New filing in Federal Bureau of Prisons execution case: Notice of Withdrawal of Appearance

Doc. on PACER: https://t.co/W4iSRsPlUy",None,None,None,None,None,1,2,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W4iSRsPlUy', 'expanded_url': 'https://ecf.dcd.uscourts.gov/doc1/04508082948?caseid=210604&de_seq_num=1347', 'display_url': 'ecf.dcd.uscourts.gov/doc1/045080829…', 'indices': [107, 130]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
9,1.31137E+18,9/30/2020 18:13,"New filing in @JasonLeopold v. DOJ: Set/Reset Hearings

PACER Docket: https://t.co/67w2E1RqTw",None,None,None,None,None,3,5,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JasonLeopold', 'name': 'Jason Leopold', 'id': 17094311, 'id_str': '17094311', 'indices': [14, 27]}], 'urls': [{'url': 'https://t.co/67w2E1RqTw', 'expanded_url': 'https://ecf.dcd.uscourts.gov/cgi-bin/DktRpt.pl?205888', 'display_url': 'ecf.dcd.uscourts.gov/cgi-bin/DktRpt…', 'indices': [70, 93]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
10,1.31137E+18,9/30/2020 18:13,"New filing in @EPICprivacy v. DOJ (Mueller report): Set/Reset Hearings

PACER Docket: https://t.co/EkQgjF03uG",None,None,None,None,None,1,5,Big Cases Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EPICprivacy', 'name': 'EPIC', 'id': 105197819, 'id_str': '105197819', 'indices': [14, 26]}], 'urls': [{'url': 'https://t.co/EkQgjF03uG', 'expanded_url': 'https://ecf.dcd.uscourts.gov/cgi-bin/DktRpt.pl?205521', 'display_url': 'ecf.dcd.uscourts.gov/cgi-bin/DktRpt…', 'indices': [86, 109]}]}",57448,FALSE,4,FALSE,Big Cases Bot,FALSE,FALSE,en,"Real-time updates on the latest filings in major cases in U.S. district courts and the U.S. Supreme Court. By @bradheath, @USATODAY.",FALSE,big_cases,25547,FALSE,FALSE
