id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311361438594859011,2020-09-30 17:45:05,"“We must always take sides. Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the tormented.”

On Elie Wiesel's birthday, his exquisitely timely Nobel Peace Prize acceptance speech: https://t.co/z6Nk1qvLTI",None,None,None,None,None,105,64,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z6Nk1qvLTI', 'expanded_url': 'https://www.brainpickings.org/2014/12/10/elie-wiesel-nobel-prize-speech/', 'display_url': 'brainpickings.org/2014/12/10/eli…', 'indices': [222, 245]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
2,1311044328618426368,2020-09-29 20:45:00,"""How should we like it were stars to burn
With a passion for us we could not return?
If equal affection cannot be,
Let the more loving one be me.""

Remembering Auden, who died on this day in 1973, with a beautiful reading of an uncommonly beautiful poem: https://t.co/L4vdkxrJ1T",None,None,None,None,None,46,16,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L4vdkxrJ1T', 'expanded_url': 'https://www.brainpickings.org/2019/02/04/janna-levin-w-h-auden-the-more-loving-one/', 'display_url': 'brainpickings.org/2019/02/04/jan…', 'indices': [255, 278]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
3,1310999060392873986,2020-09-29 17:45:07,"""Rejoice, go and remember me.""

Sappho's timeless elegy for heartbreak at the end of love, reimagined in a haunting choral invocation by a diverse NYC-based women's choir: https://t.co/55MLxO1L1e https://t.co/9t7YWligv7",None,None,None,None,None,26,3,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/55MLxO1L1e', 'expanded_url': 'https://www.brainpickings.org/2020/09/29/sappho-i-simply-want-to-be-dead-constellation-chor/', 'display_url': 'brainpickings.org/2020/09/29/sap…', 'indices': [172, 195]}], 'media': [{'id': 1310999058408972297, 'id_str': '1310999058408972297', 'indices': [196, 219], 'media_url': 'http://pbs.twimg.com/media/EjGasplWoAkP16M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGasplWoAkP16M.jpg', 'url': 'https://t.co/9t7YWligv7', 'display_url': 'pic.twitter.com/9t7YWligv7', 'expanded_url': 'https://twitter.com/brainpickings/status/1310999060392873986/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
4,1310999060392873986,2020-09-29 17:45:07,"""Rejoice, go and remember me.""

Sappho's timeless elegy for heartbreak at the end of love, reimagined in a haunting choral invocation by a diverse NYC-based women's choir: https://t.co/55MLxO1L1e https://t.co/9t7YWligv7",None,None,None,None,None,26,3,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/55MLxO1L1e', 'expanded_url': 'https://www.brainpickings.org/2020/09/29/sappho-i-simply-want-to-be-dead-constellation-chor/', 'display_url': 'brainpickings.org/2020/09/29/sap…', 'indices': [172, 195]}], 'media': [{'id': 1310999058408972297, 'id_str': '1310999058408972297', 'indices': [196, 219], 'media_url': 'http://pbs.twimg.com/media/EjGasplWoAkP16M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGasplWoAkP16M.jpg', 'url': 'https://t.co/9t7YWligv7', 'display_url': 'pic.twitter.com/9t7YWligv7', 'expanded_url': 'https://twitter.com/brainpickings/status/1310999060392873986/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
5,1310727240565612545,2020-09-28 23:45:00,The love of truth and the truth of love – Nobel laureate Bertrand Russell reflects on nearly a century of living to share the most important thing he has learned about life and the two pillars of our flourishing: https://t.co/N331RBviPf,None,None,None,None,None,23,7,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N331RBviPf', 'expanded_url': 'https://www.brainpickings.org/2020/09/27/bertrand-russell-bbc-face-to-face/', 'display_url': 'brainpickings.org/2020/09/27/ber…', 'indices': [213, 236]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
6,1310716922003152896,2020-09-28 23:04:00,"“Wherever life can grow, it will. It will sprout out, and do the best it can.”

Gwendolyn Brooks – who became the first black writer to win the Pulitzer Prize 70 years ago today, at only 33 – on vulnerability as strength and her advice on writing:  https://t.co/u3kNVY2GnX",None,None,None,None,None,43,21,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u3kNVY2GnX', 'expanded_url': 'https://www.brainpickings.org/2017/04/19/gwendolyn-brooks-advice-winnie/', 'display_url': 'brainpickings.org/2017/04/19/gwe…', 'indices': [249, 272]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
7,1310666841023549442,2020-09-28 19:45:00,"""Enough is so vast a sweetness, I suppose it never occurs, only pathetic counterfeits.""

Emily Dickinson's beautiful and heartbreaking love letters to the love of her life (and the muse of her poetry) https://t.co/BKFv3sUzNQ",None,None,None,None,None,34,14,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BKFv3sUzNQ', 'expanded_url': 'https://www.brainpickings.org/2018/12/10/emily-dickinson-love-letters-susan-gilbert/', 'display_url': 'brainpickings.org/2018/12/10/emi…', 'indices': [201, 224]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
8,1310651770444689414,2020-09-28 18:45:07,"“What makes people good communicators is, in essence, an ability not to be fazed by the more problematic or offbeat aspects of their own characters.”

This helps: https://t.co/fet7fO37Or",None,None,None,None,None,61,18,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fet7fO37Or', 'expanded_url': 'https://www.brainpickings.org/2016/08/15/alain-de-botton-the-course-of-love-communicator/', 'display_url': 'brainpickings.org/2016/08/15/ala…', 'indices': [163, 186]}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
9,1310410161434095616,2020-09-28 02:45:03,Bertrand Russell – one of the most lucid minds and luminous spirits our species has produced – on the 2 most vital things for human flourishing https://t.co/N331RBviPf https://t.co/pvU2ba6LPN,None,None,None,None,None,24,6,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N331RBviPf', 'expanded_url': 'https://www.brainpickings.org/2020/09/27/bertrand-russell-bbc-face-to-face/', 'display_url': 'brainpickings.org/2020/09/27/ber…', 'indices': [144, 167]}], 'media': [{'id': 1310410159693410304, 'id_str': '1310410159693410304', 'indices': [168, 191], 'media_url': 'http://pbs.twimg.com/media/Ei-DGO6WsAAoDU-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei-DGO6WsAAoDU-.jpg', 'url': 'https://t.co/pvU2ba6LPN', 'display_url': 'pic.twitter.com/pvU2ba6LPN', 'expanded_url': 'https://twitter.com/brainpickings/status/1310410161434095616/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
10,1310402607886852097,2020-09-28 02:15:02,"On this day in 1962, Rachel Carson published ""Silent Spring"" at great personal risk and against tremendous backlash, as she was dying, catalyzing the modern environmental movement with her bravery of speaking inconvenient truth to power  https://t.co/LiaYHC7xNz https://t.co/UCcBUZ1E9S",None,None,None,None,None,46,20,Buffer,www,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LiaYHC7xNz', 'expanded_url': 'https://www.brainpickings.org/2017/01/27/rachel-carson-silent-spring-dorothy-freeman/', 'display_url': 'brainpickings.org/2017/01/27/rac…', 'indices': [238, 261]}], 'media': [{'id': 1310402606532104192, 'id_str': '1310402606532104192', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/media/Ei98OlMXkAAyd-0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei98OlMXkAAyd-0.jpg', 'url': 'https://t.co/UCcBUZ1E9S', 'display_url': 'pic.twitter.com/UCcBUZ1E9S', 'expanded_url': 'https://twitter.com/brainpickings/status/1310402607886852097/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 600, 'h': 315, 'resize': 'fit'}, 'small': {'w': 600, 'h': 315, 'resize': 'fit'}, 'large': {'w': 600, 'h': 315, 'resize': 'fit'}}}]}",218211,False,1,False,Brain Pickings,False,False,en,"This is the Brain Pickings bot – daily blog posts, automated. For the real thing, follow @brainpicker.",False,brainpickings,53357,False,False
