id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31138E+18,9/30/2020 18:40,"A glacier 1990-2019, Issyk-Kul Region, Kyrgyzstan ????
https://t.co/vA3qRZeN7S
GIF: https://t.co/WJ3sqJB0Lu https://t.co/5UX9CIaDOe",None,None,None,None,None,3,1,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vA3qRZeN7S', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-13.09719&GLIMSId=G077000E41933N&BgnDate=20021003&EndDate=-9999999&CenLon=77.000175363&CenLat=41.93318175&O1Region=13&O2Region=3&Area=2.846&Zmin=3583&Zmax=4430&Zmed=3944&Slope=15.3&Aspect=360&Lmax=3351&Status=0&Connect=0&Form=0&TermType=0&Surging=9&Linkages=9&Name=nan&regionname=Issyk-Kul+Region%2C+Kyrgyzstan&unicodeflag=%F0%9F%87%B0%F0%9F%87%AC&friendly_name=A+glacier&productid1=LT05_L1TP_149031_19900807_20170130_01_T1&productid2=LC08_L1TP_149031_20190807_20190820_01_T1&images=G077000E41933N_1.png%2CG077000E41933N_2.png&anigif=G077000E41933N.gif&video=G077000E41933N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [53, 76]}, {'url': 'https://t.co/WJ3sqJB0Lu', 'expanded_url': 'http://dailyglacier.glaciology.net/G077000E41933N.gif', 'display_url': 'dailyglacier.glaciology.net/G077000E41933N…', 'indices': [82, 105]}], 'media': [{'id': 1311375488410099712, 'id_str': '1311375488410099712', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311375488410099712/pu/img/jQ16Y2KRa1z8WMBG.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311375488410099712/pu/img/jQ16Y2KRa1z8WMBG.jpg', 'url': 'https://t.co/5UX9CIaDOe', 'display_url': 'pic.twitter.com/5UX9CIaDOe', 'expanded_url': 'https://twitter.com/dailyglacier/status/1311375498216386562/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,sv,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
2,1.31135E+18,9/30/2020 17:15,"A glacier 1984-2018, Province of Carhuaz, Ancash, Peru ????
https://t.co/V7n1KQcYUM
GIF: https://t.co/KTzTTM2i6L https://t.co/iu33kOA90C",None,None,None,None,None,0,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/V7n1KQcYUM', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-16.02192&GLIMSId=G282662E09357S&BgnDate=20080812&EndDate=-9999999&CenLon=-77.3378&CenLat=-9.35729&O1Region=16&O2Region=1&Area=1.1&Zmin=4712&Zmax=5851&Zmed=5217&Slope=35.2&Aspect=290&Lmax=1683&Status=0&Connect=0&Form=0&TermType=0&Surging=9&Linkages=9&Name=nan&regionname=Province+of+Carhuaz%2C+Ancash%2C+Peru&unicodeflag=%F0%9F%87%B5%F0%9F%87%AA&friendly_name=A+glacier&productid1=LT05_L1TP_008067_19841216_20170219_01_T1&productid2=LC08_L1TP_008067_20181214_20181227_01_T1&images=G282662E09357S_1.png%2CG282662E09357S_2.png&anigif=G282662E09357S.gif&video=G282662E09357S.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [58, 81]}, {'url': 'https://t.co/KTzTTM2i6L', 'expanded_url': 'http://dailyglacier.glaciology.net/G282662E09357S.gif', 'display_url': 'dailyglacier.glaciology.net/G282662E09357S…', 'indices': [87, 110]}], 'media': [{'id': 1311354059224485891, 'id_str': '1311354059224485891', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/EjLdkarXkAMceAw.png', 'media_url_https': 'https://pbs.twimg.com/media/EjLdkarXkAMceAw.png', 'url': 'https://t.co/iu33kOA90C', 'display_url': 'pic.twitter.com/iu33kOA90C', 'expanded_url': 'https://twitter.com/dailyglacier/status/1311354068653219842/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,en,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
3,1.31117E+18,9/30/2020 4:55,"A glacier 1982-2019, British Columbia, Canada ????
https://t.co/RQxmJuooo9
GIF: https://t.co/omii464G7a https://t.co/ysTVpFVufT",None,None,None,None,None,2,2,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RQxmJuooo9', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-02.10943&GLIMSId=G230915E54569N&BgnDate=20049999&EndDate=20069999&CenLon=-129.085&CenLat=54.5694&O1Region=2&O2Region=2&Area=1.0959999999999999&Zmin=1343&Zmax=1901&Zmed=1604&Slope=26.5&Aspect=360&Lmax=1116&Status=0&Connect=0&Form=0&TermType=0&Surging=0&Linkages=9&Name=nan&regionname=British+Columbia%2C+Canada&unicodeflag=%F0%9F%87%A8%F0%9F%87%A6&friendly_name=A+glacier&productid1=LT04_L1TP_052022_19821121_20170220_01_T1&productid2=LC08_L1TP_052022_20191119_20191203_01_T1&images=G230915E54569N_1.png%2CG230915E54569N_2.png&anigif=G230915E54569N.gif&video=G230915E54569N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [49, 72]}, {'url': 'https://t.co/omii464G7a', 'expanded_url': 'http://dailyglacier.glaciology.net/G230915E54569N.gif', 'display_url': 'dailyglacier.glaciology.net/G230915E54569N…', 'indices': [78, 101]}], 'media': [{'id': 1311167784378937350, 'id_str': '1311167784378937350', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/media/EjI0JyzXsAYVU2m.png', 'media_url_https': 'https://pbs.twimg.com/media/EjI0JyzXsAYVU2m.png', 'url': 'https://t.co/ysTVpFVufT', 'display_url': 'pic.twitter.com/ysTVpFVufT', 'expanded_url': 'https://twitter.com/dailyglacier/status/1311167795112169474/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,es,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
4,1.31094E+18,9/29/2020 13:47,"A glacier 1990-2019, Gilgit-Baltistan, Pakistan ????
https://t.co/BaTdAemkVr
GIF: https://t.co/N9agtccZYq https://t.co/5dJR3mVR1c",None,None,None,None,None,2,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BaTdAemkVr', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-14.04872&GLIMSId=G075021E35836N&BgnDate=20010829&EndDate=-9999999&CenLon=75.021&CenLat=35.8359&O1Region=14&O2Region=2&Area=12.573&Zmin=3641&Zmax=6605&Zmed=4577&Slope=26.7&Aspect=149&Lmax=9785&Status=0&Connect=0&Form=0&TermType=0&Surging=0&Linkages=9&Name=nan&regionname=Gilgit-Baltistan%2C+Pakistan&unicodeflag=%F0%9F%87%B5%F0%9F%87%B0&friendly_name=A+glacier&productid1=LT05_L1TP_149035_19900807_20170129_01_T1&productid2=LC08_L1TP_149035_20190807_20190820_01_T1&images=G075021E35836N_1.png%2CG075021E35836N_2.png&anigif=G075021E35836N.gif&video=G075021E35836N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [51, 74]}, {'url': 'https://t.co/N9agtccZYq', 'expanded_url': 'http://dailyglacier.glaciology.net/G075021E35836N.gif', 'display_url': 'dailyglacier.glaciology.net/G075021E35836N…', 'indices': [80, 103]}], 'media': [{'id': 1310939146316402696, 'id_str': '1310939146316402696', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310939146316402696/pu/img/c73w79eGIhgWxmPh.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310939146316402696/pu/img/c73w79eGIhgWxmPh.jpg', 'url': 'https://t.co/5dJR3mVR1c', 'display_url': 'pic.twitter.com/5dJR3mVR1c', 'expanded_url': 'https://twitter.com/dailyglacier/status/1310939160337936389/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,tr,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
5,1.31063E+18,9/28/2020 17:15,"A glacier 1985-2020, British Columbia, Canada ????
https://t.co/WFOfnqWV8g
GIF: https://t.co/137RIJZ339 https://t.co/r6z9g7c9xr",None,None,None,None,None,1,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WFOfnqWV8g', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-02.06951&GLIMSId=G241139E52263N&BgnDate=20049999&EndDate=20069999&CenLon=-118.861&CenLat=52.2633&O1Region=2&O2Region=3&Area=1.704&Zmin=2310&Zmax=2984&Zmed=2600&Slope=23.1&Aspect=154&Lmax=1468&Status=0&Connect=0&Form=0&TermType=0&Surging=0&Linkages=9&Name=nan&regionname=British+Columbia%2C+Canada&unicodeflag=%F0%9F%87%A8%F0%9F%87%A6&friendly_name=A+glacier&productid1=LT05_L1TP_045024_19850816_20170219_01_T1&productid2=LC08_L1TP_045024_20200816_20200822_01_T1&images=G241139E52263N_1.png%2CG241139E52263N_2.png&anigif=G241139E52263N.gif&video=G241139E52263N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [49, 72]}, {'url': 'https://t.co/137RIJZ339', 'expanded_url': 'http://dailyglacier.glaciology.net/G241139E52263N.gif', 'display_url': 'dailyglacier.glaciology.net/G241139E52263N…', 'indices': [78, 101]}], 'media': [{'id': 1310629221212004352, 'id_str': '1310629221212004352', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310629221212004352/pu/img/2XwKYNA7QznIKtU0.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310629221212004352/pu/img/2XwKYNA7QznIKtU0.jpg', 'url': 'https://t.co/r6z9g7c9xr', 'display_url': 'pic.twitter.com/r6z9g7c9xr', 'expanded_url': 'https://twitter.com/dailyglacier/status/1310629231311728640/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,es,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
6,1.31049E+18,9/28/2020 8:11,"An icecap 1985-2019, Avannaata, Greenland ????
https://t.co/DighYK3dW2
GIF: https://t.co/CGHBvDHWPX https://t.co/MMqwxB9IKB",None,None,None,None,None,6,2,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DighYK3dW2', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-05.02345&GLIMSId=G307956E70929N&BgnDate=20020816&EndDate=-9999999&CenLon=-52.0442&CenLat=70.9292&O1Region=5&O2Region=1&Area=8.856&Zmin=558&Zmax=1714&Zmed=1355&Slope=14.6&Aspect=345&Lmax=5020&Status=0&Connect=0&Form=1&TermType=0&Surging=9&Linkages=9&Name=nan&regionname=Avannaata%2C+Greenland&unicodeflag=%F0%9F%87%AC%F0%9F%87%B1&friendly_name=An+icecap&productid1=LT05_L1TP_011010_19850903_20170218_01_T1&productid2=LC08_L1TP_011010_20190901_20190916_01_T1&images=G307956E70929N_1.png%2CG307956E70929N_2.png&anigif=G307956E70929N.gif&video=G307956E70929N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [45, 68]}, {'url': 'https://t.co/CGHBvDHWPX', 'expanded_url': 'http://dailyglacier.glaciology.net/G307956E70929N.gif', 'display_url': 'dailyglacier.glaciology.net/G307956E70929N…', 'indices': [74, 97]}], 'media': [{'id': 1310492287575654400, 'id_str': '1310492287575654400', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ei_NytHWAAA-M4h.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ei_NytHWAAA-M4h.jpg', 'url': 'https://t.co/MMqwxB9IKB', 'display_url': 'pic.twitter.com/MMqwxB9IKB', 'expanded_url': 'https://twitter.com/dailyglacier/status/1310492291971321858/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,no,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
7,1.31049E+18,9/28/2020 8:04,"A glacier 1986-2019, Santa Cruz Province, Argentina, Argentina ????
https://t.co/wCdubXpUNh
GIF: https://t.co/aoxYER4kN0 https://t.co/GDPgnsUbJW",None,None,None,None,None,1,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wCdubXpUNh', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-17.05966&GLIMSId=G287704E48388S&BgnDate=20009999&EndDate=20030531&CenLon=-72.2958&CenLat=-48.3876&O1Region=17&O2Region=1&Area=1.281&Zmin=1132&Zmax=1617&Zmed=1334&Slope=18.5&Aspect=102&Lmax=1051&Status=0&Connect=0&Form=0&TermType=0&Surging=9&Linkages=9&Name=nan&regionname=Santa+Cruz+Province%2C+Argentina%2C+Argentina&unicodeflag=%F0%9F%87%A6%F0%9F%87%B7&friendly_name=A+glacier&productid1=LT05_L1TP_231094_19860114_20170218_01_T1&productid2=LC08_L1TP_231094_20190109_20190131_01_T1&images=G287704E48388S_1.png%2CG287704E48388S_2.png&anigif=G287704E48388S.gif&video=G287704E48388S.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [66, 89]}, {'url': 'https://t.co/aoxYER4kN0', 'expanded_url': 'http://dailyglacier.glaciology.net/G287704E48388S.gif', 'display_url': 'dailyglacier.glaciology.net/G287704E48388S…', 'indices': [95, 118]}], 'media': [{'id': 1310490545022799873, 'id_str': '1310490545022799873', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ei_MNRmXkAEKtEd.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ei_MNRmXkAEKtEd.jpg', 'url': 'https://t.co/GDPgnsUbJW', 'display_url': 'pic.twitter.com/GDPgnsUbJW', 'expanded_url': 'https://twitter.com/dailyglacier/status/1310490559254016003/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,es,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
8,1.31008E+18,9/27/2020 4:55,"A glacier 1986-2019, Zayü County, Nyingchi City, Tibet, China ????
https://t.co/4IBILb8Zqb
GIF: https://t.co/UK4kRTA6Tl https://t.co/XsYbecGsCs",None,None,None,None,None,2,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4IBILb8Zqb', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-15.12753&GLIMSId=G097068E29496N&BgnDate=20050908&EndDate=-9999999&CenLon=97.068&CenLat=29.496&O1Region=15&O2Region=3&Area=1.63&Zmin=5302&Zmax=5640&Zmed=5472&Slope=12.1&Aspect=341&Lmax=1856&Status=0&Connect=0&Form=0&TermType=0&Surging=9&Linkages=9&Name=CN5O291B0477&regionname=Zay%C3%BC+County%2C+Nyingchi+City%2C+Tibet%2C+China&unicodeflag=%F0%9F%87%A8%F0%9F%87%B3&friendly_name=A+glacier&productid1=LT05_L1TP_134039_19861107_20170221_01_T1&productid2=LC08_L1TP_134039_20191102_20191114_01_T1&images=G097068E29496N_1.png%2CG097068E29496N_2.png&anigif=G097068E29496N.gif&video=G097068E29496N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [65, 88]}, {'url': 'https://t.co/UK4kRTA6Tl', 'expanded_url': 'http://dailyglacier.glaciology.net/G097068E29496N.gif', 'display_url': 'dailyglacier.glaciology.net/G097068E29496N…', 'indices': [94, 117]}], 'media': [{'id': 1310080477936660482, 'id_str': '1310080477936660482', 'indices': [118, 141], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1310080477936660482/pu/img/3nRE5m8dxLw5QSXg.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1310080477936660482/pu/img/3nRE5m8dxLw5QSXg.jpg', 'url': 'https://t.co/XsYbecGsCs', 'display_url': 'pic.twitter.com/XsYbecGsCs', 'expanded_url': 'https://twitter.com/dailyglacier/status/1310080487336153089/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,en,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
9,1.3099E+18,9/26/2020 17:16,"A glacier 1989-2018, Gilgit-Baltistan, Pakistan ????
https://t.co/v2w0nzqHaD
GIF: https://t.co/HNfKSlrTKE https://t.co/mMZsT3zJyB",None,None,None,None,None,0,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v2w0nzqHaD', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-14.09869&GLIMSId=G076623E35081N&BgnDate=20000904&EndDate=-9999999&CenLon=76.6233&CenLat=35.0807&O1Region=14&O2Region=2&Area=1.475&Zmin=5064&Zmax=5495&Zmed=5249&Slope=21.1&Aspect=37&Lmax=2080&Status=0&Connect=0&Form=0&TermType=0&Surging=0&Linkages=9&Name=nan&regionname=Gilgit-Baltistan%2C+Pakistan&unicodeflag=%F0%9F%87%B5%F0%9F%87%B0&friendly_name=A+glacier&productid1=LT05_L1TP_148036_19891117_20170201_01_T1&productid2=LC08_L1TP_148036_20181117_20181129_01_T1&images=G076623E35081N_1.png%2CG076623E35081N_2.png&anigif=G076623E35081N.gif&video=G076623E35081N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [51, 74]}, {'url': 'https://t.co/HNfKSlrTKE', 'expanded_url': 'http://dailyglacier.glaciology.net/G076623E35081N.gif', 'display_url': 'dailyglacier.glaciology.net/G076623E35081N…', 'indices': [80, 103]}], 'media': [{'id': 1309904576934555650, 'id_str': '1309904576934555650', 'indices': [104, 127], 'media_url': 'http://pbs.twimg.com/media/Ei23RcXXsAIREvv.png', 'media_url_https': 'https://pbs.twimg.com/media/Ei23RcXXsAIREvv.png', 'url': 'https://t.co/mMZsT3zJyB', 'display_url': 'pic.twitter.com/mMZsT3zJyB', 'expanded_url': 'https://twitter.com/dailyglacier/status/1309904589806804992/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,tr,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
10,1.30972E+18,9/26/2020 4:55,"A glacier 1989-2017, Wensu County, Aksu, Xinjiang, China ????
https://t.co/wrGgJEoYu6
GIF: https://t.co/0k1Z1bKZ2E https://t.co/U8dniDIqOV",None,None,None,None,None,1,0,dailyglacierbot,"Cryosphere, Earth","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wrGgJEoYu6', 'expanded_url': 'https://www.glaciology.net/2017/daily-glacier/?RGIId=RGI60-13.43246&GLIMSId=G080267E41801N&BgnDate=20070824&EndDate=-9999999&CenLon=80.267&CenLat=41.801&O1Region=13&O2Region=3&Area=2.031&Zmin=3923&Zmax=4811&Zmed=4425&Slope=27.2&Aspect=171&Lmax=2145&Status=0&Connect=0&Form=1&TermType=0&Surging=9&Linkages=9&Name=CN5Y674A0027+Sukalake+Glacier&regionname=Wensu+County%2C+Aksu%2C+Xinjiang%2C+China&unicodeflag=%F0%9F%87%A8%F0%9F%87%B3&friendly_name=A+glacier&productid1=LT05_L1TP_147031_19890822_20170202_01_T1&productid2=LC08_L1TP_147031_20170920_20170930_01_T1&images=G080267E41801N_1.png%2CG080267E41801N_2.png&anigif=G080267E41801N.gif&video=G080267E41801N.mp4', 'display_url': 'glaciology.net/2017/daily-gla…', 'indices': [60, 83]}, {'url': 'https://t.co/0k1Z1bKZ2E', 'expanded_url': 'http://dailyglacier.glaciology.net/G080267E41801N.gif', 'display_url': 'dailyglacier.glaciology.net/G080267E41801N…', 'indices': [89, 112]}], 'media': [{'id': 1309718200251297792, 'id_str': '1309718200251297792', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ei0Nw5HXsAAuoSr.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ei0Nw5HXsAAuoSr.jpg', 'url': 'https://t.co/U8dniDIqOV', 'display_url': 'pic.twitter.com/U8dniDIqOV', 'expanded_url': 'https://twitter.com/dailyglacier/status/1309718204978278400/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 900, 'resize': 'fit'}}}]}",1622,FALSE,161,FALSE,Daily Glacier Bot ??,FALSE,FALSE,en,"I am a bot. I pick a glacier at random, find two images decades apart. I tweet them to highlight the consequences of climate change.

Managed by @agrinsted",FALSE,dailyglacier,2376,FALSE,FALSE
