id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31143E+18,9/30/2020 22:30,"A 5.3 magnitude earthquake occurred 46.6mi ENE of Bacolod, Philippines. Details: https://t.co/6gEQPxuiSH Map: https://t.co/aknLvYdMj0",None,None,None,None,None,13,11,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6gEQPxuiSH', 'expanded_url': 'http://eqbot.com/86g', 'display_url': 'eqbot.com/86g', 'indices': [81, 104]}, {'url': 'https://t.co/aknLvYdMj0', 'expanded_url': 'http://eqbot.com/86j', 'display_url': 'eqbot.com/86j', 'indices': [110, 133]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
2,1.31139E+18,9/30/2020 19:53,"A 5.3 magnitude earthquake occurred 64mi NW of Port-Vila, Vanuatu. Details: https://t.co/hoU9nBvKmL Map: https://t.co/LsRG5SgIx8",None,None,None,None,None,14,9,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hoU9nBvKmL', 'expanded_url': 'http://eqbot.com/86k', 'display_url': 'eqbot.com/86k', 'indices': [76, 99]}, {'url': 'https://t.co/LsRG5SgIx8', 'expanded_url': 'http://eqbot.com/86e', 'display_url': 'eqbot.com/86e', 'indices': [105, 128]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
3,1.31117E+18,9/30/2020 4:54,"A 5.1 magnitude earthquake occurred 21.75mi SE of Jiufen, Taiwan. Details: https://t.co/md5V7sk3Za Map: https://t.co/WajJmBgU7Q",None,None,None,None,None,19,14,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/md5V7sk3Za', 'expanded_url': 'http://eqbot.com/8qS', 'display_url': 'eqbot.com/8qS', 'indices': [75, 98]}, {'url': 'https://t.co/WajJmBgU7Q', 'expanded_url': 'http://eqbot.com/8qQ', 'display_url': 'eqbot.com/8qQ', 'indices': [104, 127]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
4,1.31104E+18,9/29/2020 20:35,"A 5.1 magnitude earthquake occurred 58.41mi NNW of Hihifo, Tonga. Details: https://t.co/XfbzuBGzS1 Map: https://t.co/cqN4F7Bzni",None,None,None,None,None,8,8,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XfbzuBGzS1', 'expanded_url': 'http://eqbot.com/8qt', 'display_url': 'eqbot.com/8qt', 'indices': [75, 98]}, {'url': 'https://t.co/cqN4F7Bzni', 'expanded_url': 'http://eqbot.com/8q1', 'display_url': 'eqbot.com/8q1', 'indices': [104, 127]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
5,1.31081E+18,9/29/2020 4:54,"A 5.0 magnitude earthquake occurred in Volcano Islands, Japan region. Details: https://t.co/h8vb2RvRjL Map: https://t.co/ryNzRPcycV",None,None,None,None,None,28,12,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/h8vb2RvRjL', 'expanded_url': 'http://eqbot.com/8qV', 'display_url': 'eqbot.com/8qV', 'indices': [79, 102]}, {'url': 'https://t.co/ryNzRPcycV', 'expanded_url': 'http://eqbot.com/8qi', 'display_url': 'eqbot.com/8qi', 'indices': [108, 131]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
6,1.31075E+18,9/29/2020 1:19,"A 5.0 magnitude earthquake occurred 69.59mi E of Yigo Village, Guam. Details: https://t.co/5wdzXIpDoy Map: https://t.co/vu2AkPurcW",None,None,None,None,None,19,7,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5wdzXIpDoy', 'expanded_url': 'http://eqbot.com/8q7', 'display_url': 'eqbot.com/8q7', 'indices': [78, 101]}, {'url': 'https://t.co/vu2AkPurcW', 'expanded_url': 'http://eqbot.com/8qx', 'display_url': 'eqbot.com/8qx', 'indices': [107, 130]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
7,1.31074E+18,9/29/2020 0:35,A 5.2 magnitude earthquake occurred in south of the Kermadec Islands. Details: https://t.co/u9MLkRMKW5 Map: https://t.co/Hmfi7tVZdU,None,None,None,None,None,16,6,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u9MLkRMKW5', 'expanded_url': 'http://eqbot.com/8qk', 'display_url': 'eqbot.com/8qk', 'indices': [79, 102]}, {'url': 'https://t.co/Hmfi7tVZdU', 'expanded_url': 'http://eqbot.com/8qe', 'display_url': 'eqbot.com/8qe', 'indices': [108, 131]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
8,1.31051E+18,9/28/2020 9:07,A 5.1 magnitude earthquake occurred in South Sandwich Islands region. Details: https://t.co/Off3AvO5v2 Map: https://t.co/Ppku3jdtbn,None,None,None,None,None,14,8,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Off3AvO5v2', 'expanded_url': 'http://eqbot.com/8An', 'display_url': 'eqbot.com/8An', 'indices': [79, 102]}, {'url': 'https://t.co/Ppku3jdtbn', 'expanded_url': 'http://eqbot.com/8Ah', 'display_url': 'eqbot.com/8Ah', 'indices': [108, 131]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
9,1.31041E+18,9/28/2020 3:01,"A 5.2 magnitude earthquake occurred 69.59mi SSW of Nikolski, Alaska. Details: https://t.co/WA4Lksct5A Map: https://t.co/ohxD7IkHAn",None,None,None,None,None,20,9,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WA4Lksct5A', 'expanded_url': 'http://eqbot.com/8AK', 'display_url': 'eqbot.com/8AK', 'indices': [78, 101]}, {'url': 'https://t.co/ohxD7IkHAn', 'expanded_url': 'http://eqbot.com/8AR', 'display_url': 'eqbot.com/8AR', 'indices': [107, 130]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
10,1.31016E+18,9/27/2020 9:57,"A 5.3 magnitude earthquake occurred 3.73mi ENE of Masagua, Guatemala. Details: https://t.co/OMHD4Kxtes Map: https://t.co/bhiYwUwHQh",None,None,None,None,None,13,8,EQBot,Everywhere,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OMHD4Kxtes', 'expanded_url': 'http://eqbot.com/8A7', 'display_url': 'eqbot.com/8A7', 'indices': [79, 102]}, {'url': 'https://t.co/bhiYwUwHQh', 'expanded_url': 'http://eqbot.com/8Ax', 'display_url': 'eqbot.com/8Ax', 'indices': [108, 131]}]}",117284,FALSE,6,FALSE,Earthquake Robot,FALSE,FALSE,en,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakeBot,16989,FALSE,FALSE
