id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31142E+18,9/30/2020 21:39,"A 1.5 magnitude earthquake occurred 6.21mi NE of Milpitas, CA. Details: https://t.co/yM8CnNtgvW Map: https://t.co/AYyfpeTeS6",None,None,None,None,None,4,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yM8CnNtgvW', 'expanded_url': 'http://eqbot.com/86V', 'display_url': 'eqbot.com/86V', 'indices': [72, 95]}, {'url': 'https://t.co/AYyfpeTeS6', 'expanded_url': 'http://eqbot.com/86i', 'display_url': 'eqbot.com/86i', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
2,1.3114E+18,9/30/2020 20:30,"A 1.0 magnitude earthquake occurred 1.86mi NNE of Dublin, CA. Details: https://t.co/yO4ObJd5EX Map: https://t.co/DEYKTbK8JG",None,None,None,None,None,5,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yO4ObJd5EX', 'expanded_url': 'http://eqbot.com/86a', 'display_url': 'eqbot.com/86a', 'indices': [71, 94]}, {'url': 'https://t.co/DEYKTbK8JG', 'expanded_url': 'http://eqbot.com/86p', 'display_url': 'eqbot.com/86p', 'indices': [100, 123]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
3,1.3114E+18,9/30/2020 20:20,"A 1.2 magnitude earthquake occurred 6.21mi NE of Milpitas, CA. Details: https://t.co/rRbw7PQLi7 Map: https://t.co/DuawKRhW0N",None,None,None,None,None,5,2,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rRbw7PQLi7', 'expanded_url': 'http://eqbot.com/867', 'display_url': 'eqbot.com/867', 'indices': [72, 95]}, {'url': 'https://t.co/DuawKRhW0N', 'expanded_url': 'http://eqbot.com/86x', 'display_url': 'eqbot.com/86x', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
4,1.31137E+18,9/30/2020 18:12,"A 2.4 magnitude earthquake occurred 1.86mi E of Berkeley, CA. Details: https://t.co/fHE5R5kW1f Map: https://t.co/Zdtbuhvp2h",None,None,None,None,None,20,7,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fHE5R5kW1f', 'expanded_url': 'http://eqbot.com/8qm', 'display_url': 'eqbot.com/8qm', 'indices': [71, 94]}, {'url': 'https://t.co/Zdtbuhvp2h', 'expanded_url': 'http://eqbot.com/86B', 'display_url': 'eqbot.com/86B', 'indices': [100, 123]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
5,1.31129E+18,9/30/2020 12:54,"A 2.7 magnitude earthquake occurred 2.49mi ESE of Berkeley, CA. Details: https://t.co/ogi01CIVzc Map: https://t.co/xIrcxFyqTJ",None,None,None,None,None,133,47,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ogi01CIVzc', 'expanded_url': 'http://eqbot.com/8qu', 'display_url': 'eqbot.com/8qu', 'indices': [73, 96]}, {'url': 'https://t.co/xIrcxFyqTJ', 'expanded_url': 'http://eqbot.com/8qd', 'display_url': 'eqbot.com/8qd', 'indices': [102, 125]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
6,1.31128E+18,9/30/2020 12:22,"A 1.8 magnitude earthquake occurred 6.21mi NE of Milpitas, CA. Details: https://t.co/C4X5wGXLUO Map: https://t.co/QqHLqq6i7N",None,None,None,None,None,5,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C4X5wGXLUO', 'expanded_url': 'http://eqbot.com/8qv', 'display_url': 'eqbot.com/8qv', 'indices': [72, 95]}, {'url': 'https://t.co/QqHLqq6i7N', 'expanded_url': 'http://eqbot.com/8qJ', 'display_url': 'eqbot.com/8qJ', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
7,1.31122E+18,9/30/2020 8:42,"A 2.6 magnitude earthquake occurred 6.21mi NNE of Milpitas, CA. Details: https://t.co/dHeVTFD0hW Map: https://t.co/iXX8wPfeyc",None,None,None,None,None,13,3,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dHeVTFD0hW', 'expanded_url': 'http://eqbot.com/8qn', 'display_url': 'eqbot.com/8qn', 'indices': [73, 96]}, {'url': 'https://t.co/iXX8wPfeyc', 'expanded_url': 'http://eqbot.com/8qh', 'display_url': 'eqbot.com/8qh', 'indices': [102, 125]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
8,1.31112E+18,9/30/2020 1:45,"A 1.6 magnitude earthquake occurred 6.21mi NE of Milpitas, CA. Details: https://t.co/9wBWUpEdfV Map: https://t.co/qwK9U1M3Ru",None,None,None,None,None,5,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9wBWUpEdfV', 'expanded_url': 'http://eqbot.com/8qP', 'display_url': 'eqbot.com/8qP', 'indices': [72, 95]}, {'url': 'https://t.co/qwK9U1M3Ru', 'expanded_url': 'http://eqbot.com/8qM', 'display_url': 'eqbot.com/8qM', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
9,1.31101E+18,9/29/2020 18:10,"A 1.2 magnitude earthquake occurred 3.73mi S of Livermore, CA. Details: https://t.co/57hNIVCWIQ Map: https://t.co/FrB6n4EK0n",None,None,None,None,None,2,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/57hNIVCWIQ', 'expanded_url': 'http://eqbot.com/8qq', 'display_url': 'eqbot.com/8qq', 'indices': [72, 95]}, {'url': 'https://t.co/FrB6n4EK0n', 'expanded_url': 'http://eqbot.com/8q6', 'display_url': 'eqbot.com/8q6', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
10,1.31099E+18,9/29/2020 17:09,"A 2.2 magnitude earthquake occurred 3.73mi S of Livermore, CA. Details: https://t.co/isrAIWKkEc Map: https://t.co/2sZ0URNVNZ",None,None,None,None,None,6,1,EQBot,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/isrAIWKkEc', 'expanded_url': 'http://eqbot.com/8qs', 'display_url': 'eqbot.com/8qs', 'indices': [72, 95]}, {'url': 'https://t.co/2sZ0URNVNZ', 'expanded_url': 'http://eqbot.com/8qA', 'display_url': 'eqbot.com/8qA', 'indices': [101, 124]}]}",151836,FALSE,6,FALSE,SF QuakeBot,FALSE,FALSE,en,I am a robot that live-tweets earthquakes in the San Francisco Bay area. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,FALSE,earthquakesSF,11313,FALSE,FALSE
