id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311365217440407553,2020-09-30 18:00:06,"? 6855 Commissioner FOALNESE, DEMON of:
? anacondas
? debaters https://t.co/s45BWeP95E",None,None,None,None,None,9,3,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311365216089800706, 'id_str': '1311365216089800706', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EjLnt1PWAAI_tbv.png', 'media_url_https': 'https://pbs.twimg.com/media/EjLnt1PWAAI_tbv.png', 'url': 'https://t.co/s45BWeP95E', 'display_url': 'pic.twitter.com/s45BWeP95E', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1311365217440407553/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
2,1311274620184596481,2020-09-30 12:00:06,"? 6854 Squire ATAZALI, DEMON of:
? podding vomit https://t.co/vhYLOsUNk2",None,None,None,None,None,8,3,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311274618720837632, 'id_str': '1311274618720837632', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/media/EjKVUXvXYAAWy_W.png', 'media_url_https': 'https://pbs.twimg.com/media/EjKVUXvXYAAWy_W.png', 'url': 'https://t.co/vhYLOsUNk2', 'display_url': 'pic.twitter.com/vhYLOsUNk2', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1311274620184596481/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
3,1311184036942016512,2020-09-30 06:00:09,"? 6853 Servant FOA, DEMON of:
? anatomies https://t.co/7mGkMHRe24",None,None,None,None,None,8,1,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311184035671093253, 'id_str': '1311184035671093253', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/EjJC7vlWsAU4vcJ.png', 'media_url_https': 'https://pbs.twimg.com/media/EjJC7vlWsAU4vcJ.png', 'url': 'https://t.co/7mGkMHRe24', 'display_url': 'pic.twitter.com/7mGkMHRe24', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1311184036942016512/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
4,1311093427099045888,2020-09-30 00:00:06,"? 6852 Hermit VAGITHI, DEMON of:
? messiness https://t.co/6nxN9fKMC9",None,None,None,None,None,17,5,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311093425744351235, 'id_str': '1311093425744351235', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/media/EjHwhjTXkAM-Pc4.png', 'media_url_https': 'https://pbs.twimg.com/media/EjHwhjTXkAM-Pc4.png', 'url': 'https://t.co/6nxN9fKMC9', 'display_url': 'pic.twitter.com/6nxN9fKMC9', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1311093427099045888/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
5,1311002830162006022,2020-09-29 18:00:06,"? 6851 Saint ALAOSA, DEMON of:
? pacts
? ripping boons https://t.co/feTTsb1t0k",None,None,None,None,None,4,2,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311002828790542337, 'id_str': '1311002828790542337', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EjGeIHWXsAE1Nn1.png', 'media_url_https': 'https://pbs.twimg.com/media/EjGeIHWXsAE1Nn1.png', 'url': 'https://t.co/feTTsb1t0k', 'display_url': 'pic.twitter.com/feTTsb1t0k', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1311002830162006022/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
6,1310912230565851137,2020-09-29 12:00:05,"? 6850 Challenger ELARGOR, DEMON of:
? countersigns
? perfectible shorts https://t.co/u8CDJLFBSn",None,None,None,None,None,3,1,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310912228816715777, 'id_str': '1310912228816715777', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EjFLugJWAAEHQGt.png', 'media_url_https': 'https://pbs.twimg.com/media/EjFLugJWAAEHQGt.png', 'url': 'https://t.co/u8CDJLFBSn', 'display_url': 'pic.twitter.com/u8CDJLFBSn', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1310912230565851137/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
7,1310821635407183874,2020-09-29 06:00:06,"? 6849 Pastor AMRAXCAEL, DEMON of:
? pylori
? playhouses https://t.co/KptA270Cl2",None,None,None,None,None,3,0,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310821634132135937, 'id_str': '1310821634132135937', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EjD5VMpX0AEr7Rq.png', 'media_url_https': 'https://pbs.twimg.com/media/EjD5VMpX0AEr7Rq.png', 'url': 'https://t.co/KptA270Cl2', 'display_url': 'pic.twitter.com/KptA270Cl2', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1310821635407183874/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,cy,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
8,1310731037119479811,2020-09-29 00:00:06,"? 6848 Minister PESEEL, DEMON of:
? obligations
? abnormalities https://t.co/ktu6quYave",None,None,None,None,None,7,4,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310731035777392640, 'id_str': '1310731035777392640', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EjCm7reXYAAKoCo.png', 'media_url_https': 'https://pbs.twimg.com/media/EjCm7reXYAAKoCo.png', 'url': 'https://t.co/ktu6quYave', 'display_url': 'pic.twitter.com/ktu6quYave', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1310731037119479811/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
9,1310640442204139521,2020-09-28 18:00:06,"? 6847 Overbeing MAMIROS, DEMON of:
? shirtless jocks
? nominees https://t.co/Bj6KhlfEo8",None,None,None,None,None,11,2,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310640440350306305, 'id_str': '1310640440350306305', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EjBUiVNXcAEZs5V.png', 'media_url_https': 'https://pbs.twimg.com/media/EjBUiVNXcAEZs5V.png', 'url': 'https://t.co/Bj6KhlfEo8', 'display_url': 'pic.twitter.com/Bj6KhlfEo8', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1310640442204139521/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,en,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
10,1310549846495985665,2020-09-28 12:00:06,"? 6846 Treasurer GZTAROS, DEMON of:
? agrarianism https://t.co/yva6qGPCRK",None,None,None,None,None,4,1,ADDRESSEE UNKNOWN,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310549844763828225, 'id_str': '1310549844763828225', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/media/EjACI-WXYAE_Z7s.png', 'media_url_https': 'https://pbs.twimg.com/media/EjACI-WXYAE_Z7s.png', 'url': 'https://t.co/yva6qGPCRK', 'display_url': 'pic.twitter.com/yva6qGPCRK', 'expanded_url': 'https://twitter.com/ebooks_goetia/status/1310549846495985665/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'small': {'w': 656, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1120, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",7237,False,5,False,The Lesser Bot,False,False,es,The Lesser Bot of Solomon offers you endless pages from a text in the style of Ars Goetia and the Pseudomonarchia Daemonum. From @xxvi_xxxviii and @coaxialdeath,False,ebooks_goetia,7355,False,False
