id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31137E+18,9/30/2020 18:30,Colin Radcliffe - Dreamboat (2019) https://t.co/p26zlUibzI,None,None,None,None,None,227,29,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311372764188676101, 'id_str': '1311372764188676101', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EjLulMGWkAUr4Vw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjLulMGWkAUr4Vw.jpg', 'url': 'https://t.co/p26zlUibzI', 'display_url': 'pic.twitter.com/p26zlUibzI', 'expanded_url': 'https://twitter.com/queerartbot/status/1311372768290705415/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 640, 'h': 640, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 640, 'resize': 'fit'}, 'large': {'w': 640, 'h': 640, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
2,1.31119E+18,9/30/2020 6:29,Robert Mapplethorpe - White Gauze (1984) https://t.co/6GSLipH7vB,None,None,None,None,None,286,58,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311191515671257090, 'id_str': '1311191515671257090', 'indices': [41, 64], 'media_url': 'http://pbs.twimg.com/media/EjJJvIwXYAIUArk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJJvIwXYAIUArk.jpg', 'url': 'https://t.co/6GSLipH7vB', 'display_url': 'pic.twitter.com/6GSLipH7vB', 'expanded_url': 'https://twitter.com/queerartbot/status/1311191517558603781/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,ht,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
3,1.31101E+18,9/29/2020 18:30,Tamara de Lempicka - Portrait of the Duchess of La Salle (1925) https://t.co/iYhvUqbgNI,None,None,None,None,None,230,50,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311010424721211395, 'id_str': '1311010424721211395', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EjGlCQZXgAM5fBa.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGlCQZXgAM5fBa.jpg', 'url': 'https://t.co/iYhvUqbgNI', 'display_url': 'pic.twitter.com/iYhvUqbgNI', 'expanded_url': 'https://twitter.com/queerartbot/status/1311010426956787720/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 396, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 699, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1717, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
4,1.31085E+18,9/29/2020 8:08,"Jane Philomen Cleland - Soni Wolf, founding mother of Dykes on Bikes (2014) https://t.co/73rS4YnALp",None,None,None,None,None,319,59,Twitter Web App,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310853770432204800, 'id_str': '1310853770432204800', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EjEWjxsX0AAMedv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjEWjxsX0AAMedv.jpg', 'url': 'https://t.co/73rS4YnALp', 'display_url': 'pic.twitter.com/73rS4YnALp', 'expanded_url': 'https://twitter.com/queerartbot/status/1310853844151275520/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 810, 'resize': 'fit'}, 'large': {'w': 1500, 'h': 1013, 'resize': 'fit'}, 'small': {'w': 680, 'h': 459, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
5,1.31083E+18,9/29/2020 6:29,Catherine Opie - Diane di Masa (1994) https://t.co/NtFhKEvSWR,None,None,None,None,None,144,16,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310829135422541824, 'id_str': '1310829135422541824', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EjEAJ1IX0AAlR-Q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjEAJ1IX0AAlR-Q.jpg', 'url': 'https://t.co/NtFhKEvSWR', 'display_url': 'pic.twitter.com/NtFhKEvSWR', 'expanded_url': 'https://twitter.com/queerartbot/status/1310829138073341952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1000, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 567, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1000, 'h': 1200, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,it,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
6,1.31065E+18,9/28/2020 18:30,Hannah Höch - Watched (1925) https://t.co/sZtF38jFtj,None,None,None,None,None,131,19,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310648084230213635, 'id_str': '1310648084230213635', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EjBbfQ4WkAMzfOS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjBbfQ4WkAMzfOS.jpg', 'url': 'https://t.co/sZtF38jFtj', 'display_url': 'pic.twitter.com/sZtF38jFtj', 'expanded_url': 'https://twitter.com/queerartbot/status/1310648086931406854/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 802, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 454, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1336, 'h': 2000, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,de,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
7,1.31047E+18,9/28/2020 6:30,"Diana Davies - Donna Gottschalk, Christopher Street Gay Liberation Day Parade (1970) https://t.co/v92t2MYCoC",None,None,None,None,None,414,91,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310466770256486402, 'id_str': '1310466770256486402', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/Ei-2lZsXYAIfRFf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei-2lZsXYAIfRFf.jpg', 'url': 'https://t.co/v92t2MYCoC', 'display_url': 'pic.twitter.com/v92t2MYCoC', 'expanded_url': 'https://twitter.com/queerartbot/status/1310466771833573377/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 600, 'h': 791, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 791, 'resize': 'fit'}, 'small': {'w': 516, 'h': 680, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
8,1.31029E+18,9/27/2020 18:30,David Hockney - The Eighteenth V.N. Painting (1992) https://t.co/OVjV8SQvng,None,None,None,None,None,91,13,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310285638256689154, 'id_str': '1310285638256689154', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/Ei8R2IaWAAIZ0_J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei8R2IaWAAIZ0_J.jpg', 'url': 'https://t.co/OVjV8SQvng', 'display_url': 'pic.twitter.com/OVjV8SQvng', 'expanded_url': 'https://twitter.com/queerartbot/status/1310285640030969857/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 605, 'h': 454, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 605, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 605, 'h': 454, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
9,1.3101E+18,9/27/2020 6:29,"Anonymous - Leonor Fini, Paris (1938) https://t.co/Ig0dsoW6Yt",None,None,None,None,None,160,35,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310104372613992449, 'id_str': '1310104372613992449', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/Ei5s_FRX0AEnET9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei5s_FRX0AEnET9.jpg', 'url': 'https://t.co/Ig0dsoW6Yt', 'display_url': 'pic.twitter.com/Ig0dsoW6Yt', 'expanded_url': 'https://twitter.com/queerartbot/status/1310104374769745920/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1400, 'h': 1938, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 491, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 867, 'h': 1200, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,es,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
10,1.30992E+18,9/26/2020 18:29,Tessa Boffin - The Knight's Move (1990) https://t.co/lN3Jk5W6Pa,None,None,None,None,None,161,17,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309923180996440065, 'id_str': '1309923180996440065', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/media/Ei3IMV5XsAE4Ia0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei3IMV5XsAE4Ia0.jpg', 'url': 'https://t.co/lN3Jk5W6Pa', 'display_url': 'pic.twitter.com/lN3Jk5W6Pa', 'expanded_url': 'https://twitter.com/queerartbot/status/1309923184141987841/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 912, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 517, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1400, 'h': 1843, 'resize': 'fit'}}}]}",28670,FALSE,1,FALSE,queer art bot ??,FALSE,FALSE,en,A bot tweeting art by and of LGBTQI+ people across all different art media. Want literature? Follow @queerlitbot ??,FALSE,queerartbot,799,FALSE,FALSE
