id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311378530119413762,2020-09-30 18:53:00,"I idly rest: you come to me -  
 Your dear love holds me close to you, 
 If I could see you face to face 
 It would not be more sweet and true 

 Sarah Orne Jewett, Together",None,None,None,None,None,161,51,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
2,1311287945735831557,2020-09-30 12:53:03,"(this is before we're living together, before we do the most faithful act of all, mix our separate books into one library) 

 Ali Smith, Artful",None,None,None,None,None,474,139,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
3,1311197313608617984,2020-09-30 06:52:55,"I still shiver to recall 

 how perfectly your fingers 
 fell into place 

 along the ridges 
 of my ribcage. 

 Go ahead, Love, 
 take every last bone. 

 Make of me 
 what you will. 

 Nancy Boutilier, On The Eight Day Adam Slept Alone",None,None,None,None,None,741,227,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
4,1311106730802151425,2020-09-30 00:52:58,"I am reduced to a thing that wants Virginia. I composed a beautiful letter to you in the sleepless nightmare hours of the night, and it has all gone: I just miss you, in a quite simple desperate human way. 

 Vita Sackville-West, letter to Virginia Woolf",None,None,None,None,None,748,206,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
5,1311016220494356485,2020-09-29 18:53:19,"Maybe love was some combination of friendship and infatuation. A deeply felt affection accompanied by a certain sort of awe. And by gratitude. And by a desire for a lifetime of togetherness. 

 Chinelo Okparanta, Under the Udala Trees",None,None,None,None,None,1070,379,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
6,1310925550060437506,2020-09-29 12:53:01,"In that space 
 between us, the gravity 
 of my bed unable 
 to keep his body from floating 
 out the door. 

 Timothy Liu, Leaving the Universe",None,None,None,None,None,187,40,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
7,1310835175945891840,2020-09-29 06:53:54,"We are all just trying to be holy. My applejack, 
 my silent night, just mash your lips against me. 
 We are all going forward. None of us are going back. 

 Richard Siken, Snow and Dirty Rain",None,None,None,None,None,312,96,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
8,1310744366789677059,2020-09-29 00:53:04,"I want 
 to remind you. 
                   ]and beautiful times we had. 
 For many crowns of violets 
 and roses 
             ]at my side you put on 
 and many woven garlands 
 made of flowers 
 around your soft throat. 

 Sappho, trans. Anne Carson",None,None,None,None,None,406,98,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
9,1310653777716875270,2020-09-28 18:53:06,"The deepest world we share 
 And we do not talk about 
 But have to have, was there, 
 And by that light found out. 

 May Sarton, A Light Left On",None,None,None,None,None,117,29,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
10,1310563202514771968,2020-09-28 12:53:11,"Days I enjoy are days when nothing happens, 
 When I have no engagements written on my block, 
 When no one comes to disturb my inward peace 

 Vita Sackville-West, Days I Enjoy",None,None,None,None,None,393,130,"Cheap Bots, Done Quick!",,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",39368,False,1,False,queer lit bot ??,False,False,en,"Tweeting poetry, prose and plays by or about LGBTQI+ people. Want art? Follow @queerartbot ??",False,queerlitbot,3026,False,False
