id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1310957511860654080,2020-09-29 15:00:01,Introducing the ROG Z11. This premium Mini-ITX/-DTX case is designed for compact form factors by delivering advanced cooling for high-powered components through a patented 11° tilt design and optimized airflow. https://t.co/PZ5grvsVGY,None,None,None,None,None,446,68,Twitter Media Studio,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1306122309673992192, 'id_str': '1306122309673992192', 'indices': [211, 234], 'media_url': 'http://pbs.twimg.com/media/EiBIJ03UMAAi-xE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiBIJ03UMAAi-xE.jpg', 'url': 'https://t.co/PZ5grvsVGY', 'display_url': 'pic.twitter.com/PZ5grvsVGY', 'expanded_url': 'https://twitter.com/ASUS_ROG/status/1310957511860654080/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
2,1310867887368749056,2020-09-29 09:03:53,"#ROG about to storm the Billboard 100 with the talents of #EmiEvans and #WeifanChang

Stream it now - https://t.co/Eb3Tsu4Jji",None,None,None,None,None,171,17,Twitter for Advertisers (legacy),Global,"{'hashtags': [{'text': 'ROG', 'indices': [0, 4]}, {'text': 'EmiEvans', 'indices': [58, 67]}, {'text': 'WeifanChang', 'indices': [72, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Eb3Tsu4Jji', 'expanded_url': 'https://lnk.to/REIGNITE_ROG', 'display_url': 'lnk.to/REIGNITE_ROG', 'indices': [102, 125]}]}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
3,1310612703417753600,2020-09-28 16:09:53,@zSitez_ You need a charger.,1310611610252333056,Kamuiiyt,1310611610252333056,1155589932313993216,1155589932313993216,1,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
4,1310612299367866378,2020-09-28 16:08:16,@Dsansu1 You never have enough screens.,1310599577318436870,Dsansu1,1310599577318436870,1051037970969571328,1051037970969571328,3,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dsansu1', 'name': 'Dsansu', 'id': 1051037970969571328, 'id_str': '1051037970969571328', 'indices': [0, 8]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
5,1310611634449129472,2020-09-28 16:05:38,@vivek_kaushal ????,1310601294084739072,vivek_kaushal,1310601294084739072,86483224,86483224,1,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vivek_kaushal', 'name': 'Vivek Kaushal', 'id': 86483224, 'id_str': '86483224', 'indices': [0, 14]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,und,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
6,1310599854532427783,2020-09-28 15:18:49,@deCode666 We just need to coat them in sugar I guess??,1310597960976216065,deCode666,1310597960976216065,103414901,103414901,1,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'deCode666', 'name': 'Dum Dum', 'id': 103414901, 'id_str': '103414901', 'indices': [0, 10]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
7,1310599308354285568,2020-09-28 15:16:39,@Kqwell I tried to warn you...,1310598896658325504,Kqwell,1310598896658325504,703669030691987456,703669030691987456,1,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Kqwell', 'name': '????????????????', 'id': 703669030691987456, 'id_str': '703669030691987456', 'indices': [0, 7]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
8,1310599058948370432,2020-09-28 15:15:40,@Unbreakable353 This couldn't be more on point!,1310598092316606464,Unbreakable353,1310598092316606464,2203143098,2203143098,4,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Unbreakable353', 'name': 'Justin Schikerle', 'id': 2203143098, 'id_str': '2203143098', 'indices': [0, 15]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
9,1310598233106784256,2020-09-28 15:12:23,@EyeAmbition Zephyrus Duo 15 ??,1310596513895120896,EyeAmbition,1310596513895120896,2446277130,2446277130,3,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EyeAmbition', 'name': 'Ambition', 'id': 2446277130, 'id_str': '2446277130', 'indices': [0, 12]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
10,1310597996459864064,2020-09-28 15:11:26,"@LeonardMartin27 The ice cubes are not for sale. 
You can try to get a set by entering the giveaway ??",1310595322436112384,LeonardMartin27,1310595322436112384,1022572866284355584,1022572866284355584,0,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LeonardMartin27', 'name': 'Leonard Martin', 'id': 1022572866284355584, 'id_str': '1022572866284355584', 'indices': [0, 16]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
11,1310597046718443523,2020-09-28 15:07:40,@raviel_rouge That's destiny!,1310596877830836228,raviel_rouge,1310596877830836228,3411284494,3411284494,2,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raviel_rouge', 'name': 'Let’s GO Phar0s', 'id': 3411284494, 'id_str': '3411284494', 'indices': [0, 13]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
12,1310595123114397697,2020-09-28 15:00:01,"Keep your cool. Boost your FPS. And pour a cold drink to your victory!

AND! We're giving away 50 sets of ROG Ice Rocks!
Select your favorite ROG cooling technology on the webpage and share the results with #ROGIntelligentCooling for a chance to win a set of ROG Ice Rocks  ????",None,None,None,None,None,352,44,Twitter for Advertisers (legacy),Global,"{'hashtags': [{'text': 'ROGIntelligentCooling', 'indices': [207, 229]}], 'symbols': [], 'user_mentions': [], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
13,1310585766599249921,2020-09-28 14:22:50,"@Mort_et_vide Technically, you're not wrong",1310580482082398213,Mort_et_vide,1310580482082398213,3301778686,3301778686,32,0,Twitter Web App,Global,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mort_et_vide', 'name': 'aged milk', 'id': 3301778686, 'id_str': '3301778686', 'indices': [0, 13]}], 'urls': []}",891680,False,236,False,ROG Global,False,True,en,"The Official ASUS ROG Twitter. 

For support, please contact ASUS ROG in your region or go to https://t.co/dTfEQaugTO",True,ASUS_ROG,8660,False,False
