id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311408027887640576,2020-09-30 20:50:13,"@aachirinos Hi, please use this link https://t.co/vqgDY0WgIL",1311370453013889025,aachirinos,1311370453013889025,138414290,138414290,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aachirinos', 'name': 'Asdrúbal A. Chirinos', 'id': 138414290, 'id_str': '138414290', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/vqgDY0WgIL', 'expanded_url': 'https://www.bosch-home.com/contact-us/select-your-location#/Togglebox=region-toggle-2/', 'display_url': 'bosch-home.com/contact-us/sel…', 'indices': [37, 60]}]}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
2,1311327964492169216,2020-09-30 15:32:04,"@Oni0010 Hi, can you please DM us with your contact details and what product is this regarding and we'll contact you asap. Thanks /bg",1311316105395281922,Oni0010,1311316105395281922,930490267643334663,930490267643334663,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Oni0010', 'name': 'Onkar Ningonda Patil', 'id': 930490267643334663, 'id_str': '930490267643334663', 'indices': [0, 8]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
3,1311287010867335168,2020-09-30 12:49:20,Personal guardian angel: Our Vivatar go button can easily be clipped to the collar of a jacket when #exercising outdoors and can be used to trigger an #emergency call when needed – quickly and easily. Find out how our #emergencycall system works: https://t.co/XMliUdHypN https://t.co/CfxcoS8yiv,None,None,None,None,None,939,49,Percolate,"Stuttgart, Germany","{'hashtags': [{'text': 'exercising', 'indices': [100, 111]}, {'text': 'emergency', 'indices': [151, 161]}, {'text': 'emergencycall', 'indices': [218, 232]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XMliUdHypN', 'expanded_url': 'https://bit.ly/Bosch-VivatarGo', 'display_url': 'bit.ly/Bosch-VivatarGo', 'indices': [247, 270]}], 'media': [{'id': 1311287005737754624, 'id_str': '1311287005737754624', 'indices': [271, 294], 'media_url': 'http://pbs.twimg.com/media/EjKglY-VoAAm_QP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKglY-VoAAm_QP.jpg', 'url': 'https://t.co/CfxcoS8yiv', 'display_url': 'pic.twitter.com/CfxcoS8yiv', 'expanded_url': 'https://twitter.com/BoschGlobal/status/1311287010867335168/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1619, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}}]}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
4,1311233017642393600,2020-09-30 09:14:47,"@Oni0010 Hi, thanks for getting in touch. To handle your request appropriately, please can you specify your current location? Thanks /bg",1311218677266616320,Oni0010,1311218677266616320,930490267643334663,930490267643334663,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Oni0010', 'name': 'Onkar Ningonda Patil', 'id': 930490267643334663, 'id_str': '930490267643334663', 'indices': [0, 8]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
5,1311162430618251265,2020-09-30 04:34:18,"@DrAthang Hi, please can you send us a private message with your contact details? We'll pass them over to the relevant dept so they can contact you directly. Thanks /bg",1311157452700696576,DrAthang,1311157452700696576,1284919770119204864,1284919770119204864,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrAthang', 'name': 'Athang Satav', 'id': 1284919770119204864, 'id_str': '1284919770119204864', 'indices': [0, 9]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
6,1311148251777839105,2020-09-30 03:37:57,"@mehulshah1806 Hi, thanks for getting in touch. Here is the contact details for Home Appliances: 1800 266 1880. Thanks /bg",1311144948717088768,mehulshah1806,1311144948717088768,1850716159,1850716159,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mehulshah1806', 'name': 'Mehul Shah', 'id': 1850716159, 'id_str': '1850716159', 'indices': [0, 14]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
7,1311032539994370058,2020-09-29 19:58:09,"@ercandonmez1 Merhaba, size yard?mc? olabilmemiz için telefon numaran?z? sosyalmedya@boschevaletleri.com'a iletebilir misiniz?",1311026980670898176,ercandonmez1,1311026980670898176,389582107,389582107,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ercandonmez1', 'name': 'protagonist', 'id': 389582107, 'id_str': '389582107', 'indices': [0, 13]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,tr,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
8,1310976793470533637,2020-09-29 16:16:38,"@samguaiana Hi, we've noted your details, and passed them to the relevant department. We recommend you remove the tweet containing your contact info to protect your privacy. Thanks /bg",1310954621255536641,samguaiana,1310954621255536641,29152501,29152501,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samguaiana', 'name': 'Salvatore Sam Guaiana', 'id': 29152501, 'id_str': '29152501', 'indices': [0, 11]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
9,1310954350135644163,2020-09-29 14:47:28,"@samguaiana Hi, Can  you please provide the model number of the dryer and a contact email address. Thanks b/g",1310948186115182595,samguaiana,1310948186115182595,29152501,29152501,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samguaiana', 'name': 'Salvatore Ham Guaiana', 'id': 29152501, 'id_str': '29152501', 'indices': [0, 11]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
10,1310942995714387968,2020-09-29 14:02:20,"@hrsa Hi, We will take it into consideration and see what is decided for the coming products. Thank you - Your Bosch eBike team",1310932238943608832,hrsa,1310932238943608832,11412282,11412282,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hrsa', 'name': 'hrsa', 'id': 11412282, 'id_str': '11412282', 'indices': [0, 5]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
11,1310931879978176518,2020-09-29 13:18:10,"?? BlueMovement, set up by our subsidiary BSH Home Appliances, is a home #appliance leasing service in the Netherlands. Here, customers can rent highly #efficient appliances that are reconditioned at the end of their lease term to be #reused or #recycled: https://t.co/b2aMiSQKuX https://t.co/1HM3BD1gH0",None,None,None,None,None,832,44,Percolate,"Stuttgart, Germany","{'hashtags': [{'text': 'appliance', 'indices': [72, 82]}, {'text': 'efficient', 'indices': [151, 161]}, {'text': 'reused', 'indices': [233, 240]}, {'text': 'recycled', 'indices': [244, 253]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b2aMiSQKuX', 'expanded_url': 'https://bit.ly/BlueMovementBosch', 'display_url': 'bit.ly/BlueMovementBo…', 'indices': [255, 278]}], 'media': [{'id': 1310931877973209090, 'id_str': '1310931877973209090', 'indices': [279, 302], 'media_url': 'http://pbs.twimg.com/media/EjFdmO9UMAInBhY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjFdmO9UMAInBhY.jpg', 'url': 'https://t.co/1HM3BD1gH0', 'display_url': 'pic.twitter.com/1HM3BD1gH0', 'expanded_url': 'https://twitter.com/BoschGlobal/status/1310931879978176518/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1440, 'h': 680, 'resize': 'fit'}, 'small': {'w': 680, 'h': 321, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 567, 'resize': 'fit'}}}]}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
12,1310931879978176518,2020-09-29 13:18:10,"?? BlueMovement, set up by our subsidiary BSH Home Appliances, is a home #appliance leasing service in the Netherlands. Here, customers can rent highly #efficient appliances that are reconditioned at the end of their lease term to be #reused or #recycled: https://t.co/b2aMiSQKuX https://t.co/1HM3BD1gH0",None,None,None,None,None,832,44,Percolate,"Stuttgart, Germany","{'hashtags': [{'text': 'appliance', 'indices': [72, 82]}, {'text': 'efficient', 'indices': [151, 161]}, {'text': 'reused', 'indices': [233, 240]}, {'text': 'recycled', 'indices': [244, 253]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b2aMiSQKuX', 'expanded_url': 'https://bit.ly/BlueMovementBosch', 'display_url': 'bit.ly/BlueMovementBo…', 'indices': [255, 278]}], 'media': [{'id': 1310931877973209090, 'id_str': '1310931877973209090', 'indices': [279, 302], 'media_url': 'http://pbs.twimg.com/media/EjFdmO9UMAInBhY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjFdmO9UMAInBhY.jpg', 'url': 'https://t.co/1HM3BD1gH0', 'display_url': 'pic.twitter.com/1HM3BD1gH0', 'expanded_url': 'https://twitter.com/BoschGlobal/status/1310931879978176518/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1440, 'h': 680, 'resize': 'fit'}, 'small': {'w': 680, 'h': 321, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 567, 'resize': 'fit'}}}]}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
13,1310919008661712897,2020-09-29 12:27:02,"@pallavi150 Hi, we've noted your details and passed this on to the relevant dept, but we recommend that you remove the tweet containing your contact info to protect your privacy",1310917949511745536,pallavi150,1310917949511745536,29171210,29171210,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pallavi150', 'name': 'pallavi', 'id': 29171210, 'id_str': '29171210', 'indices': [0, 11]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
14,1310917021308248064,2020-09-29 12:19:08,"@pallavi150 Hi, we really do want to help you resolve this problem. As previously requested, can you please send us your contact details per DM and we will do our best to help you.",1310916069146517507,pallavi150,1310916069146517507,29171210,29171210,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pallavi150', 'name': 'pallavi', 'id': 29171210, 'id_str': '29171210', 'indices': [0, 11]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
15,1310901515301904384,2020-09-29 11:17:31,"@hrsa Hi, thank you so much for your feedback. We have noted your comments and will forward them to our development team  to be able to improve our products. We appreciate you taking the time to help us become better. Your Bosch eBike team",1308476645133746177,hrsa,1308476645133746177,11412282,11412282,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hrsa', 'name': 'hrsa', 'id': 11412282, 'id_str': '11412282', 'indices': [0, 5]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
16,1310893941055803393,2020-09-29 10:47:25,"@Ouzyldr93125526 Hi, can you please DM us with your contact info and our team will get back to you asap. Thanks /bg",1310889719803400196,Ouzyldr93125526,1310889719803400196,1310880420343537665,1310880420343537665,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ouzyldr93125526', 'name': 'O?uz y?ld?r?m', 'id': 1310880420343537665, 'id_str': '1310880420343537665', 'indices': [0, 16]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
17,1310849755472420864,2020-09-29 07:51:50,"@mehulshah1806 Hi, thank you for your patience. We've escalated your case internally and our team will get back to you asap. Thanks /bg",1310846945812856832,mehulshah1806,1310846945812856832,1850716159,1850716159,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mehulshah1806', 'name': 'Mehul Shah', 'id': 1850716159, 'id_str': '1850716159', 'indices': [0, 14]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
18,1310790988219265025,2020-09-29 03:58:19,"@caskagloy Hi, please can you send us a private message with your contact details? We'll pass them over to the relevant dept so they can contact you directly. Thanks /bg",1310788305366052865,caskagloy,1310788305366052865,15738244,15738244,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'caskagloy', 'name': '?? Caska ?? ???', 'id': 15738244, 'id_str': '15738244', 'indices': [0, 10]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
19,1310786490683797504,2020-09-29 03:40:27,"@bhavinshaah Hi, we are very sorry to hear this. Please DM us with your contact details and we'll get back to you soon.",1310783844321296386,bhavinshaah,1310783844321296386,1202525378142621696,1202525378142621696,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bhavinshaah', 'name': 'Bhavin Shah', 'id': 1202525378142621696, 'id_str': '1202525378142621696', 'indices': [0, 12]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
20,1310667161766187017,2020-09-28 19:46:17,"@shashi9754 Hi, we are very sorry to hear this. Please DM us with your contact details and we'll get back to you soon.",1310652672916164608,shashi9754,1310652672916164608,104142695,104142695,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shashi9754', 'name': 'shashi kant singh', 'id': 104142695, 'id_str': '104142695', 'indices': [0, 11]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,en,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
21,1310643126592249859,2020-09-28 18:10:46,"@b2avar Merhaba, size yard?mc? olabilmemiz için telefon numaran?z? sosyalmedya@boschevaletleri.com'a iletebilir misiniz?",1310636755574550540,b2avar,1310636755574550540,1282439244376662018,1282439244376662018,0,0,Salesforce - Social Studio,"Stuttgart, Germany","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'b2avar', 'name': 'Burak Avar', 'id': 1282439244376662018, 'id_str': '1282439244376662018', 'indices': [0, 7]}], 'urls': []}",253371,False,319,False,BoschGlobal,False,True,tr,"Bosch is a leading supplier of #technology & services. We tweet about topics like #IoT, #AI & #mobility. Imprint/Data Protection Policy: https://t.co/BWdk5hHF8y",True,BoschGlobal,19509,False,False
