id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311283407704535045,2020-09-30 12:35:01,"@cougars09 We thank you so much for your patience and loyalty during this time, RIck. We hope to have all our packs and sizes, including our wider jumbo rolls, rolling out again beary soon.",1311194957172989953,cougars09,1311194957172989953,30546319,30546319,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cougars09', 'name': '????ROLL TIDE??????', 'id': 30546319, 'id_str': '30546319', 'indices': [0, 10]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
2,1311279018604404736,2020-09-30 12:17:35,"@JuCrewss We're sorry to hear you're having this experience, Julia. Back in Feb, we did make some scheduled upgrades to our Ultra Soft, &amp; if it's no longer helping you enjoy the go, we want to know, &amp; see how we can help. Please DM us, &amp; share the number you see on a core if possible.",1311062421109432321,JuCrewss,1311062421109432321,37698057,37698057,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JuCrewss', 'name': '?julia ???\u200d??', 'id': 37698057, 'id_str': '37698057', 'indices': [0, 9]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
3,1310994065836716032,2020-09-29 17:25:17,"@horsek0w Psst, If you're eating our TP, you're using it wrong...",1310993264997093376,horsek0w,1310993264997093376,1186851440561549312,1186851440561549312,6,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'horsek0w', 'name': 'horsecow', 'id': 1186851440561549312, 'id_str': '1186851440561549312', 'indices': [0, 9]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
4,1310993669248479234,2020-09-29 17:23:42,@Kocos_the_Troll ...because we're the best at cleaning up the worse mess...and that's the bottom line! ??,1310987734807384065,GOODKOCOMADCITY,1310987734807384065,1235055102114832384,1235055102114832384,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
5,1310992508571332610,2020-09-29 17:19:05,"@Walmart We hope Papa Bear remembered his shopping list, Momma Bear won't be too happy if he only comes home with Charmin!  ??",1310985657326678020,Walmart,1310985657326678020,17137891,17137891,12,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [0, 8]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
6,1310992042751913985,2020-09-29 17:17:14,"@theendinggaming You can have your best bottom with Charmin, too, even if you're not a bear... ??",1310985948868485120,theendinggaming,1310985948868485120,749764232300769280,749764232300769280,2,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theendinggaming', 'name': 'TheEndingGaming ??', 'id': 749764232300769280, 'id_str': '749764232300769280', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
7,1310992042751913985,2020-09-29 17:17:14,"@theendinggaming You can have your best bottom with Charmin, too, even if you're not a bear... ??",1310985948868485120,theendinggaming,1310985948868485120,749764232300769280,749764232300769280,2,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theendinggaming', 'name': 'TheEndingGaming ??', 'id': 749764232300769280, 'id_str': '749764232300769280', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
8,1310980184519180289,2020-09-29 16:30:07,"@DirtyDaveThePi1 We replied to your other mention, Dave, but wanted to make sure you got our response.  No bottom should feel like you've described and we'd like to hear more and see how we can help.  DM us soon so you can get the attention you need!",1310977044562481152,DirtyDaveThePi1,1310977044562481152,1283066065858240512,1283066065858240512,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DirtyDaveThePi1', 'name': 'Dirty Dave The Pirate', 'id': 1283066065858240512, 'id_str': '1283066065858240512', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
9,1310979409298554881,2020-09-29 16:27:02,"@DirtyDaveThePi1 Happy, healthy, and pampered tushies are what we want for you - no ifs, no butts, no coconuts, Pirate!  Why don't you roll into a DM and tell us more about this and we'll help you as much as we can, we look forward to wiping this problem away!",1310976787833401344,DirtyDaveThePi1,1310976787833401344,1283066065858240512,1283066065858240512,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DirtyDaveThePi1', 'name': 'Dirty Dave The Pirate', 'id': 1283066065858240512, 'id_str': '1283066065858240512', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
10,1310914048553353216,2020-09-29 12:07:19,"@kayla_rae25 They say you can grow up to be whatever you want to be right? ?? Sweet dreams, Moira. ?? ??",1310767173934231552,kayla_rae25,1310767173934231552,312938890,312938890,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kayla_rae25', 'name': 'Kayla Dickey', 'id': 312938890, 'id_str': '312938890', 'indices': [0, 12]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
11,1310904495371624449,2020-09-29 11:29:21,"@SaenzPhoto We thank you so much for your loyalty &amp; patience during these times. We're happy to say we're not discontinuing our Forever Roll, &amp; hope that you'll be able to order it again beary soon. If you've ordered in the past, you should receive an email update once stock returns. ?? ??",1310778691585077250,SaenzPhoto,1310778691585077250,3240651634,3240651634,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SaenzPhoto', 'name': 'EJS', 'id': 3240651634, 'id_str': '3240651634', 'indices': [0, 11]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
12,1310898659714830336,2020-09-29 11:06:10,"@modelmiche That seems a bit too low for an 18 pack of our product, but retailers do set the pricing. Therefore, we're unable to see where this is available for this price. We suggest contacting the retailer for info on where it may be available at that price.",1310574179675246593,modelmiche,1310574179675246593,10927092,10927092,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'modelmiche', 'name': 'Miche', 'id': 10927092, 'id_str': '10927092', 'indices': [0, 11]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
13,1310571912444219394,2020-09-28 13:27:47,"@modelmiche We'd be more than happy to help you locate your favorite Charmin, Miche. Just visit https://t.co/trO64fMNR6 and then after choosing your favorite, click Where to Buy.",1310427670883295232,modelmiche,1310427670883295232,10927092,10927092,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'modelmiche', 'name': 'Miche', 'id': 10927092, 'id_str': '10927092', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/trO64fMNR6', 'expanded_url': 'http://spr.ly/6012GIrMe', 'display_url': 'spr.ly/6012GIrMe', 'indices': [96, 119]}]}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
14,1310571438735339523,2020-09-28 13:25:54,"@David78128979 We never stopped rolling them out to subscribers during this time, butt we hope to have them available to those that would like to place new or one-time orders again soon. We'll be sure to email all that rolled with us in the past once those orders can be placed.",1310402161658929153,David78128979,1310402161658929153,1201261522745360388,1201261522745360388,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'David78128979', 'name': 'David M.', 'id': 1201261522745360388, 'id_str': '1201261522745360388', 'indices': [0, 14]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
15,1310570409700532224,2020-09-28 13:21:49,"@HDRUCKER We're happy to be back in your life again, and that you're starting to feel better, Heather. ?? ??",1310361656439046144,HDRUCKER,1310361656439046144,17371274,17371274,1,1,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HDRUCKER', 'name': 'Heather Drucker', 'id': 17371274, 'id_str': '17371274', 'indices': [0, 9]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
16,1310568010323722242,2020-09-28 13:12:17,"@ComparedBaker29 Have you tried our Ultra Strong? Its design allows for more help to capture the mess, so you can use less! Just check out https://t.co/IiaRBGKSuN to learn more.",1310008425984724996,ComparedBaker29,1310008425984724996,802544597088030720,802544597088030720,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ComparedBaker29', 'name': 'Dave a.k.a David', 'id': 802544597088030720, 'id_str': '802544597088030720', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/IiaRBGKSuN', 'expanded_url': 'http://spr.ly/6012GIRa8', 'display_url': 'spr.ly/6012GIRa8', 'indices': [139, 162]}]}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
17,1310567519112101888,2020-09-28 13:10:20,"@KimBartoe We're so happy to be reunited with you again too, Kim! ?? ?? ?? Thanks so much for your loyalty and patience.",1309968177787437056,KimBartoe,1309968177787437056,345584965,345584965,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KimBartoe', 'name': 'KimMGB', 'id': 345584965, 'id_str': '345584965', 'indices': [0, 10]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
18,1310567251104407552,2020-09-28 13:09:16,@mitchbytes The Charmin bears do! ??,1309939718210170884,mitchbytes,1309939718210170884,64420065,64420065,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mitchbytes', 'name': 'SonofaMitch', 'id': 64420065, 'id_str': '64420065', 'indices': [0, 11]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
19,1310560309761970176,2020-09-28 12:41:41,"@cookiechadchad We want to assure you that we'll be rolling out our Forever Rolls again soon, Chad. They aren't going away, and we'll be sure to alert you when they are back!",1310315828882157568,cookiechadchad,1310315828882157568,114513834,114513834,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cookiechadchad', 'name': 'Chad', 'id': 114513834, 'id_str': '114513834', 'indices': [0, 15]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
20,1310559659502305281,2020-09-28 12:39:06,"@chacha_original We're sorry to hear it doesn't quite fit. We hope that it fits most, butt we know there can be some exceptions. ??",1309863635213221888,chacha_original,1309863635213221888,2150041261,2150041261,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chacha_original', 'name': 'chacha original', 'id': 2150041261, 'id_str': '2150041261', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
21,1310557940349374467,2020-09-28 12:32:16,@cocoazafreen You're beary welcome! We just replied. Please check your inbox when you have a moment.,1309608513967140865,cocoazafreen,1309608513967140865,25089600,25089600,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cocoazafreen', 'name': 'best kept secret', 'id': 25089600, 'id_str': '25089600', 'indices': [0, 13]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
22,1310556012861100032,2020-09-28 12:24:37,@wosup314 ?? ?? We hope to be back in stock beary soon!,1309598420592713728,wosup314,1309598420592713728,33308124,33308124,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wosup314', 'name': 'Wos', 'id': 33308124, 'id_str': '33308124', 'indices': [0, 9]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
23,1309593491559849986,2020-09-25 20:39:54,"@cocoazafreen Please know that we're working diligently to ensure we can continue to serve our consumers and meet demand in the middle of a highly dynamic situation. We're sorry you’re experiencing a temporary shortage at your local stores. We'd love to see how we can help, so please DM us!",1309581084464762884,cocoazafreen,1309581084464762884,25089600,25089600,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cocoazafreen', 'name': 'best kept secret', 'id': 25089600, 'id_str': '25089600', 'indices': [0, 13]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
24,1309527350338637825,2020-09-25 16:17:04,"@mariwhitehurst1 This. is. EPIC!  ?? Splish, splash, a charity's gettin' cash!  ??",1309524014768033792,mariwhitehurst1,1309524014768033792,1376954539,1376954539,2,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mariwhitehurst1', 'name': 'Marianna Whitehurst', 'id': 1376954539, 'id_str': '1376954539', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
25,1309526578121117696,2020-09-25 16:14:00,"@wosup314 We know this is frustrating, Wos, we're working as hard as we can to get Forever Rolls back to homes everywhere!  Keep checking our website for updates - https://t.co/IbM7TxZhsl  If you haven't yet, you can sign up for an email there to get notified when they're back in stock!",1309522241881866243,wosup314,1309522241881866243,33308124,33308124,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wosup314', 'name': 'Wos', 'id': 33308124, 'id_str': '33308124', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/IbM7TxZhsl', 'expanded_url': 'http://spr.ly/6011GxlOf', 'display_url': 'spr.ly/6011GxlOf', 'indices': [164, 187]}]}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
26,1309523356383932419,2020-09-25 16:01:12,"@THE_Ben_Teaford We'll keep that in mind, thanks! ?? ??",1309515034154995712,THE_Ben_Teaford,1309515034154995712,624784238,624784238,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'THE_Ben_Teaford', 'name': 'Ben Teaford', 'id': 624784238, 'id_str': '624784238', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
27,1309523356383932419,2020-09-25 16:01:12,"@THE_Ben_Teaford We'll keep that in mind, thanks! ?? ??",1309515034154995712,THE_Ben_Teaford,1309515034154995712,624784238,624784238,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'THE_Ben_Teaford', 'name': 'Ben Teaford', 'id': 624784238, 'id_str': '624784238', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
28,1309522684238114816,2020-09-25 15:58:32,"@WagesGarnished ...it's a dirty job, but somebody has to do it...",1309512646857646081,WagesGarnished,1309512646857646081,1238134376967180288,1238134376967180288,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WagesGarnished', 'name': 'End', 'id': 1238134376967180288, 'id_str': '1238134376967180288', 'indices': [0, 15]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
29,1309522147363217409,2020-09-25 15:56:24,"@mariwhitehurst1 Rather than using goal posts, can we use big, raised toilet seats? ?? ?? ??",1309497571572953088,mariwhitehurst1,1309497571572953088,1376954539,1376954539,1,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mariwhitehurst1', 'name': 'Marianna Whitehurst', 'id': 1376954539, 'id_str': '1376954539', 'indices': [0, 16]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
30,1309480295859720192,2020-09-25 13:10:06,"@Texas_lemtech The glue we use on the beginning of our rolls should just hold it together, not cause problems or make it too hard to use.  Our production and quality teams makes sure only the best Charmin leaves our factories, so we'd like to learn more about this.  Please send us a PM soon!",1309467842396532736,Texas_lemtech,1309467842396532736,419792432,419792432,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Texas_lemtech', 'name': 'Bobbaaay', 'id': 419792432, 'id_str': '419792432', 'indices': [0, 14]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
31,1309473735531999232,2020-09-25 12:44:02,"@JoshuaMRieger Aw, poor little dude!  We don't want anyone scared by our lovely, kind, soft Bear Family!  Give your little guy a big bear hug from Charmin, and we hope he feels better soon. ?? ?? ??",1309341657968652288,JoshuaMRieger,1309341657968652288,23145019,23145019,6,1,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoshuaMRieger', 'name': 'Josh Rieger', 'id': 23145019, 'id_str': '23145019', 'indices': [0, 14]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
32,1309472459976998913,2020-09-25 12:38:57,"@dragun76 Do we really need to explain this to you or can we just suggest you read, ""Everybody Poops""? ??",1309296479710871553,dragun76,1309296479710871553,27662636,27662636,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dragun76', 'name': 'Cryptin', 'id': 27662636, 'id_str': '27662636', 'indices': [0, 9]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
33,1309472027087122434,2020-09-25 12:37:14,"@kmcmartens Toilet Paper Math, our favorite kind!  48 / 12 = 4 'regular-sized' rolls in each of the 12 rolls.  The amount of squares in all 12 rolls ='s the amount of squares you'd have in 48 regular sized rolls.  Congrats, you just attended your first TP Math lesson!",1309286407509364736,kmcmartens,1309286407509364736,247099520,247099520,0,0,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kmcmartens', 'name': 'kelsi', 'id': 247099520, 'id_str': '247099520', 'indices': [0, 11]}], 'urls': []}",84852,False,4128,False,Charmin,False,True,en,Enjoy the go.,False,Charmin,15293,False,False
