id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311440694838538245,2020-09-30 23:00:01,Here’s how we are helping a life sciences manufacturer enrich spend data for all business units through our Spend Analytics data transformation workbench: https://t.co/D3y4KXAO75 #HealthTech https://t.co/QxBaUEFLll,None,None,None,None,None,7,0,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'HealthTech', 'indices': [179, 190]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D3y4KXAO75', 'expanded_url': 'https://dxc.to/3mU7ZhF', 'display_url': 'dxc.to/3mU7ZhF', 'indices': [155, 178]}], 'media': [{'id': 1311440693341102080, 'id_str': '1311440693341102080', 'indices': [191, 214], 'media_url': 'http://pbs.twimg.com/media/EjMsXL6WoAAPQYW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMsXL6WoAAPQYW.jpg', 'url': 'https://t.co/QxBaUEFLll', 'display_url': 'pic.twitter.com/QxBaUEFLll', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311440694838538245/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
2,1311342546359123970,2020-09-30 16:30:01,"Skimming attacks intercept customer payment details at the point of purchase, making them harder to detect. Jim Hardisty says this is the best proactive cyber defense to protect both customers and retailers: https://t.co/EDKKTIkmhV https://t.co/bxBlrXE67E",None,None,None,None,None,9,5,Sprinklr Publishing,Global Technology Company,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EDKKTIkmhV', 'expanded_url': 'https://dxc.to/368csaQ', 'display_url': 'dxc.to/368csaQ', 'indices': [208, 231]}], 'media': [{'id': 1311342544685600775, 'id_str': '1311342544685600775', 'indices': [232, 255], 'media_url': 'http://pbs.twimg.com/media/EjLTGLrXkAcIOu4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjLTGLrXkAcIOu4.jpg', 'url': 'https://t.co/bxBlrXE67E', 'display_url': 'pic.twitter.com/bxBlrXE67E', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311342546359123970/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
3,1311267102922244107,2020-09-30 11:30:14,"What are the key differentiators of public, private, hybrid and multi-cloud? @JamsekNicholas and @mcsausen will break it down and show you proven adoption examples. Register and search for session HCP3172S: https://t.co/7b4zq0ZvUB #VMworld #DXCPartners https://t.co/DraMCSOJkE",None,None,None,None,None,17,5,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'VMworld', 'indices': [231, 239]}, {'text': 'DXCPartners', 'indices': [240, 252]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JamsekNicholas', 'name': 'Nicholas Jamsek', 'id': 1301138452138717186, 'id_str': '1301138452138717186', 'indices': [77, 92]}, {'screen_name': 'mcsausen', 'name': 'Michael Sausen', 'id': 40140212, 'id_str': '40140212', 'indices': [97, 106]}], 'urls': [{'url': 'https://t.co/7b4zq0ZvUB', 'expanded_url': 'https://dxc.to/30jTkCN', 'display_url': 'dxc.to/30jTkCN', 'indices': [207, 230]}], 'media': [{'id': 1311267055757414400, 'id_str': '1311267055757414400', 'indices': [253, 276], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311267055757414400/pu/img/jbOTWgJ8lgEaB8Ft.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311267055757414400/pu/img/jbOTWgJ8lgEaB8Ft.jpg', 'url': 'https://t.co/DraMCSOJkE', 'display_url': 'pic.twitter.com/DraMCSOJkE', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311267102922244107/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 540, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 960, 'h': 540, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
4,1311123706010308609,2020-09-30 02:00:25,Challenges that face #healthcare today highlight opportunities for #digital disruption to play a larger positive role in the evolution of the space. Could tech change the way we access healthcare? https://t.co/8AIxTj4EeB Via @BBC @DXCTechnology https://t.co/YtoJabEu9q,None,None,None,None,None,11,2,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'healthcare', 'indices': [21, 32]}, {'text': 'digital', 'indices': [67, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BBC', 'name': 'BBC', 'id': 19701628, 'id_str': '19701628', 'indices': [225, 229]}, {'screen_name': 'DXCTechnology', 'name': 'DXC Technology', 'id': 599689553, 'id_str': '599689553', 'indices': [230, 244]}], 'urls': [{'url': 'https://t.co/8AIxTj4EeB', 'expanded_url': 'https://dxc.to/3jfxdEU', 'display_url': 'dxc.to/3jfxdEU', 'indices': [197, 220]}], 'media': [{'id': 1311123616310976515, 'id_str': '1311123616310976515', 'indices': [245, 268], 'media_url': 'http://pbs.twimg.com/media/EjIMDuFX0AA7I3B.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjIMDuFX0AA7I3B.jpg', 'url': 'https://t.co/YtoJabEu9q', 'display_url': 'pic.twitter.com/YtoJabEu9q', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311123706010308609/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
5,1311108537393844227,2020-09-30 01:00:09,"What are the key differentiators of public, private, hybrid and multi-cloud? @JamsekNicholas and @mcsausen will break it down and show you proven adoption examples. Register and search for session HCP3172S: https://t.co/SYsTpuW9zE #VMworld #DXCPartners https://t.co/gbwamqQHE5",None,None,None,None,None,12,4,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'VMworld', 'indices': [231, 239]}, {'text': 'DXCPartners', 'indices': [240, 252]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JamsekNicholas', 'name': 'Nicholas Jamsek', 'id': 1301138452138717186, 'id_str': '1301138452138717186', 'indices': [77, 92]}, {'screen_name': 'mcsausen', 'name': 'Michael Sausen', 'id': 40140212, 'id_str': '40140212', 'indices': [97, 106]}], 'urls': [{'url': 'https://t.co/SYsTpuW9zE', 'expanded_url': 'https://dxc.to/30fPjiY', 'display_url': 'dxc.to/30fPjiY', 'indices': [207, 230]}], 'media': [{'id': 1311108508419534849, 'id_str': '1311108508419534849', 'indices': [253, 276], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311108508419534849/pu/img/l01P8TZH1fw1VYlv.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311108508419534849/pu/img/l01P8TZH1fw1VYlv.jpg', 'url': 'https://t.co/gbwamqQHE5', 'display_url': 'pic.twitter.com/gbwamqQHE5', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311108537393844227/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
6,1311093469176303617,2020-09-30 00:00:16,"The Data Dunk: A series revealing the secrets of sporting success. Check out the ""Winning Edge"" series produced by @TheEconomist sponsored by @DXCTechnology. https://t.co/jEIbDMgLF5 #Analytics #SportsTech https://t.co/HroMLP7eDj",None,None,None,None,None,6,0,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'Analytics', 'indices': [182, 192]}, {'text': 'SportsTech', 'indices': [193, 204]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheEconomist', 'name': 'The Economist', 'id': 5988062, 'id_str': '5988062', 'indices': [115, 128]}, {'screen_name': 'DXCTechnology', 'name': 'DXC Technology', 'id': 599689553, 'id_str': '599689553', 'indices': [142, 156]}], 'urls': [{'url': 'https://t.co/jEIbDMgLF5', 'expanded_url': 'https://dxc.to/2Eyfolv', 'display_url': 'dxc.to/2Eyfolv', 'indices': [158, 181]}], 'media': [{'id': 1311093407142547457, 'id_str': '1311093407142547457', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/EjHwjyEXYAEIAgq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHwjyEXYAEIAgq.jpg', 'url': 'https://t.co/HroMLP7eDj', 'display_url': 'pic.twitter.com/HroMLP7eDj', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311093469176303617/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
7,1311078307631374337,2020-09-29 23:00:01,"How can the sports industry get fans and sponsors back in the game? Put #data into play. Read more: https://t.co/sXSAfjxlLg via Kylie Grenier, our IT Modernization Advisor and Jeff Caldwell, vp digital general manager, media and entertainment industry sector: https://t.co/2jQEuBLH0G",None,None,None,None,None,3,0,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'data', 'indices': [72, 77]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sXSAfjxlLg', 'expanded_url': 'https://dxc.to/3mTXyKY', 'display_url': 'dxc.to/3mTXyKY', 'indices': [100, 123]}], 'media': [{'id': 1311078305454592000, 'id_str': '1311078305454592000', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EjHixb1XkAA3lOE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHixb1XkAA3lOE.jpg', 'url': 'https://t.co/2jQEuBLH0G', 'display_url': 'pic.twitter.com/2jQEuBLH0G', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1311078307631374337/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
8,1310995262245154817,2020-09-29 17:30:02,"Managed multicloud services can help optimize the move to cloud. Download the @IDC Market Spotlight to learn how, together with @VMware, we offer our customers a comprehensive multicloud offering: https://t.co/7ACycW0KRQ #VMworld https://t.co/QffZi85kmJ",None,None,None,None,None,8,4,Sprinklr Publishing,Global Technology Company,"{'hashtags': [{'text': 'VMworld', 'indices': [221, 229]}], 'symbols': [], 'user_mentions': [{'screen_name': 'IDC', 'name': 'IDC', 'id': 2670321, 'id_str': '2670321', 'indices': [78, 82]}, {'screen_name': 'VMware', 'name': 'VMware', 'id': 12092012, 'id_str': '12092012', 'indices': [128, 135]}], 'urls': [{'url': 'https://t.co/7ACycW0KRQ', 'expanded_url': 'https://dxc.to/347Lm0J', 'display_url': 'dxc.to/347Lm0J', 'indices': [197, 220]}], 'media': [{'id': 1310995260038942728, 'id_str': '1310995260038942728', 'indices': [230, 253], 'media_url': 'http://pbs.twimg.com/media/EjGXPjjXkAgcuws.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGXPjjXkAgcuws.jpg', 'url': 'https://t.co/QffZi85kmJ', 'display_url': 'pic.twitter.com/QffZi85kmJ', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1310995262245154817/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
9,1310980159630184448,2020-09-29 16:30:01,"How can organizations scale innovation beyond a small core team? From internal incubators to co-creation with customers, these four approaches can help deliver innovation at scale: https://t.co/56iw8tyPt1 https://t.co/o5CZ0AM5sA",None,None,None,None,None,11,4,Sprinklr Publishing,Global Technology Company,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/56iw8tyPt1', 'expanded_url': 'https://dxc.to/365HRuh', 'display_url': 'dxc.to/365HRuh', 'indices': [181, 204]}], 'media': [{'id': 1310980157868576770, 'id_str': '1310980157868576770', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/EjGJgflXkAIjh9k.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGJgflXkAIjh9k.jpg', 'url': 'https://t.co/o5CZ0AM5sA', 'display_url': 'pic.twitter.com/o5CZ0AM5sA', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1310980159630184448/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
10,1310980159630184448,2020-09-29 16:30:01,"How can organizations scale innovation beyond a small core team? From internal incubators to co-creation with customers, these four approaches can help deliver innovation at scale: https://t.co/56iw8tyPt1 https://t.co/o5CZ0AM5sA",None,None,None,None,None,11,4,Sprinklr Publishing,Global Technology Company,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/56iw8tyPt1', 'expanded_url': 'https://dxc.to/365HRuh', 'display_url': 'dxc.to/365HRuh', 'indices': [181, 204]}], 'media': [{'id': 1310980157868576770, 'id_str': '1310980157868576770', 'indices': [205, 228], 'media_url': 'http://pbs.twimg.com/media/EjGJgflXkAIjh9k.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGJgflXkAIjh9k.jpg', 'url': 'https://t.co/o5CZ0AM5sA', 'display_url': 'pic.twitter.com/o5CZ0AM5sA', 'expanded_url': 'https://twitter.com/DXCTechnology/status/1310980159630184448/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 536, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 536, 'resize': 'fit'}}}]}",33076,False,11916,False,DXC Technology,False,True,en,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True,DXCTechnology,22030,False,False
