id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311320652939505665,2020-09-30 15:03:01,"Meet the new Dell UltraSharp 24 USB-C Hub Monitor (U2421E). With 11% more on-screen real estate and ComfortView Plus, designed to minimize harmful blue light, this #UltraSharp keeps you captivated.#monitorsforwork  https://t.co/B3wpmSUk8l https://t.co/Qlj61AD2Gb",None,None,None,None,None,45,9,Sprinklr,"Round Rock, TX and Global","{'hashtags': [{'text': 'UltraSharp', 'indices': [164, 175]}, {'text': 'monitorsforwork', 'indices': [197, 213]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/B3wpmSUk8l', 'expanded_url': 'https://dell.to/30gg9aD', 'display_url': 'dell.to/30gg9aD', 'indices': [215, 238]}], 'media': [{'id': 1311320650150277120, 'id_str': '1311320650150277120', 'indices': [239, 262], 'media_url': 'http://pbs.twimg.com/media/EjK_LwLXcAAQcjS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjK_LwLXcAAQcjS.jpg', 'url': 'https://t.co/Qlj61AD2Gb', 'display_url': 'pic.twitter.com/Qlj61AD2Gb', 'expanded_url': 'https://twitter.com/Dell/status/1311320652939505665/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}}}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
2,1310976095676760065,2020-09-29 16:13:52,"@calm_notcalm Hi there: I'm tagging in @DellCares to check the status of your order. Thanks for reaching out!
Alicia",1309384596316880901,calm_notcalm,1309384596316880901,1276190537826086920,1276190537826086920,0,0,Sprinklr,"Round Rock, TX and Global","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'calm_notcalm', 'name': 'Calm', 'id': 1276190537826086920, 'id_str': '1276190537826086920', 'indices': [0, 13]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [39, 49]}], 'urls': []}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
3,1310965862288031744,2020-09-29 15:33:12,"According to the IDC Worldwide Quarterly PC Monitor Tracker, Q2 2020, Dell is the world's number 1 monitor company. We are ever-committed to crafting innovative monitors to meet the needs of modern workplaces and employees. #monitorsforwork: https://t.co/IIlSF7RjUu https://t.co/bEMZbEhhNH",None,None,None,None,None,27,6,Sprinklr,"Round Rock, TX and Global","{'hashtags': [{'text': 'monitorsforwork', 'indices': [224, 240]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IIlSF7RjUu', 'expanded_url': 'https://dell.to/33720hQ', 'display_url': 'dell.to/33720hQ', 'indices': [242, 265]}], 'media': [{'id': 1310965812631678977, 'id_str': '1310965812631678977', 'indices': [266, 289], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310965812631678977/img/ipDGNvTMzeXIRbmZ.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310965812631678977/img/ipDGNvTMzeXIRbmZ.jpg', 'url': 'https://t.co/bEMZbEhhNH', 'display_url': 'pic.twitter.com/bEMZbEhhNH', 'expanded_url': 'https://twitter.com/Dell/status/1310965862288031744/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
4,1310595958154108928,2020-09-28 15:03:20,"As support for remote working grows, deciding on the right productivity tools has become ever more crucial. Find out what decision-makers are doing to enable employees to perform at their best with the right #monitorsforwork and home office tools: https://t.co/SoQDG0mojN https://t.co/LCvkIbGnqH",None,None,None,None,None,34,6,Sprinklr,"Round Rock, TX and Global","{'hashtags': [{'text': 'monitorsforwork', 'indices': [208, 224]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SoQDG0mojN', 'expanded_url': 'https://dell.to/2S2zLur', 'display_url': 'dell.to/2S2zLur', 'indices': [248, 271]}], 'media': [{'id': 1310595879926194182, 'id_str': '1310595879926194182', 'indices': [272, 295], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310595879926194182/img/4d5ydmxIhsjJR4dO.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310595879926194182/img/4d5ydmxIhsjJR4dO.jpg', 'url': 'https://t.co/LCvkIbGnqH', 'display_url': 'pic.twitter.com/LCvkIbGnqH', 'expanded_url': 'https://twitter.com/Dell/status/1310595958154108928/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
5,1309527836403920897,2020-09-25 16:19:00,"Meet the new Dell 27 4K USB-C (P2721Q) and Dell 32 USB-C (P3221D) Monitors, our latest members of the P-series family. With a sleek and space-efficient design, our latest monitors let you enjoy more desk space and achieve more. #monitorsforwork #Pseries https://t.co/XR2A1iCWfK https://t.co/Ol4NIkWuFo",None,None,None,None,None,93,20,Sprinklr,"Round Rock, TX and Global","{'hashtags': [{'text': 'monitorsforwork', 'indices': [228, 244]}, {'text': 'Pseries', 'indices': [245, 253]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XR2A1iCWfK', 'expanded_url': 'https://dell.to/307PexA', 'display_url': 'dell.to/307PexA', 'indices': [254, 277]}], 'media': [{'id': 1309527834889781248, 'id_str': '1309527834889781248', 'indices': [278, 301], 'media_url': 'http://pbs.twimg.com/media/EixgoK4XgAAP2L2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EixgoK4XgAAP2L2.jpg', 'url': 'https://t.co/Ol4NIkWuFo', 'display_url': 'pic.twitter.com/Ol4NIkWuFo', 'expanded_url': 'https://twitter.com/Dell/status/1309527836403920897/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 628, 'resize': 'fit'}}}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
6,1309153438383640578,2020-09-24 15:31:17,"@SAUBHIKPAUL1 Hi Paul, we're asking our @DellCares tech support team to help you look into this error message and how to solve it.  Thank you 

- Scott",1308998298397802503,SAUBHIKPAUL1,1308998298397802503,724962006990766081,724962006990766081,1,0,Sprinklr,"Round Rock, TX and Global","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SAUBHIKPAUL1', 'name': 'SAUBHIK PAUL', 'id': 724962006990766081, 'id_str': '724962006990766081', 'indices': [0, 13]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [40, 50]}], 'urls': []}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
7,1308498898005229568,2020-09-22 20:10:22,"RT @DellTech: For #NationalVoterRegistrationDay practice casting a ballot below, then find out everything you need to know to vote where yo…",None,None,None,None,None,0,7,Twitter Web App,"Round Rock, TX and Global","{'hashtags': [{'text': 'NationalVoterRegistrationDay', 'indices': [18, 47]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DellTech', 'name': 'Dell Technologies', 'id': 715901816857358336, 'id_str': '715901816857358336', 'indices': [3, 12]}], 'urls': []}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
8,1308425600001019904,2020-09-22 15:19:07,"Better tools make for a happier workforce! Amid the rapidly evolving workplace, employers are exploring better ways to support staff and help them to be more productive. Discover how: https://t.co/Tiyx8XEMvQ #monitorsforwork https://t.co/XFq6bq5MiL",None,None,None,None,None,42,14,Sprinklr,"Round Rock, TX and Global","{'hashtags': [{'text': 'monitorsforwork', 'indices': [208, 224]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Tiyx8XEMvQ', 'expanded_url': 'https://dell.to/32P9BRL', 'display_url': 'dell.to/32P9BRL', 'indices': [184, 207]}], 'media': [{'id': 1308425573593690114, 'id_str': '1308425573593690114', 'indices': [225, 248], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1308425573593690114/img/ShPoB6_163mWevhA.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1308425573593690114/img/ShPoB6_163mWevhA.jpg', 'url': 'https://t.co/XFq6bq5MiL', 'display_url': 'pic.twitter.com/XFq6bq5MiL', 'expanded_url': 'https://twitter.com/Dell/status/1308425600001019904/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
9,1308396598901309441,2020-09-22 13:23:52,"@rkulei Hi Ronald: Please log in here https://t.co/D9zymA8WqT to check your membership status. Thanks for inquiring.
Alicia",1308379566923231233,rkulei,1308379566923231233,48389480,48389480,0,0,Sprinklr,"Round Rock, TX and Global","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rkulei', 'name': 'R??nald Chepserg??n?', 'id': 48389480, 'id_str': '48389480', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/D9zymA8WqT', 'expanded_url': 'https://dell.to/3hPsjgF', 'display_url': 'dell.to/3hPsjgF', 'indices': [38, 61]}]}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
10,1308395452639989768,2020-09-22 13:19:19,"@drsanju_bell Let's get you over to speak with someone @DellCares for assistance Sanjay. Someone will circle back with you shortly.
Alicia",1308253974580006913,drsanju_bell,1308253974580006913,2265441374,2265441374,0,0,Sprinklr,"Round Rock, TX and Global","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'drsanju_bell', 'name': 'Sanjay Prakash', 'id': 2265441374, 'id_str': '2265441374', 'indices': [0, 13]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [55, 65]}], 'urls': []}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
11,1308080055441149952,2020-09-21 16:26:02,"@CECheverine Hi Carolyn: Very sorry to hear this. I'm tagging in @DellCares to help with resolving the issue.
Thanks for reaching out.
Alicia",1307755032524316676,CECheverine,1307755032524316676,422032126,422032126,0,0,Sprinklr,"Round Rock, TX and Global","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CECheverine', 'name': 'carolyn cheverine', 'id': 422032126, 'id_str': '422032126', 'indices': [0, 12]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [65, 75]}], 'urls': []}",748249,False,4399,False,Dell,False,True,en,Official News from Dell: Delivering technology solutions that enable people everywhere to grow & thrive. Need support? Contact @DellCares.,True,Dell,67001,False,False
