id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311410982133157900,2020-09-30 21:01:57,"With softly enveloping silhouettes, the #DiorSS21 collection https://t.co/EFzD6LF5se by Maria Grazia Chiuri developed and rescaled archival scarf prints with new motifs, shaping them into precious patchworks in warm hues imbued with a subtly easy elegance. https://t.co/H8bLQWEF2w",None,None,None,None,None,391,56,LaterMedia,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [40, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [61, 84]}], 'media': [{'id': 1311410777358729217, 'id_str': '1311410777358729217', 'indices': [257, 280], 'media_url': 'http://pbs.twimg.com/media/EjMRJ2MWAAEMdJz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMRJ2MWAAEMdJz.jpg', 'url': 'https://t.co/H8bLQWEF2w', 'display_url': 'pic.twitter.com/H8bLQWEF2w', 'expanded_url': 'https://twitter.com/Dior/status/1311410982133157900/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
2,1311350097817604098,2020-09-30 17:00:01,"The first look on the #DiorSS21 runway distilled Maria Grazia Chiuri's vision for the season, with a soft, reversible coat in a precious patchwork of motifs, including the Indonesian ikat weave known as Endek. Go https://t.co/EFzD6LF5se to discover the complete collection.",None,None,None,None,None,466,79,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'DiorSS21', 'indices': [22, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [213, 236]}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
3,1311320440485412866,2020-09-30 15:02:10,"Watching from their respective homes, American actresses and #StarsinDior Natalia Dyer and @KateMara tuned in to discover the #DiorSS21 collection https://t.co/EFzD6LF5se by Maria Grazia Chiuri, broadcast live from inside a stunning art-filled space in the center of Paris. https://t.co/BknqdoLyOy",None,None,None,None,None,316,32,LaterMedia,,"{'hashtags': [{'text': 'StarsinDior', 'indices': [61, 73]}, {'text': 'DiorSS21', 'indices': [126, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'katemara', 'name': 'Kate Mara', 'id': 258483856, 'id_str': '258483856', 'indices': [91, 100]}], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [147, 170]}], 'media': [{'id': 1311320201498112000, 'id_str': '1311320201498112000', 'indices': [274, 297], 'media_url': 'http://pbs.twimg.com/media/EjK-xo0WsAAFT2P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjK-xo0WsAAFT2P.jpg', 'url': 'https://t.co/BknqdoLyOy', 'display_url': 'pic.twitter.com/BknqdoLyOy', 'expanded_url': 'https://twitter.com/Dior/status/1311320440485412866/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
4,1311290142305513473,2020-09-30 13:01:47,"French actresses and #StarsinDior, Camille Cottin, Ludivine Sagnier and Emmanuelle Devos turned heads as paragons of effortless French style when they arrived at the show for the #DiorSS21 collection https://t.co/EFzD6LF5se by Maria Grazia Chiuri. https://t.co/mMusZfoC3K",None,None,None,None,None,475,47,LaterMedia,,"{'hashtags': [{'text': 'StarsinDior', 'indices': [21, 33]}, {'text': 'DiorSS21', 'indices': [179, 188]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [200, 223]}], 'media': [{'id': 1311289935928930305, 'id_str': '1311289935928930305', 'indices': [248, 271], 'media_url': 'http://pbs.twimg.com/media/EjKjP8yWsAEJLEo.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKjP8yWsAEJLEo.jpg', 'url': 'https://t.co/mMusZfoC3K', 'display_url': 'pic.twitter.com/mMusZfoC3K', 'expanded_url': 'https://twitter.com/Dior/status/1311290142305513473/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
5,1311259500687405057,2020-09-30 11:00:01,"Special commissioned by Maria Grazia Chiuri for the #DiorSS21 show https://t.co/EFzD6LWGjM, discover the process and the inspirations behind the film by Alina Marazzi on the life and work of Italian visual artist Lucia Marcucci. https://t.co/wZMhrK79xa",None,None,None,None,None,220,32,Twitter Ads,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [52, 61]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFzD6LWGjM', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [67, 90]}], 'media': [{'id': 1311037148464848897, 'id_str': '1311037148464848897', 'indices': [229, 252], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1311037148464848897/img/2lmQrP-2aKNEQh-Z.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1311037148464848897/img/2lmQrP-2aKNEQh-Z.jpg', 'url': 'https://t.co/wZMhrK79xa', 'display_url': 'pic.twitter.com/wZMhrK79xa', 'expanded_url': 'https://twitter.com/Dior/status/1311259500687405057/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
6,1311229300410966016,2020-09-30 09:00:01,"Revisit the looks from the new #DiorSS21 collection https://t.co/EFzD6LWGjM by Maria Grazia Chiuri, unveiled yesterday afternoon in Paris.",None,None,None,None,None,328,51,Twitter for Advertisers (legacy),,"{'hashtags': [{'text': 'DiorSS21', 'indices': [31, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EFzD6LWGjM', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [52, 75]}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
7,1311184409614340100,2020-09-30 06:01:38,"Singer @QueensChristine arrived to attend the unveiling of the #DiorSS21 collection by Maria Grazia Chiuri https://t.co/EFzD6LF5se in Paris yesterday, an undeniably cool presence clad in #DiorAW20 black. 
#StarsinDior https://t.co/iAUvG8Ym6D",None,None,None,None,None,549,64,LaterMedia,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [63, 72]}, {'text': 'DiorAW20', 'indices': [187, 196]}, {'text': 'StarsinDior', 'indices': [205, 217]}], 'symbols': [], 'user_mentions': [{'screen_name': 'QueensChristine', 'name': 'Chris', 'id': 254496233, 'id_str': '254496233', 'indices': [7, 23]}], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [107, 130]}], 'media': [{'id': 1311184224679079938, 'id_str': '1311184224679079938', 'indices': [218, 241], 'media_url': 'http://pbs.twimg.com/media/EjJDGvsXsAI5ijJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJDGvsXsAI5ijJ.jpg', 'url': 'https://t.co/iAUvG8Ym6D', 'display_url': 'pic.twitter.com/iAUvG8Ym6D', 'expanded_url': 'https://twitter.com/Dior/status/1311184409614340100/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
8,1311108905624375299,2020-09-30 01:01:36,"Singer and actress Jisoo of @YGOfficialBlink caught the #DiorSS21 show live from her home in South Korea, and is seen here ahead of discovering the new collection https://t.co/EFzD6LF5se by Maria Grazia Chiuri in #DiorCruise 2021 with a #LadyDLite embroidered bag. 
#StarsinDior https://t.co/G7jmK6ithq",None,None,None,None,None,26742,11284,LaterMedia,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [56, 65]}, {'text': 'DiorCruise', 'indices': [213, 224]}, {'text': 'LadyDLite', 'indices': [237, 247]}, {'text': 'StarsinDior', 'indices': [266, 278]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ygofficialblink', 'name': 'BLACKPINK GLOBAL BLINK', 'id': 878204370403250176, 'id_str': '878204370403250176', 'indices': [28, 44]}], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [163, 186]}], 'media': [{'id': 1311108732575678469, 'id_str': '1311108732575678469', 'indices': [279, 302], 'media_url': 'http://pbs.twimg.com/media/EjH-chsWAAUZI-n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjH-chsWAAUZI-n.jpg', 'url': 'https://t.co/G7jmK6ithq', 'display_url': 'pic.twitter.com/G7jmK6ithq', 'expanded_url': 'https://twitter.com/Dior/status/1311108905624375299/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
9,1311048543700951041,2020-09-29 21:01:45,"Looking every inch the liberated Dior woman of today, actress @Maisie_Williams arrived for the unveiling of the #DiorSS21 collection https://t.co/EFzD6LF5se by Maria Grazia Chiuri in Paris wearing a #DiorFall20 parka and shorts. https://t.co/m9w4difwTE",None,None,None,None,None,469,43,LaterMedia,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [112, 121]}, {'text': 'DiorFall20', 'indices': [199, 210]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Maisie_Williams', 'name': 'Maisie Williams', 'id': 101798589, 'id_str': '101798589', 'indices': [62, 78]}], 'urls': [{'url': 'https://t.co/EFzD6LF5se', 'expanded_url': 'http://on.dior.com/ss2021', 'display_url': 'on.dior.com/ss2021', 'indices': [133, 156]}], 'media': [{'id': 1311048364260315136, 'id_str': '1311048364260315136', 'indices': [229, 252], 'media_url': 'http://pbs.twimg.com/media/EjHHioMX0AAjKGt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHHioMX0AAjKGt.jpg', 'url': 'https://t.co/m9w4difwTE', 'display_url': 'pic.twitter.com/m9w4difwTE', 'expanded_url': 'https://twitter.com/Dior/status/1311048543700951041/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
10,1311024257590321152,2020-09-29 19:25:15,"Relive the unveiling of the Dior Spring-Summer 2021 show from Maria Grazia Chiuri, featuring a stunning live performance by Sequenza 9.3 of the Lucia Ronchetti choral piece ‘Sangu di Rosa’!
#DiorSS21 #PFW https://t.co/P5TCGVGhuJ",None,None,None,None,None,1571,320,Twitter Media Studio,,"{'hashtags': [{'text': 'DiorSS21', 'indices': [190, 199]}, {'text': 'PFW', 'indices': [200, 204]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P5TCGVGhuJ', 'expanded_url': 'https://twitter.com/i/broadcasts/1zqKVelrzgLxB', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [205, 228]}]}",8179061,False,144,False,Dior,False,True,en,,True,Dior,4459,False,False
