id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311011611436396544,2020-09-29 18:35:00,Eight remarkable stories. Eight unique filmmakers. One @Marvel Universe. Start streaming all episodes of #Marvel616 November 20 on #DisneyPlus. https://t.co/ZvoyJM7zNk,None,None,None,None,None,898,136,Twitter Media Studio,,"{'hashtags': [{'text': 'Marvel616', 'indices': [105, 115]}, {'text': 'DisneyPlus', 'indices': [131, 142]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Marvel', 'name': 'Marvel Entertainment', 'id': 15687962, 'id_str': '15687962', 'indices': [55, 62]}], 'urls': [], 'media': [{'id': 1310997040403365889, 'id_str': '1310997040403365889', 'indices': [144, 167], 'media_url': 'http://pbs.twimg.com/media/EjGbYjpU4AAg3eY.png', 'media_url_https': 'https://pbs.twimg.com/media/EjGbYjpU4AAg3eY.png', 'url': 'https://t.co/ZvoyJM7zNk', 'display_url': 'pic.twitter.com/ZvoyJM7zNk', 'expanded_url': 'https://twitter.com/Disney/status/1311011611436396544/video/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_user_id': 985916593065476096, 'source_user_id_str': '985916593065476096'}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
2,1311010253031591937,2020-09-29 18:29:36,Uncover how your favorite comics have inspired the world right outside your window. All episodes of @Marvel’s 616 premiere November 20 on #DisneyPlus. #Marvel616 https://t.co/f4SBVcLWCp,None,None,None,None,None,566,75,Sprinklr,,"{'hashtags': [{'text': 'DisneyPlus', 'indices': [138, 149]}, {'text': 'Marvel616', 'indices': [151, 161]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Marvel', 'name': 'Marvel Entertainment', 'id': 15687962, 'id_str': '15687962', 'indices': [100, 107]}], 'urls': [], 'media': [{'id': 1311010251290877964, 'id_str': '1311010251290877964', 'indices': [162, 185], 'media_url': 'http://pbs.twimg.com/media/EjGk4KUWoAwWFlb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGk4KUWoAwWFlb.jpg', 'url': 'https://t.co/f4SBVcLWCp', 'display_url': 'pic.twitter.com/f4SBVcLWCp', 'expanded_url': 'https://twitter.com/Disney/status/1311010253031591937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
3,1310995256930971649,2020-09-29 17:30:01,"""Win or lose, we're gonna walk out of this stadium tonight with our heads held high. Do your best. That’s all anybody can ask for.” –Coach Boone

Happy 20th Anniversary to Remember the Titans. https://t.co/8TwZBZm7Jg",None,None,None,None,None,1110,164,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310995255181946884, 'id_str': '1310995255181946884', 'indices': [193, 216], 'media_url': 'http://pbs.twimg.com/media/EjGXPRdXsAQhSpt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGXPRdXsAQhSpt.jpg', 'url': 'https://t.co/8TwZBZm7Jg', 'display_url': 'pic.twitter.com/8TwZBZm7Jg', 'expanded_url': 'https://twitter.com/Disney/status/1310995256930971649/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1024, 'h': 468, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 468, 'resize': 'fit'}, 'small': {'w': 680, 'h': 311, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
4,1310980229242990593,2020-09-29 16:30:18,Get into the Groot groove! https://t.co/06IemWErii,None,None,None,None,None,2597,447,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310980152944406535, 'id_str': '1310980152944406535', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310980152944406535/img/YunuJuzoL0QdrvVC.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310980152944406535/img/YunuJuzoL0QdrvVC.jpg', 'url': 'https://t.co/06IemWErii', 'display_url': 'pic.twitter.com/06IemWErii', 'expanded_url': 'https://twitter.com/Disney/status/1310980229242990593/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1280, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
5,1310722372308172806,2020-09-28 23:25:40,RT @DisneyD23: An update regarding #D23Expo: The Ultimate Disney Fan Event: https://t.co/4v6cG8AvOA,None,None,None,None,None,0,1206,Twitter Web App,,"{'hashtags': [{'text': 'D23Expo', 'indices': [35, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DisneyD23', 'name': 'Disney D23', 'id': 29236490, 'id_str': '29236490', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1310707269781209088, 'id_str': '1310707269781209088', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EjCRUUPUwAAm9ao.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjCRUUPUwAAm9ao.jpg', 'url': 'https://t.co/4v6cG8AvOA', 'display_url': 'pic.twitter.com/4v6cG8AvOA', 'expanded_url': 'https://twitter.com/DisneyD23/status/1310708447919271936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1310708447919271936, 'source_status_id_str': '1310708447919271936', 'source_user_id': 29236490, 'source_user_id_str': '29236490'}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
6,1310707767888547840,2020-09-28 22:27:38,RT @DisneyParks: Celebrate Hispanic Heritage Month with us by going behind the magic of the fantastic Mariachi Cobre. They are celebrating…,None,None,None,None,None,0,192,Twitter Web App,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DisneyParks', 'name': 'Disney Parks', 'id': 29484644, 'id_str': '29484644', 'indices': [3, 15]}], 'urls': []}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
7,1310680095812706304,2020-09-28 20:37:40,The magic is back on Dancing with the Stars. Tune in tonight at 8|7c on ABC for all the fun of #DisneyNight! https://t.co/UPJMTbqaOF,None,None,None,None,None,809,99,Twitter Media Studio,,"{'hashtags': [{'text': 'DisneyNight', 'indices': [95, 107]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310678997261582336, 'id_str': '1310678997261582336', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/EjB4evWXsAIBJzL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjB4evWXsAIBJzL.jpg', 'url': 'https://t.co/UPJMTbqaOF', 'display_url': 'pic.twitter.com/UPJMTbqaOF', 'expanded_url': 'https://twitter.com/Disney/status/1310680095812706304/video/1', 'type': 'photo', 'sizes': {'large': {'w': 1906, 'h': 1906, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
8,1310247828837535750,2020-09-27 16:00:00,Game on! This retelling of @Pixar’s WALL•E takes things to the next level. https://t.co/ViDgieZjmV,None,None,None,None,None,1626,373,Twitter Media Studio,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pixar', 'name': 'Pixar', 'id': 43192807, 'id_str': '43192807', 'indices': [27, 33]}], 'urls': [], 'media': [{'id': 1252762674812911618, 'id_str': '1252762674812911618', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EWK3WKOXkAIc0rS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWK3WKOXkAIc0rS.jpg', 'url': 'https://t.co/ViDgieZjmV', 'display_url': 'pic.twitter.com/ViDgieZjmV', 'expanded_url': 'https://twitter.com/Disney/status/1310247828837535750/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_user_id': 43192807, 'source_user_id_str': '43192807'}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
9,1309900545558294530,2020-09-26 17:00:01,Make today supercalifragilisticexpialidocious! https://t.co/fHS9eX33ET,None,None,None,None,None,5348,848,Sprinklr,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309900544182542337, 'id_str': '1309900544182542337', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/Ei2zmtMXYAENT8a.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei2zmtMXYAENT8a.jpg', 'url': 'https://t.co/fHS9eX33ET', 'display_url': 'pic.twitter.com/fHS9eX33ET', 'expanded_url': 'https://twitter.com/Disney/status/1309900545558294530/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 731, 'resize': 'fit'}, 'small': {'w': 680, 'h': 485, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 731, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
10,1309885454796423169,2020-09-26 16:00:03,"Home is where the hare is. ???? See the new @Pixar SparkShort BURROW, directed by Madeline Sharafian, in theaters before Soul on November 20. #InternationalRabbitDay https://t.co/EzsUrC2n8V",None,None,None,None,None,1084,139,Sprinklr,,"{'hashtags': [{'text': 'InternationalRabbitDay', 'indices': [140, 163]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Pixar', 'name': 'Pixar', 'id': 43192807, 'id_str': '43192807', 'indices': [42, 48]}], 'urls': [], 'media': [{'id': 1309885453328359430, 'id_str': '1309885453328359430', 'indices': [164, 187], 'media_url': 'http://pbs.twimg.com/media/Ei2l4TYWoAYp-Vj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei2l4TYWoAYp-Vj.jpg', 'url': 'https://t.co/EzsUrC2n8V', 'display_url': 'pic.twitter.com/EzsUrC2n8V', 'expanded_url': 'https://twitter.com/Disney/status/1309885454796423169/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 663, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 663, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 440, 'h': 680, 'resize': 'fit'}}}]}",7150433,False,84,False,Disney,False,True,en,Disney magic right at your fingertips! ?,False,Disney,17778,False,False
