id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311312285919522824,2020-09-30 14:29:46,@theiinfluence We're honored to care for your hair! ??,1311300702669598722,theiinfluence,1311300702669598722,336357450,336357450,1,1,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theiinfluence', 'name': '??', 'id': 336357450, 'id_str': '336357450', 'indices': [0, 14]}], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
2,1311300696638189568,2020-09-30 13:43:43,@briifriend ????,1311122678275813382,briifriend,1311122678275813382,735650713,735650713,2,1,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'briifriend', 'name': 'Bri friend', 'id': 735650713, 'id_str': '735650713', 'indices': [0, 11]}], 'urls': []}",188792,False,8179,False,Dove,False,True,und,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
3,1310943045190324225,2020-09-29 14:02:32,@scott_monie ????,1310750961762263042,scott_monie,1310750961762263042,1097532881927368705,1097532881927368705,1,1,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'scott_monie', 'name': 'ScottieArmonie - Account 2', 'id': 1097532881927368705, 'id_str': '1097532881927368705', 'indices': [0, 12]}], 'urls': []}",188792,False,8179,False,Dove,False,True,und,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
4,1310638088331427842,2020-09-28 17:50:45,"@jenhatesfun We're always looking to improve our products, so we made some updates. We’ve added more sunflower seed oil in our dry spray &amp; another moisturizer to our stick antiperspirants. These products still provide the same protection, skin care benefits and fragrance as the old formula.",1310561311361839104,jenhatesfun,1310561311361839104,20660159,20660159,0,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenhatesfun', 'name': 'Sweet Jen', 'id': 20660159, 'id_str': '20660159', 'indices': [0, 12]}], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
5,1310638088331427842,2020-09-28 17:50:45,"@jenhatesfun We're always looking to improve our products, so we made some updates. We’ve added more sunflower seed oil in our dry spray &amp; another moisturizer to our stick antiperspirants. These products still provide the same protection, skin care benefits and fragrance as the old formula.",1310561311361839104,jenhatesfun,1310561311361839104,20660159,20660159,0,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jenhatesfun', 'name': 'Sweet Jen', 'id': 20660159, 'id_str': '20660159', 'indices': [0, 12]}], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
6,1310637458942558208,2020-09-28 17:48:15,"@NachoRupert While our products smell amazing, we wouldn't recommend eating them. We're two unrelated companies, but you can find them at @DoveChocolate.",1310627210626293760,NachoRupert,1310627210626293760,1299549835503296514,1299549835503296514,0,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NachoRupert', 'name': 'Jessica', 'id': 1299549835503296514, 'id_str': '1299549835503296514', 'indices': [0, 12]}, {'screen_name': 'DoveChocolate', 'name': 'DOVE® Chocolate', 'id': 54558162, 'id_str': '54558162', 'indices': [138, 152]}], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
7,1310608268683816963,2020-09-28 15:52:15,@creditqueen_ ????,1310603809094283277,creditqueen_,1310603809094283277,1103674964971012097,1103674964971012097,1,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'creditqueen_', 'name': 'Your Credit Queen', 'id': 1103674964971012097, 'id_str': '1103674964971012097', 'indices': [0, 13]}], 'urls': []}",188792,False,8179,False,Dove,False,True,und,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
8,1310577044758106112,2020-09-28 13:48:11,@Suuperdope We love caring for your skin! ??,1310334057985847298,Suuperdope,1310334057985847298,1158061979338194944,1158061979338194944,1,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Suuperdope', 'name': 'PerfectlyFlawed ????', 'id': 1158061979338194944, 'id_str': '1158061979338194944', 'indices': [0, 11]}], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
9,1310576945676066816,2020-09-28 13:47:47,@EmilyBradley22 We're so honored to show the beauty and strength of women. ??,1310306285326401537,Emlawt,1310306285326401537,448763693,448763693,0,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",188792,False,8179,False,Dove,False,True,en,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
10,1310576706349084672,2020-09-28 13:46:50,@dalybeauty ???,1310276868101287945,dalybeauty,1310276868101287945,171102859,171102859,0,0,TweetDeck,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dalybeauty', 'name': 'Jane Daly', 'id': 171102859, 'id_str': '171102859', 'indices': [0, 11]}], 'urls': []}",188792,False,8179,False,Dove,False,True,und,"We’re committed to ending systemic racism by:
?? Expanding the CROWN Coalition
?? Funding
?? Empowering young people
?? Amplifying Black voices
https://t.co/4340ieOPF1",True,Dove,169153,False,False
