id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311448239049248775,2020-09-30 23:30:00,Miles Morales is going to have a brand new look in Marvel's New York! Get the scoop from artist Javier Garrón and more on the new T.R.A.C.K. suit. #BeGreater #BeYourself https://t.co/0sfd70VyjQ,None,None,None,None,None,2545,268,Sprinklr,"New York, NY","{'hashtags': [{'text': 'BeGreater', 'indices': [147, 157]}, {'text': 'BeYourself', 'indices': [158, 169]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0sfd70VyjQ', 'expanded_url': 'https://bit.ly/3n2XFE9', 'display_url': 'bit.ly/3n2XFE9', 'indices': [170, 193]}]}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
2,1311441055661748225,2020-09-30 23:01:27,RT @JewishSpeed: THE WAY STRANGE ACADEMY ENDS WITH A RECIPE FOR BEIGNETS AND GUMBO OMG I LOVE IT,None,None,None,None,None,0,13,Twitter Web App,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jewishspeed', 'name': 'K??', 'id': 2739477555, 'id_str': '2739477555', 'indices': [3, 15]}], 'urls': []}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
3,1311436866755932161,2020-09-30 22:44:49,"?? ?? SPOILERS ?? ?? 

Raise your swords and see how today's ""X-Factor"" #4 raises the stakes for the mutants of Krakoa: https://t.co/JYhc9yAV5P",None,None,None,None,None,619,63,Sprinklr,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JYhc9yAV5P', 'expanded_url': 'https://bit.ly/3jkrFsP', 'display_url': 'bit.ly/3jkrFsP', 'indices': [118, 141]}]}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
4,1311436866755932161,2020-09-30 22:44:49,"?? ?? SPOILERS ?? ?? 

Raise your swords and see how today's ""X-Factor"" #4 raises the stakes for the mutants of Krakoa: https://t.co/JYhc9yAV5P",None,None,None,None,None,619,63,Sprinklr,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JYhc9yAV5P', 'expanded_url': 'https://bit.ly/3jkrFsP', 'display_url': 'bit.ly/3jkrFsP', 'indices': [118, 141]}]}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
5,1311427329323794432,2020-09-30 22:06:55,RT @anchorbucky: i didn’t know we were getting issue #3 of falcon and winter soldier today. it’s really a good day,None,None,None,None,None,0,18,Twitter Web App,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anchorbucky', 'name': 'mart', 'id': 1116310020281569281, 'id_str': '1116310020281569281', 'indices': [3, 15]}], 'urls': []}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
6,1311417012095078400,2020-09-30 21:25:55,"RT @dike_ruan: Shang-chi #1 out today!
@Marvel
@geneluenyang https://t.co/3b2LoX5dH7",None,None,None,None,None,0,51,Twitter Web App,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dike_ruan', 'name': 'dike ruan', 'id': 550398907, 'id_str': '550398907', 'indices': [3, 13]}, {'screen_name': 'Marvel', 'name': 'Marvel Entertainment', 'id': 15687962, 'id_str': '15687962', 'indices': [39, 46]}, {'screen_name': 'geneluenyang', 'name': 'Gene Luen Yang', 'id': 262559721, 'id_str': '262559721', 'indices': [47, 60]}], 'urls': [], 'media': [{'id': 1311251079569567744, 'id_str': '1311251079569567744', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EjJ_6NkXcAAFdDZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJ_6NkXcAAFdDZ.jpg', 'url': 'https://t.co/3b2LoX5dH7', 'display_url': 'pic.twitter.com/3b2LoX5dH7', 'expanded_url': 'https://twitter.com/dike_ruan/status/1311251082690072576/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 459, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 810, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1383, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1311251082690072576, 'source_status_id_str': '1311251082690072576', 'source_user_id': 550398907, 'source_user_id_str': '550398907'}]}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
7,1311410648136310785,2020-09-30 21:00:38,"RT @_Dosu__: #XSpoilers 
XFactor hit so hard today bro! ???? War at the doorsteps of Krakoa and my girl Magik ready to lead the charge! LETS…",None,None,None,None,None,0,27,Twitter Web App,"New York, NY","{'hashtags': [{'text': 'XSpoilers', 'indices': [13, 23]}], 'symbols': [], 'user_mentions': [{'screen_name': '_Dosu__', 'name': '?King Hunch VA?', 'id': 1259231321072828416, 'id_str': '1259231321072828416', 'indices': [3, 11]}], 'urls': []}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
8,1311397553104011264,2020-09-30 20:08:35,"RT @mymonsterischic: POUND THE WAR DRUMS. 

XoS pt 2/X-factor #4 is out today. https://t.co/OSPEJUH9Bo",None,None,None,None,None,0,58,Twitter Web App,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mymonsterischic', 'name': 'Leah #XFAQtor Williams', 'id': 26490474, 'id_str': '26490474', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1311394239973126149, 'id_str': '1311394239973126149', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EjMCHPoXcAUBWNv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMCHPoXcAUBWNv.jpg', 'url': 'https://t.co/OSPEJUH9Bo', 'display_url': 'pic.twitter.com/OSPEJUH9Bo', 'expanded_url': 'https://twitter.com/mymonsterischic/status/1311394243420786688/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 371, 'resize': 'fit'}, 'large': {'w': 1311, 'h': 716, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 655, 'resize': 'fit'}}, 'source_status_id': 1311394243420786688, 'source_status_id_str': '1311394243420786688', 'source_user_id': 26490474, 'source_user_id_str': '26490474'}]}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
9,1311397318369787905,2020-09-30 20:07:39,"RT @EmilyNewcomen: See ya, September! Check out this week's @Marvel #BestDressed highlights that are rolling in with the Autumn wind:

Shan…",None,None,None,None,None,0,40,TweetDeck,"New York, NY","{'hashtags': [{'text': 'BestDressed', 'indices': [68, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'EmilyNewcomen', 'name': 'Emily Newcomen', 'id': 812030458993266690, 'id_str': '812030458993266690', 'indices': [3, 17]}, {'screen_name': 'Marvel', 'name': 'Marvel Entertainment', 'id': 15687962, 'id_str': '15687962', 'indices': [60, 67]}], 'urls': []}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
10,1311384471522783233,2020-09-30 19:16:37,"RT @CarmenCarnero: Giant-Size X-men #1: Tribute to Wein &amp; Cockrum is finally out!
I'm so honored to be part of this project among these inc…",None,None,None,None,None,0,117,Twitter Web App,"New York, NY","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CarmenCarnero', 'name': 'C????? C??????', 'id': 767694697, 'id_str': '767694697', 'indices': [3, 17]}], 'urls': []}",9982066,False,783,False,Marvel Entertainment,False,True,en,"The official Twitter for Marvel comics, movies, games, and more.",False,Marvel,56952,False,False
