id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311451508328685569,2020-09-30 23:42:59,"RT @MSFTIssues: A few months ago, we launched an initiative to help job-seekers worldwide acquire the #DigitalSkills needed in the COVID-19…",None,None,None,None,None,0,29,Twitter Web App,"Redmond, WA","{'hashtags': [{'text': 'DigitalSkills', 'indices': [102, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MSFTIssues', 'name': 'Microsoft On the Issues', 'id': 20180686, 'id_str': '20180686', 'indices': [3, 14]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
2,1311444518235856896,2020-09-30 23:15:13,"@andii_epvp @SharePoint Great, checking now.",1311387816975269890,andii_epvp,1311387816975269890,875369870266949633,875369870266949633,0,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'andii_epvp', 'name': 'Andii', 'id': 875369870266949633, 'id_str': '875369870266949633', 'indices': [0, 11]}, {'screen_name': 'SharePoint', 'name': 'Microsoft SharePoint', 'id': 26541422, 'id_str': '26541422', 'indices': [12, 23]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
3,1311444296751439872,2020-09-30 23:14:20,@Durucece Right ... NOW! ??,1311433320610369536,Durucece,1311433320610369536,2276116211,2276116211,0,1,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Durucece', 'name': 'ceceteras', 'id': 2276116211, 'id_str': '2276116211', 'indices': [0, 9]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
4,1311443689151975426,2020-09-30 23:11:55,@jimbradshaw4 Definitely could have been.,1311389795256590342,jimbradshaw4,1311389795256590342,100675553,100675553,5,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jimbradshaw4', 'name': 'Jim Bradshaw', 'id': 100675553, 'id_str': '100675553', 'indices': [0, 13]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
5,1311441930304335877,2020-09-30 23:04:56,RT @MicrosoftTeams: New features coming to #MicrosoftTeams include scheduling virtual commutes at the beginning and end of each work day—to…,None,None,None,None,None,0,108,Twitter Web App,"Redmond, WA","{'hashtags': [{'text': 'MicrosoftTeams', 'indices': [43, 58]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MicrosoftTeams', 'name': 'Microsoft Teams', 'id': 817461289081409536, 'id_str': '817461289081409536', 'indices': [3, 18]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
6,1311433139991048193,2020-09-30 22:30:00,"All students deserve Praise Badges for persistence this year. ??

Discover how Praise Badges can recognize student social skills, grow emotional vocabulary, and give valuable recognition to the daily wins in their learning: https://t.co/e8tz4HzcG9",None,None,None,None,None,163,32,Sprinklr Publishing,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e8tz4HzcG9', 'expanded_url': 'https://msft.it/6000TvIe0', 'display_url': 'msft.it/6000TvIe0', 'indices': [223, 246]}]}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
7,1311414265140727810,2020-09-30 21:15:00,"Did you know? Microsoft CTO @kevin_scott has a podcast, Behind The Tech, that explores technologies and innovations that power our modern world. Check it out: https://t.co/qVpWC0umwH #InternationalPodcastDay",None,None,None,None,None,109,21,Sprinklr Publishing,"Redmond, WA","{'hashtags': [{'text': 'InternationalPodcastDay', 'indices': [183, 207]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kevin_scott', 'name': 'Kevin Scott', 'id': 991451, 'id_str': '991451', 'indices': [28, 40]}], 'urls': [{'url': 'https://t.co/qVpWC0umwH', 'expanded_url': 'https://msft.it/6006TvLsQ', 'display_url': 'msft.it/6006TvLsQ', 'indices': [159, 182]}]}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
8,1311403435405701120,2020-09-30 20:31:58,"With Microsoft’s technology, the fan experience has only gotten better. Will anyone ever beat the (literal) goat though? ????
https://t.co/i7ut6dcYWA",None,None,None,None,None,330,51,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i7ut6dcYWA', 'expanded_url': 'https://twitter.com/NBA/status/1311055651984998400', 'display_url': 'twitter.com/NBA/status/131…', 'indices': [124, 147]}]}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,True
9,1311381046483714049,2020-09-30 19:03:00,"Them: You weren’t in the meeting.

You: It should’ve been an email.

Us: Technically it should’ve been a Microsoft Teams chat.",None,None,None,None,None,1027,89,Sprinklr Publishing,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
10,1311365533866971137,2020-09-30 18:01:21,@victoriali_1 Love it. ??,1311071971950637057,victoriali_1,1311071971950637057,1140082900383219712,1140082900383219712,6,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'victoriali_1', 'name': 'Victoria', 'id': 1140082900383219712, 'id_str': '1140082900383219712', 'indices': [0, 13]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
11,1311365533866971137,2020-09-30 18:01:21,@victoriali_1 Love it. ??,1311071971950637057,victoriali_1,1311071971950637057,1140082900383219712,1140082900383219712,6,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'victoriali_1', 'name': 'Victoria', 'id': 1140082900383219712, 'id_str': '1140082900383219712', 'indices': [0, 13]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
12,1311365417210793984,2020-09-30 18:00:54,@aquilasheart ? MUTE ? YOUR ? MIC ?,1311344435410558976,DREAMHUGS_,1311344435410558976,1298684262057533440,1298684262057533440,6,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
13,1311365091661496321,2020-09-30 17:59:36,@abbiedelgay We thoroughly enjoyed this PowerPoint presentation. How could Josh say no?,1311067980588093441,abbiedelgay,1311067980588093441,3428447926,3428447926,6,0,Twitter Web App,"Redmond, WA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abbiedelgay', 'name': 'ab ??', 'id': 3428447926, 'id_str': '3428447926', 'indices': [0, 12]}], 'urls': []}",9231899,False,2545,False,Microsoft,False,True,en,We’re on a mission to empower every person and every organization on the planet to achieve more. Support: @MicrosoftHelps,False,Microsoft,20175,False,False
