id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1310951298938941451,2020-09-29 14:35:20,@thawoo1031 That's odd! Feel free to DM @teamnike your Nike Member email so that we can take a closer look. ??,1310946913525682177,thawoo1031,1310946913525682177,1150267626813308928,1150267626813308928,0,0,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thawoo1031', 'name': 'Pat Woo', 'id': 1150267626813308928, 'id_str': '1150267626813308928', 'indices': [0, 11]}, {'screen_name': 'TeamNike', 'name': 'Team Nike', 'id': 1318961261439143936, 'id_str': '1318961261439143936', 'indices': [40, 49]}], 'urls': []}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
2,1310936257409802242,2020-09-29 13:35:34,"@thawoo1031 Hey Pat, you'll want to visit the page linked below. Be sure to sign in to your Nike Member profile so that you're all set and ready to go for the next ?? drop.

SNKRS desktop: https://t.co/YFy06RfrHI",1310836209783054336,thawoo1031,1310836209783054336,1150267626813308928,1150267626813308928,1,0,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thawoo1031', 'name': 'Pat Woo', 'id': 1150267626813308928, 'id_str': '1150267626813308928', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/YFy06RfrHI', 'expanded_url': 'https://go.nike.com/ZCWu48Uj_GY', 'display_url': 'go.nike.com/ZCWu48Uj_GY', 'indices': [188, 211]}]}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
3,1310678661251641344,2020-09-28 20:31:58,@cdgehring This drop is ??.,1310676652398174210,cdgehring,1310676652398174210,251728101,251728101,14,1,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cdgehring', 'name': 'Chris Gehring', 'id': 251728101, 'id_str': '251728101', 'indices': [0, 10]}], 'urls': []}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
4,1310517838961160192,2020-09-28 09:52:55,@ismarygarcia1 ¿me puedes envia tu número de pedido por un mensaje privado?,1310296072531644416,ismarygarcia1,1310296072531644416,288017682,288017682,0,1,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ismarygarcia1', 'name': 'ismary garcia', 'id': 288017682, 'id_str': '288017682', 'indices': [0, 14]}], 'urls': []}",8303397,True,116,False,Nike,False,True,es,#BlackLivesMatter,True,Nike,36842,False,False
5,1310499860160884737,2020-09-28 08:41:29,@willyrodrigz ¿qué modelo es? ¿has actualizado app o caché y cookies?,1309976251633938433,willyrodrigz,1309976251633938433,1320474290,1320474290,0,0,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'willyrodrigz', 'name': 'Guillermo Satué', 'id': 1320474290, 'id_str': '1320474290', 'indices': [0, 13]}], 'urls': []}",8303397,True,116,False,Nike,False,True,es,#BlackLivesMatter,True,Nike,36842,False,False
6,1310373346559897600,2020-09-28 00:18:46,"@KaviarKicks Love the passion! Unfortunately, we don't have information to provide on the midsole materials, and we don't have plans to sell accessories. Let us know if you need any help tracking down some Air Max 1s!",1310353052537245696,KaviarKicks,1310353052537245696,3393834299,3393834299,0,0,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KaviarKicks', 'name': 'Kaviar Kicks', 'id': 3393834299, 'id_str': '3393834299', 'indices': [0, 12]}], 'urls': []}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
7,1310293882333278208,2020-09-27 19:03:00,"@Hillt1 Congrats on crushing your first marathon, Terry! ?? Cheers to many more kilometres in your Infinity Runs!",1310292214958956545,Hillt1,1310292214958956545,21075434,21075434,2,1,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hillt1', 'name': 'Terry Hill', 'id': 21075434, 'id_str': '21075434', 'indices': [0, 7]}], 'urls': []}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
8,1310282388929474561,2020-09-27 18:17:20,"@JunicMe Let's get you back in the game! Pass us the following via DM and we'll take a closer look:

- Nike Member email
- Device + OS
- Version of the NTC app https://t.co/klmMF0Q8Tn",1310281459593293826,JunicMe,1310281459593293826,314763435,314763435,1,2,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JunicMe', 'name': 'Alexander Köpke', 'id': 314763435, 'id_str': '314763435', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/klmMF0Q8Tn', 'expanded_url': 'https://twitter.com/messages/compose?recipient_id=415859364', 'display_url': 'twitter.com/messages/compo…', 'indices': [160, 183]}]}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
9,1310034634898538496,2020-09-27 01:52:50,"@SushilM17566647 That's no good, Sushil. Mind letting us know when and where you purchased these? Meet us in the DM and we'll look at your options. ?? https://t.co/klmMF0Q8Tn",1310033089406464000,SushilM17566647,1310033089406464000,1306767865714864129,1306767865714864129,2,1,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SushilM17566647', 'name': 'Sushil Mittal', 'id': 1306767865714864129, 'id_str': '1306767865714864129', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/klmMF0Q8Tn', 'expanded_url': 'https://twitter.com/messages/compose?recipient_id=415859364', 'display_url': 'twitter.com/messages/compo…', 'indices': [151, 174]}]}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
10,1309935907588448258,2020-09-26 19:20:32,@schopp_case We're digging how these kicks turned out! ????,1309576855670980609,schopp_case,1309576855670980609,242656357,242656357,2,0,Sprinklr,"Beaverton, Oregon","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'schopp_case', 'name': 'Shlomo Chopp', 'id': 242656357, 'id_str': '242656357', 'indices': [0, 12]}], 'urls': []}",8303397,True,116,False,Nike,False,True,en,#BlackLivesMatter,True,Nike,36842,False,False
