id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1289274634773372931,2020-07-31 19:00:01,"Prepare for your ascent to Valhalla with the true cutting edge. The #OMEN 15 Laptop with an @AMDRyzen processor makes sure you see every detail, every particle, and, most importantly, every single beard hair. Add it to your setup today:

https://t.co/wtg6Cc8FNs https://t.co/lqLxIqJIY9",None,None,None,None,None,99,11,Twitter Media Studio,"Palo Alto, CA","{'hashtags': [{'text': 'OMEN', 'indices': [68, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AMDRyzen', 'name': 'AMD Ryzen', 'id': 760615043746496512, 'id_str': '760615043746496512', 'indices': [92, 101]}], 'urls': [{'url': 'https://t.co/wtg6Cc8FNs', 'expanded_url': 'https://tidd.ly/2CMhr4J', 'display_url': 'tidd.ly/2CMhr4J', 'indices': [238, 261]}], 'media': [{'id': 1289247325823483904, 'id_str': '1289247325823483904', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/media/EeRVF1bVAAAgYKu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EeRVF1bVAAAgYKu.jpg', 'url': 'https://t.co/lqLxIqJIY9', 'display_url': 'pic.twitter.com/lqLxIqJIY9', 'expanded_url': 'https://twitter.com/OMENbyHP/status/1289274634773372931/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
2,1289252727168458752,2020-07-31 17:32:57,@sonic_hedgehog https://t.co/n6NlC7R3lK,1289229368078655494,sonic_hedgehog,1289229368078655494,19609162,19609162,2,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sonic_hedgehog', 'name': 'Sonic the Hedgehog', 'id': 19609162, 'id_str': '19609162', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1289252716397690880, 'id_str': '1289252716397690880', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EeRYg8qXgAAGxVV.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EeRYg8qXgAAGxVV.jpg', 'url': 'https://t.co/n6NlC7R3lK', 'display_url': 'pic.twitter.com/n6NlC7R3lK', 'expanded_url': 'https://twitter.com/OMENbyHP/status/1289252727168458752/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 160, 'h': 90, 'resize': 'fit'}, 'medium': {'w': 160, 'h': 90, 'resize': 'fit'}, 'small': {'w': 160, 'h': 90, 'resize': 'fit'}, 'thumb': {'w': 90, 'h': 90, 'resize': 'crop'}}}]}",96362,False,643,False,OMEN,False,True,und,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
3,1289252632549298179,2020-07-31 17:32:35,@FortniteGame @diplo THIS is how you Friday https://t.co/mtG4x0a54r,1289229335275110400,FortniteGame,1289229335275110400,425871040,425871040,3,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FortniteGame', 'name': 'Fortnite', 'id': 425871040, 'id_str': '425871040', 'indices': [0, 13]}, {'screen_name': 'diplo', 'name': 'Thomas Wesley', 'id': 17174309, 'id_str': '17174309', 'indices': [14, 20]}], 'urls': [], 'media': [{'id': 1289252621090533381, 'id_str': '1289252621090533381', 'indices': [44, 67], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EeRYbZnXsAUvbkH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EeRYbZnXsAUvbkH.jpg', 'url': 'https://t.co/mtG4x0a54r', 'display_url': 'pic.twitter.com/mtG4x0a54r', 'expanded_url': 'https://twitter.com/OMENbyHP/status/1289252632549298179/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 428, 'h': 480, 'resize': 'fit'}, 'small': {'w': 428, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 428, 'h': 480, 'resize': 'fit'}}}]}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
4,1289252404257411075,2020-07-31 17:31:40,@Warcraft /pizza,1289138743782395905,Warcraft,1289138743782395905,61033129,61033129,1,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Warcraft', 'name': 'World of Warcraft', 'id': 61033129, 'id_str': '61033129', 'indices': [0, 9]}], 'urls': []}",96362,False,643,False,OMEN,False,True,sv,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
5,1289252367481753601,2020-07-31 17:31:32,@Fallout Life is good ??,1289214274234191874,Fallout,1289214274234191874,112511880,112511880,2,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fallout', 'name': 'Fallout', 'id': 112511880, 'id_str': '112511880', 'indices': [0, 8]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
6,1289252323735175168,2020-07-31 17:31:21,@Robovoid80 So pretty ??,1288943677767704576,Robovoid80,1288943677767704576,1281741090471571456,1281741090471571456,0,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Robovoid80', 'name': '???????????????????????? ?', 'id': 1281741090471571456, 'id_str': '1281741090471571456', 'indices': [0, 11]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
7,1289252241866731520,2020-07-31 17:31:02,@newuserfrom1945 Please reach out to the OMEN team in your region for an answer to your question.,1288918740176736256,newuserfrom1945,1288918740176736256,3219601598,3219601598,0,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'newuserfrom1945', 'name': '3Frosty??', 'id': 3219601598, 'id_str': '3219601598', 'indices': [0, 16]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
8,1288931613036785664,2020-07-30 20:16:58,@JosephSchloeder Everybody has their reasons ?????,1288550271665049601,JosephSchloeder,1288550271665049601,1191456766636126209,1191456766636126209,1,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JosephSchloeder', 'name': 'Joseph Schloeder', 'id': 1191456766636126209, 'id_str': '1191456766636126209', 'indices': [0, 16]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
9,1288931413991948289,2020-07-30 20:16:10,@jrjcampbell Hobby turned lifestyle,1288556569769185285,jrjcampbell,1288556569769185285,62217691,62217691,1,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jrjcampbell', 'name': 'JustCampbell ??', 'id': 62217691, 'id_str': '62217691', 'indices': [0, 12]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
10,1288931198115303424,2020-07-30 20:15:19,@Robovoid80 Happy gaming ????,1288712837213204483,Robovoid80,1288712837213204483,1281741090471571456,1281741090471571456,0,0,Twitter Web App,"Palo Alto, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Robovoid80', 'name': '???????????????????????? ?', 'id': 1281741090471571456, 'id_str': '1281741090471571456', 'indices': [0, 11]}], 'urls': []}",96362,False,643,False,OMEN,False,True,en,"Games are vitamins. Take your vitamins, kids.",True,OMENbyHP,7249,False,False
