id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311425308852183044,2020-09-30 21:58:53,"Dominating, inside and out.  

???? Intel®?Core™ i9-9980XE Extreme Edition processor  

?? Dual @NVIDIAGeForce RTX™ 2080 Ti GPUs in SLI 

The new Predator #Orion9000. https://t.co/ywpLZViBzp",None,None,None,None,None,10,1,Sprinklr,United States,"{'hashtags': [{'text': 'Orion9000', 'indices': [152, 162]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NVIDIAGeForce', 'name': 'NVIDIA GeForce', 'id': 86395621, 'id_str': '86395621', 'indices': [93, 107]}], 'urls': [], 'media': [{'id': 1311425242150117387, 'id_str': '1311425242150117387', 'indices': [164, 187], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1311425242150117387/img/btLZIorF-gwwFgq6.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1311425242150117387/img/btLZIorF-gwwFgq6.jpg', 'url': 'https://t.co/ywpLZViBzp', 'display_url': 'pic.twitter.com/ywpLZViBzp', 'expanded_url': 'https://twitter.com/Predator_USA/status/1311425308852183044/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
2,1311042630164324353,2020-09-29 20:38:15,"@JulietRoberie Hey Julie! ???? We think that’s a great idea ?? Our #Nitro is perfect for the ability to game, while also being a great everyday computer! Feel free to check out our website too to view all our models, and let us know if you have any questions! 
https://t.co/8OGYXZSBsG",1311024305761902594,JuleTheRipper,1311024305761902594,401820581,401820581,0,0,Sprinklr,United States,"{'hashtags': [{'text': 'Nitro', 'indices': [64, 70]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8OGYXZSBsG', 'expanded_url': 'https://acer.co/2S9HNl1', 'display_url': 'acer.co/2S9HNl1', 'indices': [258, 281]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
3,1311005332487905280,2020-09-29 18:10:03,@NovaNxte Great choice! You'll love it?? https://t.co/2GthfEcGYV,1311004594911293446,NovaNxthxn,1311004594911293446,1000675387431583744,1000675387431583744,1,0,Twitter Web App,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311005326557159424, 'id_str': '1311005326557159424', 'indices': [40, 63], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjGgZgQVoAA4xV8.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjGgZgQVoAA4xV8.jpg', 'url': 'https://t.co/2GthfEcGYV', 'display_url': 'pic.twitter.com/2GthfEcGYV', 'expanded_url': 'https://twitter.com/Predator_USA/status/1311005332487905280/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 374, 'h': 404, 'resize': 'fit'}, 'large': {'w': 374, 'h': 404, 'resize': 'fit'}, 'medium': {'w': 374, 'h': 404, 'resize': 'fit'}}}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
4,1311002365030522880,2020-09-29 17:58:15,"@ToughToWatch We agree, #2021goals! But you can order it here ?? ?? https://t.co/KMQFTcprgg",1309629057865256961,ToughToWatch,1309629057865256961,2238144042,2238144042,0,0,Sprinklr,United States,"{'hashtags': [{'text': '2021goals', 'indices': [24, 34]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ToughToWatch', 'name': '???\u200d\U0001f9bc??????\u200d??@???????', 'id': 2238144042, 'id_str': '2238144042', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/KMQFTcprgg', 'expanded_url': 'https://acer.co/3jft8ki', 'display_url': 'acer.co/3jft8ki', 'indices': [66, 89]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
5,1310985046413709312,2020-09-29 16:49:26,@FiosLit We have a $4k PC ?? Have you seen our #Orion9000? Check it out here and let us know if you have any questions! ?? https://t.co/kwyz0U4kE1,1310731192283602951,FiosLit,1310731192283602951,529953951,529953951,0,0,Sprinklr,United States,"{'hashtags': [{'text': 'Orion9000', 'indices': [46, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FiosLit', 'name': 'FiosLit', 'id': 529953951, 'id_str': '529953951', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/kwyz0U4kE1', 'expanded_url': 'https://acer.co/3jfexFz', 'display_url': 'acer.co/3jfexFz', 'indices': [121, 144]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
6,1310978568453750784,2020-09-29 16:23:42,Where are the best spots to set up in Haven? @Envy’s @kabooseCS is here to break it all down. #EnterTheTrainingRoom https://t.co/ZqOMG9PfUW https://t.co/Jc30cBOSiz,None,None,None,None,None,12,2,Sprinklr,United States,"{'hashtags': [{'text': 'EnterTheTrainingRoom', 'indices': [94, 115]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Envy', 'name': 'Envy', 'id': 115038550, 'id_str': '115038550', 'indices': [45, 50]}, {'screen_name': 'kabooseCS', 'name': 'Envy kaboose', 'id': 3107979014, 'id_str': '3107979014', 'indices': [53, 63]}], 'urls': [{'url': 'https://t.co/ZqOMG9PfUW', 'expanded_url': 'https://acer.co/34fB7HY', 'display_url': 'acer.co/34fB7HY', 'indices': [116, 139]}], 'media': [{'id': 1310978566255935494, 'id_str': '1310978566255935494', 'indices': [140, 163], 'media_url': 'http://pbs.twimg.com/media/EjGID2XWAAY1XnT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjGID2XWAAY1XnT.jpg', 'url': 'https://t.co/Jc30cBOSiz', 'display_url': 'pic.twitter.com/Jc30cBOSiz', 'expanded_url': 'https://twitter.com/Predator_USA/status/1310978568453750784/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 576, 'resize': 'fit'}}}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
7,1310635906043383810,2020-09-28 17:42:05,"@jolos_world Hey JoLo! We saw you're looking for a new gaming PC, and we have some great options to choose from. Check out our website here and let us know if you have any questions! ?? https://t.co/h1OIcE9o1x",1309939490719444992,jolos_world,1309939490719444992,1092797410726813696,1092797410726813696,0,0,Sprinklr,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jolos_world', 'name': 'joLo ?', 'id': 1092797410726813696, 'id_str': '1092797410726813696', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/h1OIcE9o1x', 'expanded_url': 'https://acer.co/30gx8td', 'display_url': 'acer.co/30gx8td', 'indices': [185, 208]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
8,1310629540511780867,2020-09-28 17:16:47,@HourADayGamer We'll keep that in mind ??,1310626271454470144,HourADayGamer,1310626271454470144,1091422934017720320,1091422934017720320,2,0,Sprinklr,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HourADayGamer', 'name': 'HourADayGamer #IWOCon', 'id': 1091422934017720320, 'id_str': '1091422934017720320', 'indices': [0, 14]}], 'urls': []}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
9,1310626590959775744,2020-09-28 17:05:04,"@Dj_FuNkShUn Hey! We saw your laptop crashed and you're looking for a new one, and we have lots of great options that would be perfect for streaming on Twitch, starting at just $899! Check out our website here and let us know if you have any questions! ?? 
https://t.co/n8HunLm3wY",1310327834418860032,Dj_FuNkShUn,1310327834418860032,376564566,376564566,0,0,Sprinklr,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dj_FuNkShUn', 'name': 'Funkshun', 'id': 376564566, 'id_str': '376564566', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/n8HunLm3wY', 'expanded_url': 'https://acer.co/336Gtps', 'display_url': 'acer.co/336Gtps', 'indices': [256, 279]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
10,1310620669898616837,2020-09-28 16:41:32,"@Tomomi_cosplay Hey Becky! We have a lot of great gaming laptops in stock right now, starting at $899! We totally understand it's a large investment, so if you have any questions while looking through our website, do not hesitate to ask! ?? 
https://t.co/pFJLgfJfbT",1310591838164672512,Tomomi_cosplay,1310591838164672512,1024123996328026112,1024123996328026112,2,0,Sprinklr,United States,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tomomi_cosplay', 'name': 'Becky', 'id': 1024123996328026112, 'id_str': '1024123996328026112', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/pFJLgfJfbT', 'expanded_url': 'https://acer.co/36evFrm', 'display_url': 'acer.co/36evFrm', 'indices': [241, 264]}]}",41251,False,319,False,Predator Gaming USA,False,True,en,Official US handle for #PredatorGaming.,True,Predator_USA,2898,False,False
