id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311289694068461570,2020-09-30 13:00:00,"Flexed for infinite possibilities.
Change the shape of the future. #GalaxyZFold2

Buy now: https://t.co/nhsoOEafeI https://t.co/iQ0rxc7Nhs",None,None,None,None,None,1437,102,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyZFold2', 'indices': [67, 80]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nhsoOEafeI', 'expanded_url': 'http://smsng.co/GalaxyZFold2', 'display_url': 'smsng.co/GalaxyZFold2', 'indices': [91, 114]}], 'media': [{'id': 1310887572093063170, 'id_str': '1310887572093063170', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EjE1giPUMAAqKmf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE1giPUMAAqKmf.jpg', 'url': 'https://t.co/iQ0rxc7Nhs', 'display_url': 'pic.twitter.com/iQ0rxc7Nhs', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1311289694068461570/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
2,1311274601486450688,2020-09-30 12:00:01,"Your #GalaxyA71 experience is packed and ready.
#Unboxing #AwesomeIsForEveryone

Learn more: https://t.co/OuFn57MmXi https://t.co/di5PdjO3sd",None,None,None,None,None,1686,124,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyA71', 'indices': [5, 15]}, {'text': 'Unboxing', 'indices': [48, 57]}, {'text': 'AwesomeIsForEveryone', 'indices': [58, 79]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OuFn57MmXi', 'expanded_url': 'http://smsng.co/GalaxyA71', 'display_url': 'smsng.co/GalaxyA71', 'indices': [93, 116]}], 'media': [{'id': 1309449138078007296, 'id_str': '1309449138078007296', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/Eiwc_ppUMAIzFGn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eiwc_ppUMAIzFGn.jpg', 'url': 'https://t.co/di5PdjO3sd', 'display_url': 'pic.twitter.com/di5PdjO3sd', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1311274601486450688/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
3,1310912212622508034,2020-09-29 12:00:01,"All you want, to do all you love. See what’s in the box of the #GalaxyS20FE
Learn more: https://t.co/0jPHQiBg1X https://t.co/ruEOwS7991",None,None,None,None,None,1765,126,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyS20FE', 'indices': [63, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0jPHQiBg1X', 'expanded_url': 'http://smsng.co/GalaxyS20FE_unboxing_tw', 'display_url': 'smsng.co/GalaxyS20FE_un…', 'indices': [88, 111]}], 'media': [{'id': 1310767935552499712, 'id_str': '1310767935552499712', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/EjD50CCUwAArHRk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjD50CCUwAArHRk.jpg', 'url': 'https://t.co/ruEOwS7991', 'display_url': 'pic.twitter.com/ruEOwS7991', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1310912212622508034/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
4,1310429023605055488,2020-09-28 04:00:00,"The Samsung Galaxy community raised $1M to support the #GlobalGoals! Together, with @UNDP, we’re turning small actions into meaningful change through the #SamsungGlobalGoals app. 

Learn more: https://t.co/3yTIQv1bsh https://t.co/TxbdtI3wDx",None,None,None,None,None,1259,110,Twitter Media Studio,,"{'hashtags': [{'text': 'GlobalGoals', 'indices': [55, 67]}, {'text': 'SamsungGlobalGoals', 'indices': [154, 173]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UNDP', 'name': 'UN Development', 'id': 20596281, 'id_str': '20596281', 'indices': [84, 89]}], 'urls': [{'url': 'https://t.co/3yTIQv1bsh', 'expanded_url': 'http://smsng.co/GlobalGoals_1million', 'display_url': 'smsng.co/GlobalGoals_1m…', 'indices': [193, 216]}], 'media': [{'id': 1309458951595896835, 'id_str': '1309458951595896835', 'indices': [217, 240], 'media_url': 'http://pbs.twimg.com/media/Eiwh-onUMAML4WD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eiwh-onUMAML4WD.jpg', 'url': 'https://t.co/TxbdtI3wDx', 'display_url': 'pic.twitter.com/TxbdtI3wDx', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1310429023605055488/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 427, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 628, 'resize': 'fit'}, 'medium': {'w': 1000, 'h': 628, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
5,1310187432390737922,2020-09-27 12:00:00,"Your #GalaxyA51 experience is packed and ready.
#Unboxing #AwesomeIsForEveryone

Learn more: https://t.co/C3ps9aGXa8 https://t.co/1G7frn4oji",None,None,None,None,None,1824,130,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyA51', 'indices': [5, 15]}, {'text': 'Unboxing', 'indices': [48, 57]}, {'text': 'AwesomeIsForEveryone', 'indices': [58, 79]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C3ps9aGXa8', 'expanded_url': 'http://smsng.co/GalaxyA51', 'display_url': 'smsng.co/GalaxyA51', 'indices': [93, 116]}], 'media': [{'id': 1309448612401704961, 'id_str': '1309448612401704961', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/EiwbCRPVgAEBwY3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiwbCRPVgAEBwY3.jpg', 'url': 'https://t.co/1G7frn4oji', 'display_url': 'pic.twitter.com/1G7frn4oji', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1310187432390737922/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
6,1309825049575088129,2020-09-26 12:00:01,"Here’s another side of BTS you’ve never seen before. Witness it all with the amazing drawing tools of the #GalaxyTabS7 #GalaxyxBTS @BTS_twt

Learn more: https://t.co/UOl3OpEkhJ https://t.co/CBqpBfGpSX",None,None,None,None,None,55658,15648,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyTabS7', 'indices': [106, 118]}, {'text': 'GalaxyxBTS', 'indices': [119, 130]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BTS_twt', 'name': '?????', 'id': 335141638, 'id_str': '335141638', 'indices': [131, 139]}], 'urls': [{'url': 'https://t.co/UOl3OpEkhJ', 'expanded_url': 'http://smsng.co/GalaxyTabS7', 'display_url': 'smsng.co/GalaxyTabS7', 'indices': [153, 176]}], 'media': [{'id': 1309454745916944385, 'id_str': '1309454745916944385', 'indices': [177, 200], 'media_url': 'http://pbs.twimg.com/media/EiwfgZ1VoAAd-U-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiwfgZ1VoAAd-U-.jpg', 'url': 'https://t.co/CBqpBfGpSX', 'display_url': 'pic.twitter.com/CBqpBfGpSX', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1309825049575088129/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
7,1309802205885526016,2020-09-26 10:29:15,"Enter the world of the #GalaxyNote20 Ultra and see how its incredible camera features come to life.

Experience now: https://t.co/uc1GxrDm4Q https://t.co/0EwZTFJk6I",None,None,None,None,None,1699,116,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyNote20', 'indices': [23, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uc1GxrDm4Q', 'expanded_url': 'http://smsng.co/GalaxyNote20_interactive_how_tos', 'display_url': 'smsng.co/GalaxyNote20_i…', 'indices': [117, 140]}], 'media': [{'id': 1309797860876021760, 'id_str': '1309797860876021760', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/Ei1WSysU4AAld7k.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei1WSysU4AAld7k.jpg', 'url': 'https://t.co/0EwZTFJk6I', 'display_url': 'pic.twitter.com/0EwZTFJk6I', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1309802205885526016/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
8,1309061997343002626,2020-09-24 09:27:56,It’s time to do more with your Galaxy. Don’t miss the upcoming original short feature filmed #withGalaxy S20 Series by #LeeChungHyun to explore the endless possibilities. #HeartAttack https://t.co/dgh2DsdVYK,None,None,None,None,None,1608,108,Twitter Media Studio,,"{'hashtags': [{'text': 'withGalaxy', 'indices': [93, 104]}, {'text': 'LeeChungHyun', 'indices': [119, 132]}, {'text': 'HeartAttack', 'indices': [171, 183]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1309051925648887811, 'id_str': '1309051925648887811', 'indices': [184, 207], 'media_url': 'http://pbs.twimg.com/media/EiqvymzX0AMHAlh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiqvymzX0AMHAlh.jpg', 'url': 'https://t.co/dgh2DsdVYK', 'display_url': 'pic.twitter.com/dgh2DsdVYK', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1309061997343002626/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
9,1308979472012578818,2020-09-24 04:00:00,"All leveled up. Be the star of the shot and enjoy more detail in your photos and videos. #GalaxyS20FE

Learn more: https://t.co/IyAXD4Btr3 https://t.co/M8RhItyzMp",None,None,None,None,None,4402,193,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyS20FE', 'indices': [89, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IyAXD4Btr3', 'expanded_url': 'http://smsng.co/S20FE_Portrait_tw', 'display_url': 'smsng.co/S20FE_Portrait…', 'indices': [115, 138]}], 'media': [{'id': 1308787333164969985, 'id_str': '1308787333164969985', 'indices': [139, 162], 'media_url': 'http://pbs.twimg.com/media/EinAbaSVkAAVKgX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EinAbaSVkAAVKgX.jpg', 'url': 'https://t.co/M8RhItyzMp', 'display_url': 'pic.twitter.com/M8RhItyzMp', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1308979472012578818/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
10,1308949272398888960,2020-09-24 02:00:00,"Power on and on and on. Introducing our latest All-Day Intelligent Battery. #GalaxyS20FE

Learn more: https://t.co/so4P4nQlUS https://t.co/etOWOf5Nr8",None,None,None,None,None,6425,295,Twitter Media Studio,,"{'hashtags': [{'text': 'GalaxyS20FE', 'indices': [76, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/so4P4nQlUS', 'expanded_url': 'http://smsng.co/S20FE_Battery_tw', 'display_url': 'smsng.co/S20FE_Battery_…', 'indices': [102, 125]}], 'media': [{'id': 1308787294682320896, 'id_str': '1308787294682320896', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/media/Eim_bFNVoAAczj8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eim_bFNVoAAczj8.jpg', 'url': 'https://t.co/etOWOf5Nr8', 'display_url': 'pic.twitter.com/etOWOf5Nr8', 'expanded_url': 'https://twitter.com/SamsungMobile/status/1308949272398888960/video/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",12276042,False,430,False,Samsung Mobile,False,True,en,"Official Twitter of the #GalaxyS20FE, #GalaxyNote20, #GalaxyZFold2, #GalaxyS20, #GalaxyBudsLive, #GalaxyWatch3, #GalaxyTabS7",True,SamsungMobile,6764,False,False
