id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311371519600275458,2020-09-30 18:25:09,"@NyssaPinkerton @NyssaPinkerton Hi Nyssa, we're sorry for any concern caused! We can confirm the Stars may take up to 2 weeks to update, and the IT team are working on the issues with the cards.",1311341944778493952,NyssaPinkerton,1311341944778493952,446199217,446199217,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NyssaPinkerton', 'name': 'Nyssa Pinkerton', 'id': 446199217, 'id_str': '446199217', 'indices': [0, 15]}, {'screen_name': 'NyssaPinkerton', 'name': 'Nyssa Pinkerton', 'id': 446199217, 'id_str': '446199217', 'indices': [16, 31]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
2,1311371519600275458,2020-09-30 18:25:09,"@NyssaPinkerton @NyssaPinkerton Hi Nyssa, we're sorry for any concern caused! We can confirm the Stars may take up to 2 weeks to update, and the IT team are working on the issues with the cards.",1311341944778493952,NyssaPinkerton,1311341944778493952,446199217,446199217,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NyssaPinkerton', 'name': 'Nyssa Pinkerton', 'id': 446199217, 'id_str': '446199217', 'indices': [0, 15]}, {'screen_name': 'NyssaPinkerton', 'name': 'Nyssa Pinkerton', 'id': 446199217, 'id_str': '446199217', 'indices': [16, 31]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
3,1311370040655130632,2020-09-30 18:19:16,"@charliesuzannew @charliesuzannew Hi Charlotte, we're sorry to hear that. We're aware of issues with the new update and we’re sorry for any inconvenience caused! You can check our troubleshooting page here https://t.co/SMznKMdwIk",1311332446336671744,charliesuzannew,1311332446336671744,199630368,199630368,2,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'charliesuzannew', 'name': '??C.H.A.R.L.O.T.T.E_W.H.I.T.E??', 'id': 199630368, 'id_str': '199630368', 'indices': [0, 16]}, {'screen_name': 'charliesuzannew', 'name': '??C.H.A.R.L.O.T.T.E_W.H.I.T.E??', 'id': 199630368, 'id_str': '199630368', 'indices': [17, 33]}], 'urls': [{'url': 'https://t.co/SMznKMdwIk', 'expanded_url': 'https://www.starbucks.co.uk/app-troubleshooting', 'display_url': 'starbucks.co.uk/app-troublesho…', 'indices': [206, 229]}]}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
4,1311321876019507201,2020-09-30 15:07:53,"@_Sxlmah @_Sxlmah Hi Salma, we’re sorry for any inconvenience caused! The IT team are working on it. We’ve also got a troubleshooting page here which might help https://t.co/SMznKMdwIk",1311279822363131904,_Sxlmah,1311279822363131904,159989531,159989531,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_Sxlmah', 'name': 'Salma', 'id': 159989531, 'id_str': '159989531', 'indices': [0, 8]}, {'screen_name': '_Sxlmah', 'name': 'Salma', 'id': 159989531, 'id_str': '159989531', 'indices': [9, 17]}], 'urls': [{'url': 'https://t.co/SMznKMdwIk', 'expanded_url': 'https://www.starbucks.co.uk/app-troubleshooting', 'display_url': 'starbucks.co.uk/app-troublesho…', 'indices': [161, 184]}]}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
5,1311278089280933889,2020-09-30 12:13:53,"@Lumo80 @Lumo80 Sorry to hear about this, could you please send us a DM? We'll look into the matter further for you.",1311232019825922050,Lumo80,1311232019825922050,21025164,21025164,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lumo80', 'name': 'Lucie Colton', 'id': 21025164, 'id_str': '21025164', 'indices': [0, 7]}, {'screen_name': 'Lumo80', 'name': 'Lucie Colton', 'id': 21025164, 'id_str': '21025164', 'indices': [8, 15]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
6,1311275279130791937,2020-09-30 12:02:43,"@SimonJHanson1 @SimonJHanson1 Sorry to hear about this. Please send us a DM, we'll look into this for your further.",1311242635240144896,SimonJHanson1,1311242635240144896,838492077696638981,838492077696638981,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SimonJHanson1', 'name': 'Simon J Hanson', 'id': 838492077696638981, 'id_str': '838492077696638981', 'indices': [0, 14]}, {'screen_name': 'SimonJHanson1', 'name': 'Simon J Hanson', 'id': 838492077696638981, 'id_str': '838492077696638981', 'indices': [15, 29]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
7,1310921664067235845,2020-09-29 12:37:35,"@T2k2Tracey @T2k2Tracey That's great to hear, thanks for sharing Tracey! We'll pass your feedback on to the senior management team ??",1310910053512339457,T2k2Tracey,1310910053512339457,2262359427,2262359427,2,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'T2k2Tracey', 'name': 'Tracey T ??????', 'id': 2262359427, 'id_str': '2262359427', 'indices': [0, 11]}, {'screen_name': 'T2k2Tracey', 'name': 'Tracey T ??????', 'id': 2262359427, 'id_str': '2262359427', 'indices': [12, 23]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
8,1310920649905524737,2020-09-29 12:33:33,"@sophiatranterxo @sophiatranterxo Hi Sophia, we can confirm the Stars may take up to 2 weeks to appear on the account and will be multiplied by 10 to reflect the new system. Sorry for any concern caused!",1310898879433498626,sophiatranterxo,1310898879433498626,417987134,417987134,3,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sophiatranterxo', 'name': 'Sophiaaaxo ??', 'id': 417987134, 'id_str': '417987134', 'indices': [0, 16]}, {'screen_name': 'sophiatranterxo', 'name': 'Sophiaaaxo ??', 'id': 417987134, 'id_str': '417987134', 'indices': [17, 33]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
9,1310917124773294080,2020-09-29 12:19:32,@CarysClark @CarysClark Sorry for any inconvenience caused! We're aware of issues with the new update and the IT team are working on it. We’ve also got a troubleshooting page here which might help https://t.co/SMznKMdwIk,1310893701498101761,CarysClark,1310893701498101761,383296772,383296772,2,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CarysClark', 'name': ""carys'elizabeth"", 'id': 383296772, 'id_str': '383296772', 'indices': [0, 11]}, {'screen_name': 'CarysClark', 'name': ""carys'elizabeth"", 'id': 383296772, 'id_str': '383296772', 'indices': [12, 23]}], 'urls': [{'url': 'https://t.co/SMznKMdwIk', 'expanded_url': 'https://www.starbucks.co.uk/app-troubleshooting', 'display_url': 'starbucks.co.uk/app-troublesho…', 'indices': [197, 220]}]}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
10,1310838508773408768,2020-09-29 07:07:09,"@thedogfatheruk1 @thedogfatheruk1 Hi Darren, we apologise for the delay, we're a small team and we're currently receiving a lot of contacts. We're sorry for any concern caused! We can confirm the Stars may take up to 2 weeks to update, and the IT team are working on the issues with the cards.",1310812477341536256,thedogfatheruk1,1310812477341536256,1043228537220681729,1043228537220681729,1,0,Hootsuite Inc.,"London, England","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thedogfatheruk1', 'name': 'Darren', 'id': 1043228537220681729, 'id_str': '1043228537220681729', 'indices': [0, 16]}, {'screen_name': 'thedogfatheruk1', 'name': 'Darren', 'id': 1043228537220681729, 'id_str': '1043228537220681729', 'indices': [17, 33]}], 'urls': []}",589483,False,7480,False,Starbucks UK,False,True,en,Proud to be back. Proud to serve you safely. ????,True,StarbucksUK,45587,False,False
