id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311440030439804929,2020-09-30 22:57:23,@staceyiteachk Thank YOU for all that you do as a teacher ??,1311437380025450498,staceyiteachk,1311437380025450498,700490497715019781,700490497715019781,3,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'staceyiteachk', 'name': 'stacey', 'id': 700490497715019781, 'id_str': '700490497715019781', 'indices': [0, 14]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
2,1311439763002593282,2020-09-30 22:56:19,@MagentaKris10 The un-carrier spirit can't be stopped ??,1311439318007926784,MagentaKris10,1311439318007926784,1050510466739515392,1050510466739515392,1,1,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MagentaKris10', 'name': 'Kristen Perdomo', 'id': 1050510466739515392, 'id_str': '1050510466739515392', 'indices': [0, 14]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
3,1311437269920821248,2020-09-30 22:46:25,@kkwestisbest @ScottMcCarthyAZ Let's ??  get ??  this ??  bread ??,1311435539703386113,kkwestisbest,1311435539703386113,2376224677,2376224677,4,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kkwestisbest', 'name': 'kevin kunkel', 'id': 2376224677, 'id_str': '2376224677', 'indices': [0, 13]}, {'screen_name': 'ScottMcCarthyAZ', 'name': 'Scott McCarthy', 'id': 21891694, 'id_str': '21891694', 'indices': [14, 30]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
4,1311436897290539008,2020-09-30 22:44:56,@AnthonyJTropea WE LOVE YOU TOO!!!,1311436165610864646,AnthonyJTropea,1311436165610864646,2569916301,2569916301,1,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnthonyJTropea', 'name': 'Anthony J. Tropea', 'id': 2569916301, 'id_str': '2569916301', 'indices': [0, 15]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
5,1311435981204017152,2020-09-30 22:41:17,@Rachel4299 ?? POSSIBLE #5Gsfor5G WINNER ALERT ??Why are you still reading this? Go check your DMs!,1311399958910840839,Rachel4299,1311399958910840839,2511477438,2511477438,7,0,Twitter Web App,,"{'hashtags': [{'text': '5Gsfor5G', 'indices': [23, 32]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Rachel4299', 'name': 'Rachel', 'id': 2511477438, 'id_str': '2511477438', 'indices': [0, 11]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
6,1311434727153377280,2020-09-30 22:36:18,@NicolasJDelgado @LuisaGabriela90 @Starandzipper @SeniorsellerY The un-carrier spirit is strong in this team ??,1311433764912930816,NicolasJDelgado,1311433764912930816,253885454,253885454,3,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NicolasJDelgado', 'name': 'Nicolas Delgado', 'id': 253885454, 'id_str': '253885454', 'indices': [0, 16]}, {'screen_name': 'LuisaGabriela90', 'name': 'Luisa De Jesus', 'id': 1126916879535214593, 'id_str': '1126916879535214593', 'indices': [17, 33]}, {'screen_name': 'Starandzipper', 'name': 'Robin Plimpton', 'id': 256792097, 'id_str': '256792097', 'indices': [34, 48]}, {'screen_name': 'SeniorsellerY', 'name': 'Yamelsi Moreno', 'id': 1187363126930558976, 'id_str': '1187363126930558976', 'indices': [49, 63]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
7,1311433381998202880,2020-09-30 22:30:58,"@perfectindark Don't worry, there's gonna be a next one. Stay tuned ??",1311432863414280192,perfectindark,1311432863414280192,704236146,704236146,11,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'perfectindark', 'name': 'pure imperfections', 'id': 704236146, 'id_str': '704236146', 'indices': [0, 14]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
8,1311431391737974784,2020-09-30 22:23:03,@AmandaGrant09 Cuteness overload ??,1311430476750450688,AmandaGrant09,1311430476750450688,1311016191519907840,1311016191519907840,3,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmandaGrant09', 'name': 'Amanda Grant', 'id': 1311016191519907840, 'id_str': '1311016191519907840', 'indices': [0, 14]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
9,1311431391737974784,2020-09-30 22:23:03,@AmandaGrant09 Cuteness overload ??,1311430476750450688,AmandaGrant09,1311430476750450688,1311016191519907840,1311016191519907840,3,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmandaGrant09', 'name': 'Amanda Grant', 'id': 1311016191519907840, 'id_str': '1311016191519907840', 'indices': [0, 14]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
10,1311431044105736195,2020-09-30 22:21:40,@sweet_queer Remember: you're still the winner of an adorable doggo??,1311428369540620292,sweet_queer,1311428369540620292,2852617095,2852617095,6,0,Sprout Social,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sweet_queer', 'name': '????????????????play Buried Stars if you love gay', 'id': 2852617095, 'id_str': '2852617095', 'indices': [0, 12]}], 'urls': []}",1388380,False,12792,False,T-Mobile,False,True,en,"Living our best Un-carrier life. Leading the 5G revolution, nbd. Joining forces with @Sprint, to build America’s largest, fastest 5G network.",True,TMobile,532053,False,False
