id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311402698021965825,2020-09-30 20:29:02,Find out how #VHub can help your business get back to work safely and successfully: https://t.co/naRyBq8d5l #RightBehindYou https://t.co/jrKGeuFGcG,None,None,None,None,None,0,0,Oktopost,Global,"{'hashtags': [{'text': 'VHub', 'indices': [13, 18]}, {'text': 'RightBehindYou', 'indices': [108, 123]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/naRyBq8d5l', 'expanded_url': 'https://vdfn.biz/LDBP0K_', 'display_url': 'vdfn.biz/LDBP0K_', 'indices': [84, 107]}], 'media': [{'id': 1311402695673237506, 'id_str': '1311402695673237506', 'indices': [124, 147], 'media_url': 'http://pbs.twimg.com/media/EjMJzbkX0AIA95d.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMJzbkX0AIA95d.jpg', 'url': 'https://t.co/jrKGeuFGcG', 'display_url': 'pic.twitter.com/jrKGeuFGcG', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311402698021965825/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
2,1311307317288329220,2020-09-30 14:10:02,It looks like we have a #CyberSecurity mystery on our hands via @Forbes: https://t.co/sRTJl2zW0L #CyberThreat,None,None,None,None,None,1,1,Oktopost,Global,"{'hashtags': [{'text': 'CyberSecurity', 'indices': [24, 38]}, {'text': 'CyberThreat', 'indices': [97, 109]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Forbes', 'name': 'Forbes', 'id': 91478624, 'id_str': '91478624', 'indices': [64, 71]}], 'urls': [{'url': 'https://t.co/sRTJl2zW0L', 'expanded_url': 'https://vdfn.biz/rWOt8b', 'display_url': 'vdfn.biz/rWOt8b', 'indices': [73, 96]}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
3,1311297119374970887,2020-09-30 13:29:30,Using #tech to put #education in the hands of people who need it most. This is Vodafone Business Ventures’ #ConnectedEducation solution. Explore more here: https://t.co/f7KT9A1J5I #DigitalLearning #DigitalSkills https://t.co/c1QGE0VXLF,None,None,None,None,None,0,0,Oktopost,Global,"{'hashtags': [{'text': 'tech', 'indices': [6, 11]}, {'text': 'education', 'indices': [19, 29]}, {'text': 'ConnectedEducation', 'indices': [107, 126]}, {'text': 'DigitalLearning', 'indices': [180, 196]}, {'text': 'DigitalSkills', 'indices': [197, 211]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f7KT9A1J5I', 'expanded_url': 'https://vdfn.biz/fUJobv_', 'display_url': 'vdfn.biz/fUJobv_', 'indices': [156, 179]}], 'media': [{'id': 1311297117592453120, 'id_str': '1311297117592453120', 'indices': [212, 235], 'media_url': 'http://pbs.twimg.com/media/EjKpx-kXgAAF9oY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKpx-kXgAAF9oY.jpg', 'url': 'https://t.co/c1QGE0VXLF', 'display_url': 'pic.twitter.com/c1QGE0VXLF', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311297119374970887/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
4,1311231852447924224,2020-09-30 09:10:09,Over 90% of enterprises use multiple #cloud services and platforms. Find out about simple multi-cloud management at: https://t.co/adxrpkndRS https://t.co/BI174ddhkV,None,None,None,None,None,14,1,Oktopost,Global,"{'hashtags': [{'text': 'cloud', 'indices': [37, 43]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/adxrpkndRS', 'expanded_url': 'https://vdfn.biz/EbT4yL_', 'display_url': 'vdfn.biz/EbT4yL_', 'indices': [117, 140]}], 'media': [{'id': 1311231850598334464, 'id_str': '1311231850598334464', 'indices': [141, 164], 'media_url': 'http://pbs.twimg.com/media/EjJua8EXgAAwj3P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJua8EXgAAwj3P.jpg', 'url': 'https://t.co/BI174ddhkV', 'display_url': 'pic.twitter.com/BI174ddhkV', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311231852447924224/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
5,1311200133397258241,2020-09-30 07:04:07,"‘Our businesses is too small to be a target’, a common misconception among #SMEs when it comes to #CyberSecurity. Discover why it’s wrong via @ExpComputer: https://t.co/jcp8fmOsZ8  #CyberThreat #ITSecurity https://t.co/DTzg5rr9Pv",None,None,None,None,None,2,1,Twitter Web App,Global,"{'hashtags': [{'text': 'SMEs', 'indices': [75, 80]}, {'text': 'CyberSecurity', 'indices': [98, 112]}, {'text': 'CyberThreat', 'indices': [181, 193]}, {'text': 'ITSecurity', 'indices': [194, 205]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ExpComputer', 'name': 'Express Computer', 'id': 2541264900, 'id_str': '2541264900', 'indices': [142, 154]}], 'urls': [{'url': 'https://t.co/jcp8fmOsZ8', 'expanded_url': 'https://vdfn.biz/ip8cgu', 'display_url': 'vdfn.biz/ip8cgu', 'indices': [156, 179]}], 'media': [{'id': 1311200124274724864, 'id_str': '1311200124274724864', 'indices': [206, 229], 'media_url': 'http://pbs.twimg.com/media/EjJRkOTX0AAHFlu.png', 'media_url_https': 'https://pbs.twimg.com/media/EjJRkOTX0AAHFlu.png', 'url': 'https://t.co/DTzg5rr9Pv', 'display_url': 'pic.twitter.com/DTzg5rr9Pv', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311200133397258241/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 750, 'h': 430, 'resize': 'fit'}, 'medium': {'w': 750, 'h': 430, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 390, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
6,1311190551165837313,2020-09-30 06:26:02,"On the road to recovery, businesses need to get creative. Can new networks and #5G help them bridge the gap? Dustin Kehoe, Research Director at Global Data takes a closer look: https://t.co/1KmUzmI74O https://t.co/PY8F1eCrmM",None,None,None,None,None,0,1,Oktopost,Global,"{'hashtags': [{'text': '5G', 'indices': [79, 82]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1KmUzmI74O', 'expanded_url': 'https://vdfn.biz/sABJm8_', 'display_url': 'vdfn.biz/sABJm8_', 'indices': [177, 200]}], 'media': [{'id': 1311190549601357824, 'id_str': '1311190549601357824', 'indices': [201, 224], 'media_url': 'http://pbs.twimg.com/media/EjJI253WkAADwD0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjJI253WkAADwD0.jpg', 'url': 'https://t.co/PY8F1eCrmM', 'display_url': 'pic.twitter.com/PY8F1eCrmM', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311190551165837313/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
7,1311093913080520704,2020-09-30 00:02:02,A growing population is demanding more nutritious food. Can #technology help feed the future? Robert MacDougall shares his highlights from #EconFTF with @EconomistEvents: https://t.co/rJoayFIkKc https://t.co/g0jX9WhtSu,None,None,None,None,None,3,1,Oktopost,Global,"{'hashtags': [{'text': 'technology', 'indices': [60, 71]}, {'text': 'EconFTF', 'indices': [139, 147]}], 'symbols': [], 'user_mentions': [{'screen_name': 'EconomistEvents', 'name': 'The Economist Events', 'id': 46575796, 'id_str': '46575796', 'indices': [153, 169]}], 'urls': [{'url': 'https://t.co/rJoayFIkKc', 'expanded_url': 'https://vdfn.biz/n56GyZ_', 'display_url': 'vdfn.biz/n56GyZ_', 'indices': [171, 194]}], 'media': [{'id': 1311093910731710467, 'id_str': '1311093910731710467', 'indices': [195, 218], 'media_url': 'http://pbs.twimg.com/media/EjHw9yBXYAMhxkw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHw9yBXYAMhxkw.jpg', 'url': 'https://t.co/g0jX9WhtSu', 'display_url': 'pic.twitter.com/g0jX9WhtSu', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311093913080520704/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 630, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
8,1311054100537241600,2020-09-29 21:23:50,"We hear a lot about connected factories and cities, but #IoT is also transforming rural industries. @ErikBrenneis tells us about the solutions being used in farming: https://t.co/mGuN8bXMGM https://t.co/7IfONRLYHo",None,None,None,None,None,1,1,Oktopost,Global,"{'hashtags': [{'text': 'IoT', 'indices': [56, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ErikBrenneis', 'name': 'Erik Brenneis', 'id': 2170885126, 'id_str': '2170885126', 'indices': [100, 113]}], 'urls': [{'url': 'https://t.co/mGuN8bXMGM', 'expanded_url': 'https://vdfn.biz/2yxUKC_', 'display_url': 'vdfn.biz/2yxUKC_', 'indices': [166, 189]}], 'media': [{'id': 1311054098146394112, 'id_str': '1311054098146394112', 'indices': [190, 213], 'media_url': 'http://pbs.twimg.com/media/EjHMwYlWAAArYHz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHMwYlWAAArYHz.jpg', 'url': 'https://t.co/7IfONRLYHo', 'display_url': 'pic.twitter.com/7IfONRLYHo', 'expanded_url': 'https://twitter.com/VodafoneBiz/status/1311054100537241600/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 630, 'resize': 'fit'}, 'small': {'w': 680, 'h': 357, 'resize': 'fit'}}}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
9,1310990609063256067,2020-09-29 17:11:32,How can #SMEs protect themselves from #CyberThreats? @VodafoneUKBiz sat down with @OLIO to discuss how they ensure security for their users: https://t.co/18rNqvONtq @vodafoneuknews,None,None,None,None,None,2,1,Oktopost,Global,"{'hashtags': [{'text': 'SMEs', 'indices': [8, 13]}, {'text': 'CyberThreats', 'indices': [38, 51]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VodafoneUKBiz', 'name': 'Vodafone Business UK', 'id': 907222348893388800, 'id_str': '907222348893388800', 'indices': [53, 67]}, {'screen_name': 'olio', 'name': 'olio', 'id': 14574846, 'id_str': '14574846', 'indices': [82, 87]}, {'screen_name': 'vodafoneuknews', 'name': 'Vodafone UK News Centre', 'id': 907896430806827008, 'id_str': '907896430806827008', 'indices': [165, 180]}], 'urls': [{'url': 'https://t.co/18rNqvONtq', 'expanded_url': 'https://vdfn.biz/mUdCr7', 'display_url': 'vdfn.biz/mUdCr7', 'indices': [141, 164]}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
10,1310990609063256067,2020-09-29 17:11:32,How can #SMEs protect themselves from #CyberThreats? @VodafoneUKBiz sat down with @OLIO to discuss how they ensure security for their users: https://t.co/18rNqvONtq @vodafoneuknews,None,None,None,None,None,2,1,Oktopost,Global,"{'hashtags': [{'text': 'SMEs', 'indices': [8, 13]}, {'text': 'CyberThreats', 'indices': [38, 51]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VodafoneUKBiz', 'name': 'Vodafone Business UK', 'id': 907222348893388800, 'id_str': '907222348893388800', 'indices': [53, 67]}, {'screen_name': 'olio', 'name': 'olio', 'id': 14574846, 'id_str': '14574846', 'indices': [82, 87]}, {'screen_name': 'vodafoneuknews', 'name': 'Vodafone UK News Centre', 'id': 907896430806827008, 'id_str': '907896430806827008', 'indices': [165, 180]}], 'urls': [{'url': 'https://t.co/18rNqvONtq', 'expanded_url': 'https://vdfn.biz/mUdCr7', 'display_url': 'vdfn.biz/mUdCr7', 'indices': [141, 164]}]}",11592,False,2803,False,Vodafone Business,False,True,en,"News, views & insights on digital business & tech innovation from Vodafone Business - a global perspective on #mobility #IoT #cloud #security #5G #telecoms #SDN",True,VodafoneBiz,21610,False,False
