id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311435195120324608,2020-09-30 22:38:10,@NoahWooten76 The appropriate reaction to Brutal Legend,1311202281682096128,NoahWooten76,1311202281682096128,4866833253,4866833253,2,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NoahWooten76', 'name': 'Noah Wooten', 'id': 4866833253, 'id_str': '4866833253', 'indices': [0, 13]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
2,1311425693696307206,2020-09-30 22:00:25,@Ninsomiei Just here for this GIF,1311424961547046914,alnore_e,1311424961547046914,1248024178772643843,1248024178772643843,17,1,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
3,1311419809893154820,2020-09-30 21:37:02,"@boomtaplive If you like heavy metal and hilarious games, it's basically a must play https://t.co/fDkCoqvhdg",1311320805821870080,boomtaplive,1311320805821870080,817799632814149632,817799632814149632,14,1,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'boomtaplive', 'name': 'Boomtap', 'id': 817799632814149632, 'id_str': '817799632814149632', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1311419785989828608, 'id_str': '1311419785989828608', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMZWN9XsAA7Jgt.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMZWN9XsAA7Jgt.jpg', 'url': 'https://t.co/fDkCoqvhdg', 'display_url': 'pic.twitter.com/fDkCoqvhdg', 'expanded_url': 'https://twitter.com/XboxGamePass/status/1311419809893154820/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 280, 'resize': 'fit'}, 'small': {'w': 500, 'h': 280, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 280, 'resize': 'fit'}}}]}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
4,1311381395688902659,2020-09-30 19:04:23,"@xThatOneGuy82x Straight from the game, we barely had to make any edits",1311379708697817088,xThatOneGuy82x,1311379708697817088,1246304097621417990,1246304097621417990,27,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xThatOneGuy82x', 'name': 'ThatOneGuy??', 'id': 1246304097621417990, 'id_str': '1246304097621417990', 'indices': [0, 15]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
5,1311377608152621057,2020-09-30 18:49:20,@GaelunafnGaming https://t.co/xVErpk8AnP,1311373063850799104,GaelunafnGaming,1311373063850799104,1275150305001439234,1275150305001439234,30,1,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GaelunafnGaming', 'name': 'Alex', 'id': 1275150305001439234, 'id_str': '1275150305001439234', 'indices': [0, 16]}], 'urls': [], 'media': [{'id': 1311377584131911683, 'id_str': '1311377584131911683', 'indices': [17, 40], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjLy9vyXsAMOFy6.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjLy9vyXsAMOFy6.jpg', 'url': 'https://t.co/xVErpk8AnP', 'display_url': 'pic.twitter.com/xVErpk8AnP', 'expanded_url': 'https://twitter.com/XboxGamePass/status/1311377608152621057/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 350, 'h': 244, 'resize': 'fit'}, 'large': {'w': 350, 'h': 244, 'resize': 'fit'}, 'medium': {'w': 350, 'h': 244, 'resize': 'fit'}}}]}",472129,False,29,False,Xbox Game Pass,False,True,und,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
6,1311377076872794114,2020-09-30 18:47:13,"@connorj97 Put that on your to-do list tomorrow. Here's mine:

-install Doom Eternal
-raise hell
-rip and tear",1311373433725480960,connorj97,1311373433725480960,3329160887,3329160887,76,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'connorj97', 'name': 'connor', 'id': 3329160887, 'id_str': '3329160887', 'indices': [0, 10]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
7,1311372867313991687,2020-09-30 18:30:30,@gustavitoo_97 Umm lemme think about it for a min... YES,1311365520915075073,gustavitoo_97,1311365520915075073,1161792145243693056,1161792145243693056,55,1,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gustavitoo_97', 'name': 'its tavito98', 'id': 1161792145243693056, 'id_str': '1161792145243693056', 'indices': [0, 14]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
8,1311372287917031426,2020-09-30 18:28:12,@xMechanizex BIG MOOD,1311363660615503874,xMechanizex,1311363660615503874,781878960,781878960,11,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xMechanizex', 'name': 'Mechanize', 'id': 781878960, 'id_str': '781878960', 'indices': [0, 12]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
9,1311372160771010566,2020-09-30 18:27:41,@kayPOWXD This is EXACTLY what it feels like when playing Doom Eternal,1311363706526236673,kayPOWXD,1311363706526236673,21424494,21424494,5,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kayPOWXD', 'name': 'kayBOOXD ??\U0001fad6', 'id': 21424494, 'id_str': '21424494', 'indices': [0, 9]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
10,1311372160771010566,2020-09-30 18:27:41,@kayPOWXD This is EXACTLY what it feels like when playing Doom Eternal,1311363706526236673,kayPOWXD,1311363706526236673,21424494,21424494,5,0,Sprinklr Publishing,"Your Xbox, PC or the cloud","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kayPOWXD', 'name': 'kayBOOXD ??\U0001fad6', 'id': 21424494, 'id_str': '21424494', 'indices': [0, 9]}], 'urls': []}",472129,False,29,False,Xbox Game Pass,False,True,en,The mitochondria of the download queue,True,XboxGamePass,13943,False,False
