id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311037552082784256,2020-09-29 20:18:04,"@BlondieDionna We agree. Your welcome sign is so cool! ??? ??? We'd love to pass on your appreciation to the driver. If you're interested, please send us the order details here: https://t.co/ODkvCIbvW6. We hope you enjoy the rest of the day.",1309514709696237569,BlondieDionna,1309514709696237569,31676824,31676824,2,2,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BlondieDionna', 'name': 'Dionna Dugan?????', 'id': 31676824, 'id_str': '31676824', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/ODkvCIbvW6', 'expanded_url': 'https://amzn.to/30gM22A', 'display_url': 'amzn.to/30gM22A', 'indices': [176, 199]}]}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
2,1310980884645007360,2020-09-29 16:32:54,@casscoss ?? We hope you're ready for a famous St. Olaf Story! ??,1308758871830388744,casscoss,1308758871830388744,24944762,24944762,4,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'casscoss', 'name': 'cass', 'id': 24944762, 'id_str': '24944762', 'indices': [0, 9]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
3,1310686088357445632,2020-09-28 21:01:29,@MetcalfeDavid What a purr-fectly spook-tacular delivery! ?? ?? ?? That sure is one pretty kitty!,1308406408350756865,MetcalfeDavid,1308406408350756865,1148013282109865985,1148013282109865985,5,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MetcalfeDavid', 'name': 'Arlington Road and Bluebell', 'id': 1148013282109865985, 'id_str': '1148013282109865985', 'indices': [0, 14]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
4,1310202431578550272,2020-09-27 12:59:36,"Alexa, when is Prime Day? ?? ?? https://t.co/AvRqPQPtru",None,None,None,None,None,976,159,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310202394307964929, 'id_str': '1310202394307964929', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310202394307964929/img/ooslMcxtC5EyRL8q.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310202394307964929/img/ooslMcxtC5EyRL8q.jpg', 'url': 'https://t.co/AvRqPQPtru', 'display_url': 'pic.twitter.com/AvRqPQPtru', 'expanded_url': 'https://twitter.com/amazon/status/1310202431578550272/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
5,1310202431578550272,2020-09-27 12:59:36,"Alexa, when is Prime Day? ?? ?? https://t.co/AvRqPQPtru",None,None,None,None,None,976,159,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310202394307964929, 'id_str': '1310202394307964929', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1310202394307964929/img/ooslMcxtC5EyRL8q.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1310202394307964929/img/ooslMcxtC5EyRL8q.jpg', 'url': 'https://t.co/AvRqPQPtru', 'display_url': 'pic.twitter.com/AvRqPQPtru', 'expanded_url': 'https://twitter.com/amazon/status/1310202431578550272/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
6,1309913782760681472,2020-09-26 17:52:37,@ayycourtneygee That's a sweet order! ?? ??,1308199179521536001,ayycourtneygee,1308199179521536001,1363259082,1363259082,5,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ayycourtneygee', 'name': 'c?urtn??', 'id': 1363259082, 'id_str': '1363259082', 'indices': [0, 15]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
7,1309899557904449538,2020-09-26 16:56:06,"@TheSmolWriter Your new cat keyboard cover is so cute! And, just in time for Caturday! ?? ?? ??",1309863973492338693,TheSmolWriter,1309863973492338693,1282370976219639808,1282370976219639808,4,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheSmolWriter', 'name': '?????????? ??', 'id': 1282370976219639808, 'id_str': '1282370976219639808', 'indices': [0, 14]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
8,1309899479039049729,2020-09-26 16:55:47,@_JNH__ Thank you for sharing the ??! We hope you enjoy the rest of the weekend! ??,1309883194288861186,_JNH__,1309883194288861186,1881080761,1881080761,1,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_JNH__', 'name': '?', 'id': 1881080761, 'id_str': '1881080761', 'indices': [0, 7]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
9,1309877659338502146,2020-09-26 15:29:04,"@JenniferHoane Your scarecrow is awesome! We'd love to pass on your appreciation to the driver. If you're interested, please send us the order details here: https://t.co/VmitfVuCCZ. We hope you enjoy the rest of the day! ?? ??",1309829899503403009,JenniferHoane,1309829899503403009,542100303,542100303,3,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JenniferHoane', 'name': 'Jennifer Hoane', 'id': 542100303, 'id_str': '542100303', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/VmitfVuCCZ', 'expanded_url': 'https://amzn.to/3jinu0A', 'display_url': 'amzn.to/3jinu0A', 'indices': [157, 180]}]}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
10,1309618400105299968,2020-09-25 22:18:52,@MrLosaguado We're thrilled we could help clear some items from your list! ?? ??,1309586170599411713,MrLosaguado,1309586170599411713,981529683505434629,981529683505434629,2,1,Sprinklr,"Seattle, Washington","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrLosaguado', 'name': 'Con S de Losa', 'id': 981529683505434629, 'id_str': '981529683505434629', 'indices': [0, 12]}], 'urls': []}",3550926,False,51,False,Amazon,False,True,en,"Official Twitter account of Amazon. 
Contact @AmazonHelp for customer support.
Follow @AmazonNews for the latest news from Amazon.",True,amazon,35252,False,False
