id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311442621726953476,2020-09-30 23:07:41,"@MummyBarrow Yikes! That's not cool. ?? I'm also sorry it's taken a while for us to see your tweet. I hadn't heard of others experiencing a lack of access today. ?? Are things looking better now, by chance? -Darcy",1311235809983565830,MummyBarrow,1311235809983565830,18685377,18685377,0,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MummyBarrow', 'name': 'T at Mummy Barrow', 'id': 18685377, 'id_str': '18685377', 'indices': [0, 12]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
2,1311421674974257152,2020-09-30 21:44:27,"@hellobeverley ?? Sorry Beverley, I wish we had more flexibility for what you need! -Julia",1311057569071263744,hellobeverley,1311057569071263744,15940877,15940877,1,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hellobeverley', 'name': 'Beverley Theresa ??', 'id': 15940877, 'id_str': '15940877', 'indices': [0, 14]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
3,1311413918288490496,2020-09-30 21:13:37,"@benjaminwthomas Heya! I'm Julia, joining in on Daniel's behalf. Good question. We do not support x-callback right now. We did have it but removed due to low usage. We're working on improving what is possible there but don't have a specific timeline right now -Julia",1310718518996938760,benjaminwthomas,1310718518996938760,805447353683574784,805447353683574784,0,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'benjaminwthomas', 'name': 'Benjamin W Thomas', 'id': 805447353683574784, 'id_str': '805447353683574784', 'indices': [0, 16]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
4,1311399148554514432,2020-09-30 20:14:56,@thibaultmol I appreciate your heads up on this! I'll let the team know. :) -Nate,1311214458459631622,thibaultmol,1311214458459631622,201788049,201788049,1,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thibaultmol', 'name': 'Thibault Molleman', 'id': 201788049, 'id_str': '201788049', 'indices': [0, 12]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
5,1311352797158408193,2020-09-30 17:10:45,@benjaminwthomas Hey Benjamin! Would you be willing to hang in there with me while I loop in my team? I definitely want to make sure we square this away for you. - Daniel,1310718518996938760,benjaminwthomas,1310718518996938760,805447353683574784,805447353683574784,0,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'benjaminwthomas', 'name': 'Benjamin W Thomas', 'id': 805447353683574784, 'id_str': '805447353683574784', 'indices': [0, 16]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
6,1311349188849012738,2020-09-30 16:56:24,"@iludido67179060  Hello?? Is there anything we can lend a hand with? If so, could you share the email address you use to sign into Buffer and a bit more information about the issue you're seeing or the question you have so we can dig in? - Essence",1311166450359570432,iludido67179060,1311166450359570432,1305942281736933382,1305942281736933382,0,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iludido67179060', 'name': 'iludido', 'id': 1305942281736933382, 'id_str': '1305942281736933382', 'indices': [0, 16]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
7,1311349188849012738,2020-09-30 16:56:24,"@iludido67179060  Hello?? Is there anything we can lend a hand with? If so, could you share the email address you use to sign into Buffer and a bit more information about the issue you're seeing or the question you have so we can dig in? - Essence",1311166450359570432,iludido67179060,1311166450359570432,1305942281736933382,1305942281736933382,0,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iludido67179060', 'name': 'iludido', 'id': 1305942281736933382, 'id_str': '1305942281736933382', 'indices': [0, 16]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
8,1311294417840623618,2020-09-30 13:18:46,"Say ?? to Messenger: Instagram just announced 11 new messaging features, including selfie stickers, chat colors, and forwarding. Check them out below! ??https://t.co/PJGeId0LKZ https://t.co/4KRLCsUIV7",None,None,None,None,None,23,9,Buffer,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PJGeId0LKZ', 'expanded_url': 'https://about.fb.com/news/2020/09/new-messaging-features-for-instagram/', 'display_url': 'about.fb.com/news/2020/09/n…', 'indices': [152, 175]}], 'media': [{'id': 1311294415806386177, 'id_str': '1311294415806386177', 'indices': [176, 199], 'media_url': 'http://pbs.twimg.com/media/EjKnUtoX0AEEjXd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjKnUtoX0AEEjXd.jpg', 'url': 'https://t.co/4KRLCsUIV7', 'display_url': 'pic.twitter.com/4KRLCsUIV7', 'expanded_url': 'https://twitter.com/buffer/status/1311294417840623618/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1025, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 581, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1150, 'h': 1346, 'resize': 'fit'}}}]}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
9,1311292218112606209,2020-09-30 13:10:02,"RT @messenger: There’s a new Messenger experience coming to @instagram. Check it all out here, https://t.co/GrkyCVkUDk. https://t.co/kixHge…",None,None,None,None,None,0,77,Twitter Web App,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'messenger', 'name': 'Messenger', 'id': 2885229365, 'id_str': '2885229365', 'indices': [3, 13]}, {'screen_name': 'instagram', 'name': 'Instagram', 'id': 180505807, 'id_str': '180505807', 'indices': [60, 70]}], 'urls': [{'url': 'https://t.co/GrkyCVkUDk', 'expanded_url': 'http://bit.ly/Msgr-IG', 'display_url': 'bit.ly/Msgr-IG', 'indices': [95, 118]}]}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
10,1311282822146072576,2020-09-30 12:32:41,"@erukidesu Hi there, Elki, thank you so much for holding us accountable on this, and I do apologise that we haven't been able to move as quickly on this specific feature. I'll make sure your voice is heard. Please let me know if I could help in any other way in the meantime. -...",1310991112241393665,erukidesu,1310991112241393665,173475523,173475523,2,0,Zendesk,Worldwide,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'erukidesu', 'name': 'Elki', 'id': 173475523, 'id_str': '173475523', 'indices': [0, 10]}], 'urls': []}",1005907,False,60985,False,Buffer,False,True,en,"We have 7M+ users and 75K businesses who trust us to help with social media management, visual marketing, and audience growth. Remarkable brands built here.",True,buffer,430419,False,False
