id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311293280047439872,2020-09-30 13:14:15,@DJKeiranJay Cheers mate happy to connect,1311292552864301057,DJKeiranJay,1311292552864301057,621678578,621678578,0,0,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DJKeiranJay', 'name': 'Keiran Jay', 'id': 621678578, 'id_str': '621678578', 'indices': [0, 12]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
2,1310893622976417792,2020-09-29 10:46:09,@MrDtAFC This is exactly you btw https://t.co/iX88vXQoto,1310511193870696449,MrDtAFC,1310511193870696449,20093413,20093413,0,0,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrDtAFC', 'name': 'MR DT', 'id': 20093413, 'id_str': '20093413', 'indices': [0, 8]}], 'urls': [], 'media': [{'id': 1310893616831709184, 'id_str': '1310893616831709184', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/EjE6zJGUwAAfSwy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjE6zJGUwAAfSwy.jpg', 'url': 'https://t.co/iX88vXQoto', 'display_url': 'pic.twitter.com/iX88vXQoto', 'expanded_url': 'https://twitter.com/Ashwin_kop/status/1310893622976417792/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1334, 'resize': 'fit'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}}}]}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
3,1310858634486640642,2020-09-29 08:27:07,RT @DisGameIHateit: Liverpool respected us https://t.co/gvv8NuSvhf,None,None,None,None,None,0,186,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DisGameIHateit', 'name': '?.', 'id': 1154484847559217153, 'id_str': '1154484847559217153', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1310724016794107905, 'id_str': '1310724016794107905', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjCgjHuWAAEG0Ty.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjCgjHuWAAEG0Ty.jpg', 'url': 'https://t.co/gvv8NuSvhf', 'display_url': 'pic.twitter.com/gvv8NuSvhf', 'expanded_url': 'https://twitter.com/DisGameIHateit/status/1310724029456748544/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1310724029456748544, 'source_status_id_str': '1310724029456748544', 'source_user_id': 1154484847559217153, 'source_user_id_str': '1154484847559217153'}]}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
4,1310858634486640642,2020-09-29 08:27:07,RT @DisGameIHateit: Liverpool respected us https://t.co/gvv8NuSvhf,None,None,None,None,None,0,186,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DisGameIHateit', 'name': '?.', 'id': 1154484847559217153, 'id_str': '1154484847559217153', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1310724016794107905, 'id_str': '1310724016794107905', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjCgjHuWAAEG0Ty.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjCgjHuWAAEG0Ty.jpg', 'url': 'https://t.co/gvv8NuSvhf', 'display_url': 'pic.twitter.com/gvv8NuSvhf', 'expanded_url': 'https://twitter.com/DisGameIHateit/status/1310724029456748544/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'source_status_id': 1310724029456748544, 'source_status_id_str': '1310724029456748544', 'source_user_id': 1154484847559217153, 'source_user_id_str': '1154484847559217153'}]}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
5,1310848353622581248,2020-09-29 07:46:16,RT @BabyKeith8i: ???????? https://t.co/lWjS9S4P6z,None,None,None,None,None,0,514,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BabyKeith8i', 'name': '?', 'id': 1273343267493593089, 'id_str': '1273343267493593089', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1310698516931661824, 'id_str': '1310698516931661824', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/media/EjCJW1VX0AAlEO1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjCJW1VX0AAlEO1.jpg', 'url': 'https://t.co/lWjS9S4P6z', 'display_url': 'pic.twitter.com/lWjS9S4P6z', 'expanded_url': 'https://twitter.com/BabyKeith8i/status/1310698582840877058/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1310698582840877058, 'source_status_id_str': '1310698582840877058', 'source_user_id': 1273343267493593089, 'source_user_id_str': '1273343267493593089'}]}",1241,False,2379,False,ashwin jaysimha,False,False,und,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
6,1310840860678918144,2020-09-29 07:16:30,@Maxi_1892 Summing them up would be -  bitter deluded hateful,1310726254635692033,Maxi_1892,1310726254635692033,871863187976671232,871863187976671232,0,0,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Maxi_1892', 'name': 'Maxi', 'id': 871863187976671232, 'id_str': '871863187976671232', 'indices': [0, 10]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
7,1310699894915563527,2020-09-28 21:56:21,@GraemeKelly1 He said before the game that he thinks Leno is as good as alisson ... Luiz is better than Matip Gomez ..and apparently there is not a lot in it between the teams in many areas in terms of quality,1310688529270419456,GraemeKelly1,1310688529270419456,335841301,335841301,1,0,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GraemeKelly1', 'name': 'Graeme Kelly', 'id': 335841301, 'id_str': '335841301', 'indices': [0, 13]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
8,1310698046611578880,2020-09-28 21:49:00,@MrDtAFC Sadly no exception there ... you were outplayed for 90 mins ... u sat deep and prayed for a mistake... great tactics by arteta ...aubameyang contributed as much to this game as my nan here and she’s on a wheelchair,1310511193870696449,MrDtAFC,1310511193870696449,20093413,20093413,0,1,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrDtAFC', 'name': 'MR DT', 'id': 20093413, 'id_str': '20093413', 'indices': [0, 8]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
9,1310697227665383425,2020-09-28 21:45:45,"RT @Mobyhaque1: Aubameyang in 90 mins vs LFC
0 goals 
0 shots attempts 
0 shots on goal 
0 shots off target 
0 key passes 
24 touches 
8 ac…",None,None,None,None,None,0,586,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mobyhaque1', 'name': 'LFC Views - Champions', 'id': 975161753897140224, 'id_str': '975161753897140224', 'indices': [3, 14]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
10,1310697084518125568,2020-09-28 21:45:11,@piersmorgan How is the feeling now you mug ?,1310624043561897989,piersmorgan,1310624043561897989,216299334,216299334,0,0,Twitter for iPhone,"Bengaluru, India","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'piersmorgan', 'name': 'Piers Morgan', 'id': 216299334, 'id_str': '216299334', 'indices': [0, 12]}], 'urls': []}",1241,False,2379,False,ashwin jaysimha,False,False,en,Die hard LFC fan from India/Co-Founder of the Big 4 league podcast @thebig4leaguep1/Don’t but the S*n,False,Ashwin_kop,3042,False,False
