id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311403611591766018,2020-09-30 20:32:40,"RT @melissamcpheete: https://t.co/yjgBsjbEke

It can happen to anyone. Let's do what we need to do as a community to stop this virus from s…",None,None,None,None,None,0,2,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'melissamcpheete', 'name': 'Dr. Melissa McPheeters', 'id': 2282926626, 'id_str': '2282926626', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/yjgBsjbEke', 'expanded_url': 'https://www.nytimes.com/2020/09/29/us/college-student-dies-covid.html?smid=tw-share', 'display_url': 'nytimes.com/2020/09/29/us/…', 'indices': [21, 44]}]}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
2,1311367360574619648,2020-09-30 18:08:37,"RT @JStein_WaPo: Staggering chart --&gt;

https://t.co/nwnL5bLzYg https://t.co/XEHKW3UX0N",None,None,None,None,None,0,1710,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JStein_WaPo', 'name': 'Jeff Stein', 'id': 334385278, 'id_str': '334385278', 'indices': [3, 15]}], 'urls': [{'url': 'https://t.co/nwnL5bLzYg', 'expanded_url': 'https://www.washingtonpost.com/graphics/2020/business/coronavirus-recession-equality/', 'display_url': 'washingtonpost.com/graphics/2020/…', 'indices': [42, 65]}], 'media': [{'id': 1311365083285647361, 'id_str': '1311365083285647361', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/EjLnmGgXcAEyEfW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjLnmGgXcAEyEfW.jpg', 'url': 'https://t.co/XEHKW3UX0N', 'display_url': 'pic.twitter.com/XEHKW3UX0N', 'expanded_url': 'https://twitter.com/JStein_WaPo/status/1311365165875691520/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1106, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1953, 'resize': 'fit'}, 'small': {'w': 627, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1311365165875691520, 'source_status_id_str': '1311365165875691520', 'source_user_id': 334385278, 'source_user_id_str': '334385278'}]}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
3,1311174114472853504,2020-09-30 05:20:43,RT @ewarren: Joe Biden spent the final moments of the debate urging Americans to vote. Donald Trump spent the final moments of the debate t…,None,None,None,None,None,0,46975,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ewarren', 'name': 'Elizabeth Warren', 'id': 357606935, 'id_str': '357606935', 'indices': [3, 11]}], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
4,1311173812743016448,2020-09-30 05:19:32,"RT @RWJF: U.S. households are struggling to stay afloat during #COVID19, a crisis that's widening inequalities that already existed in Amer…",None,None,None,None,None,0,66,Twitter for iPhone,Vanderbilt University,"{'hashtags': [{'text': 'COVID19', 'indices': [63, 71]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RWJF', 'name': 'Robert Wood Johnson Foundation', 'id': 17837184, 'id_str': '17837184', 'indices': [3, 8]}], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
5,1311135057147461634,2020-09-30 02:45:31,"Tonight’s winner: nobody
Tonight’s loser: democracy",None,None,None,None,None,25,2,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
6,1311122820114657281,2020-09-30 01:56:54,RT @AdamSilvera: CUT OFF HIS MIC,None,None,None,None,None,0,50,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AdamSilvera', 'name': 'ADAM', 'id': 329495717, 'id_str': '329495717', 'indices': [3, 15]}], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
7,1311111825832976386,2020-09-30 01:13:13,https://t.co/NSrwehCCLL,None,None,None,None,None,2,0,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311111820279721984, 'id_str': '1311111820279721984', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjIBQQSWsAAsV2j.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjIBQQSWsAAsV2j.jpg', 'url': 'https://t.co/NSrwehCCLL', 'display_url': 'pic.twitter.com/NSrwehCCLL', 'expanded_url': 'https://twitter.com/GilbGonzales/status/1311111825832976386/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 280, 'resize': 'fit'}, 'small': {'w': 498, 'h': 280, 'resize': 'fit'}, 'large': {'w': 498, 'h': 280, 'resize': 'fit'}}}]}",1806,False,2013,False,Gilbert Gonzales,False,False,und,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
8,1311050681969717252,2020-09-29 21:10:15,RT @JHSPH_HPM: HPM is hiring for 2 open faculty positions in healthcare policy research. Do you have a background in health economics or he…,None,None,None,None,None,0,34,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JHSPH_HPM', 'name': 'JHSPH / HPM', 'id': 890943547138093057, 'id_str': '890943547138093057', 'indices': [3, 13]}], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
9,1310984307608088580,2020-09-29 16:46:30,RT @RachelLGarfield: Spread the word: KFF is hiring a policy analyst to work on issues related to Medicaid and access to care for low-incom…,None,None,None,None,None,0,45,Twitter for iPhone,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RachelLGarfield', 'name': 'Rachel Garfield', 'id': 1124310540602478593, 'id_str': '1124310540602478593', 'indices': [3, 19]}], 'urls': []}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
10,1310966311720288258,2020-09-29 15:34:59,"It's thursday, right? https://t.co/M86U78hpYp",None,None,None,None,None,3,0,Twitter Web App,Vanderbilt University,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1310966305810513920, 'id_str': '1310966305810513920', 'indices': [22, 45], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjF86MpXgAA56m3.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjF86MpXgAA56m3.jpg', 'url': 'https://t.co/M86U78hpYp', 'display_url': 'pic.twitter.com/M86U78hpYp', 'expanded_url': 'https://twitter.com/GilbGonzales/status/1310966311720288258/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 400, 'h': 362, 'resize': 'fit'}, 'large': {'w': 400, 'h': 362, 'resize': 'fit'}, 'small': {'w': 400, 'h': 362, 'resize': 'fit'}}}]}",1806,False,2013,False,Gilbert Gonzales,False,False,en,"Assistant Professor of Medicine, Health & Society. Vanderbilt University @MHSVanderbilt @VUHealthPol! LGBTQ health, health policy, and health services research!",True,GilbGonzales,9127,False,False
