id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311444024130183168,2020-09-30 23:13:15,@rachel_joyy grey !!! ??,1311442271200567296,rachel_joyy,1311442271200567296,838496054,838496054,1,0,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rachel_joyy', 'name': 'rachel', 'id': 838496054, 'id_str': '838496054', 'indices': [0, 12]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
2,1311443576077930497,2020-09-30 23:11:28,@a_gaffud07 i got one of these and it really helps!! bc the Struggle is Real https://t.co/HEnlAsrIBX,1311426344413278209,a_gaffud07,1311426344413278209,612202483,612202483,0,0,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'a_gaffud07', 'name': 'al-drin ??', 'id': 612202483, 'id_str': '612202483', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/HEnlAsrIBX', 'expanded_url': 'https://www.amazon.com/dp/B07RL5L8ZL/ref=cm_sw_r_cp_api_i_UbrDFb1VTAWHX', 'display_url': 'amazon.com/dp/B07RL5L8ZL/…', 'indices': [77, 100]}]}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
3,1311408217700945922,2020-09-30 20:50:58,RT @statueofGIBerty: how are you gonna be a leader of a country by making fun of your opponent’s sons for having a drug problem in a countr…,None,None,None,None,None,0,68877,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'statueofGIBerty', 'name': 'squilliam fancyson', 'id': 324537659, 'id_str': '324537659', 'indices': [3, 19]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
4,1311381210300665858,2020-09-30 19:03:39,@DanDaley @JoeBiden @KamalaHarris we appreciate you so much Rep Daley!!??,1311357871150583811,DanDaley,1311357871150583811,21816402,21816402,1,0,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DanDaley', 'name': 'Dan Daley', 'id': 21816402, 'id_str': '21816402', 'indices': [0, 9]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [10, 19]}, {'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [20, 33]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
5,1311327645360156673,2020-09-30 15:30:48,RT @KateAronoff: My debate take is that living in a declining empire is weird as hell,None,None,None,None,None,0,3001,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KateAronoff', 'name': 'Kate Aronoff', 'id': 637196658, 'id_str': '637196658', 'indices': [3, 15]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
6,1311307442341507072,2020-09-30 14:10:31,"RT @Rob_Flaherty: Imagine being a position where you have to make this video

https://t.co/GHLulkZIA1",None,None,None,None,None,0,140,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rob_Flaherty', 'name': 'Rob Flaherty', 'id': 24613245, 'id_str': '24613245', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/GHLulkZIA1', 'expanded_url': 'https://twitter.com/TrumpWarRoom/status/1311150978264170497', 'display_url': 'twitter.com/TrumpWarRoom/s…', 'indices': [78, 101]}]}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,True
7,1311306700952145924,2020-09-30 14:07:35,RT @amandalitman: Biden looking directly into the camera to say how proud he is of his son in recovery is the kind of clip that might seem…,None,None,None,None,None,0,21590,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amandalitman', 'name': 'Amanda Litman', 'id': 3488471, 'id_str': '3488471', 'indices': [3, 16]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
8,1311133448715857921,2020-09-30 02:39:08,"RT @AOC: This isn’t news, Kellyanne.

Our differences are exactly why I joined Biden’s Climate Unity Task Force - so we could set aside our…",None,None,None,None,None,0,55186,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,True
9,1311133350585872385,2020-09-30 02:38:45,"RT @rachel_joyy: chris wallace: do you promise to step down if you lose and not declare an authoritarian dictatorship

trump: no??",None,None,None,None,None,0,9,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rachel_joyy', 'name': 'rachel', 'id': 838496054, 'id_str': '838496054', 'indices': [3, 15]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
10,1311132014570020866,2020-09-30 02:33:26,RT @upstatevid: What is the opposite of ASMR because this is it,None,None,None,None,None,0,271,Twitter for iPhone,she/her,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'upstatevid', 'name': 'Vid', 'id': 928888038, 'id_str': '928888038', 'indices': [3, 14]}], 'urls': []}",483,False,744,False,Molly Rose,False,False,en,"now: @prolegis, alum: @bidenforfl @fladems @orgcorps2020 @UF?? | ??? | views are my own",True,Its_MollyRose,5984,False,False
