id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311136026757402629,2020-09-30 02:49:23,RT @JoeBiden: Beau Biden was not a loser. https://t.co/hwzlZrjh75,None,None,None,None,None,0,105223,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1311128769831350272, 'id_str': '1311128769831350272', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/EjIQq2SXsAAg0_9.png', 'media_url_https': 'https://pbs.twimg.com/media/EjIQq2SXsAAg0_9.png', 'url': 'https://t.co/hwzlZrjh75', 'display_url': 'pic.twitter.com/hwzlZrjh75', 'expanded_url': 'https://twitter.com/JoeBiden/status/1311128884121755648/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 798, 'h': 514, 'resize': 'fit'}, 'medium': {'w': 798, 'h': 514, 'resize': 'fit'}, 'small': {'w': 680, 'h': 438, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1311128884121755648, 'source_status_id_str': '1311128884121755648', 'source_user_id': 939091, 'source_user_id_str': '939091'}]}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
2,1311122888607633410,2020-09-30 01:57:10,RT @ODell_Nathaniel: A brief history of the 45 presidents of the United States: ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????…,None,None,None,None,None,0,460,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
3,1311119744473468928,2020-09-30 01:44:41,Show us your tax returns! @realDonaldTrump,None,None,None,None,None,7,3,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [26, 42]}], 'urls': []}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
4,1309888778652315650,2020-09-26 16:13:16,"RT @NyarKanyasoro: ""Tumia pesa ikuzoee""
""Raha usijinyime""",None,None,None,None,None,0,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NyarKanyasoro', 'name': 'Akinyi', 'id': 1398189133, 'id_str': '1398189133', 'indices': [3, 17]}], 'urls': []}",337,False,557,False,Justin S. O,False,False,fi,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,True
5,1309238006646272000,2020-09-24 21:07:19,@AnnaForFlorida @realDonaldTrump This is just frustrating in so many ways! Shame on you @DHSgov @realDonaldTrump! Can’t wait to get you out of office this Nov!,1309222175044493315,AnnaForFlorida,1309222175044493315,881974187589603328,881974187589603328,3,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnnaForFlorida', 'name': 'Rep. Anna V. Eskamani ??', 'id': 881974187589603328, 'id_str': '881974187589603328', 'indices': [0, 15]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [16, 32]}, {'screen_name': 'DHSgov', 'name': 'Homeland Security', 'id': 15647676, 'id_str': '15647676', 'indices': [88, 95]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [96, 112]}], 'urls': []}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
6,1309161430550220800,2020-09-24 16:03:02,SMFH ?? https://t.co/9aC7SpQBiB,None,None,None,None,None,4,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9aC7SpQBiB', 'expanded_url': 'https://twitter.com/ReichlinMelnick/status/1309144126793940995', 'display_url': 'twitter.com/ReichlinMelnic…', 'indices': [7, 30]}]}",337,False,557,False,Justin S. O,False,False,ht,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,True
7,1308059731915870209,2020-09-21 15:05:17,RT @BrandonT87: Good morning and happy Monday to all of the Floridians who start voting this week!!! https://t.co/UxhTKmD5Uj,None,None,None,None,None,0,4,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrandonT87', 'name': 'Brandon Thompson', 'id': 17167296, 'id_str': '17167296', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1308033324385001473, 'id_str': '1308033324385001473', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EicRYNZXYAEcN5W.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EicRYNZXYAEcN5W.jpg', 'url': 'https://t.co/UxhTKmD5Uj', 'display_url': 'pic.twitter.com/UxhTKmD5Uj', 'expanded_url': 'https://twitter.com/BrandonT87/status/1308033334728110081/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 320, 'h': 320, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 320, 'h': 320, 'resize': 'fit'}, 'large': {'w': 320, 'h': 320, 'resize': 'fit'}}, 'source_status_id': 1308033334728110081, 'source_status_id_str': '1308033334728110081', 'source_user_id': 17167296, 'source_user_id_str': '17167296'}]}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
8,1307783687237369856,2020-09-20 20:48:23,"Dropping Mail in Ballot at an Early Voting location. 

What’s your voting Plan ? https://t.co/DidENjqmmw",None,None,None,None,None,1,0,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DidENjqmmw', 'expanded_url': 'https://twitter.com/AOC/status/1307759305249226752', 'display_url': 'twitter.com/AOC/status/130…', 'indices': [81, 104]}]}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,True
9,1306214910301478912,2020-09-16 12:54:37,RT @eugenegitonga: It’s only when you move out and start doing your own shopping that you realize that Nutella is extremely unnecessary,None,None,None,None,None,0,10,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eugenegitonga', 'name': 'Eugene Gikonyo', 'id': 35765048, 'id_str': '35765048', 'indices': [3, 17]}], 'urls': []}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
10,1305899725141540865,2020-09-15 16:02:11,"RT @Arsenal: This is where you belong, Auba ??

?? @Aubameyang7 https://t.co/sgViWSBYWf",None,None,None,None,None,0,41615,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Arsenal', 'name': 'Arsenal', 'id': 34613288, 'id_str': '34613288', 'indices': [3, 11]}, {'screen_name': 'Aubameyang7', 'name': 'AUBA??', 'id': 847238528, 'id_str': '847238528', 'indices': [50, 62]}], 'urls': [], 'media': [{'id': 1305866876615090176, 'id_str': '1305866876615090176', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/Eh9jt2zWsAIK-fC.png', 'media_url_https': 'https://pbs.twimg.com/media/Eh9jt2zWsAIK-fC.png', 'url': 'https://t.co/sgViWSBYWf', 'display_url': 'pic.twitter.com/sgViWSBYWf', 'expanded_url': 'https://twitter.com/Arsenal/status/1305889349452652548/video/1', 'type': 'photo', 'sizes': {'large': {'w': 814, 'h': 814, 'resize': 'fit'}, 'medium': {'w': 814, 'h': 814, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_status_id': 1305889349452652548, 'source_status_id_str': '1305889349452652548', 'source_user_id': 34613288, 'source_user_id_str': '34613288'}]}",337,False,557,False,Justin S. O,False,False,en,Alum: @Georgiademocrat @BidenForFL @Fladems @Organize2020FL @Mike2020 @OrgCorps2020. Retweets ? Endorsements,False,JustinSibudiO,543,False,False
