id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311183215856685056,2020-09-30 05:56:53,"RT @AOC: This isn’t news, Kellyanne.

Our differences are exactly why I joined Biden’s Climate Unity Task Force - so we could set aside our…",None,None,None,None,None,0,55185,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,True
2,1311177713030434816,2020-09-30 05:35:01,"RT @missmartins_FL: Reporters: as you draft your clickbait, remember the future of this democracy is on the line and rise to the moment.",None,None,None,None,None,0,11,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'missmartins_FL', 'name': 'Daniela Martins', 'id': 839975852641230848, 'id_str': '839975852641230848', 'indices': [3, 18]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
3,1311174821653479425,2020-09-30 05:23:32,RT @maddow: Perhaps we could also debate by mail.,None,None,None,None,None,0,32954,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maddow', 'name': 'Rachel Maddow MSNBC', 'id': 16129920, 'id_str': '16129920', 'indices': [3, 10]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
4,1311173804723445765,2020-09-30 05:19:30,"RT @_lcoops: Not sure who needs to hear this, but Florida is a swing state NOT a red state. Let’s get to work. #34Days",None,None,None,None,None,0,27,Twitter for iPhone,"Houston, TX","{'hashtags': [{'text': '34Days', 'indices': [111, 118]}], 'symbols': [], 'user_mentions': [{'screen_name': '_lcoops', 'name': 'Lauren Cooper', 'id': 833869162866937856, 'id_str': '833869162866937856', 'indices': [3, 11]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
5,1311169587023618048,2020-09-30 05:02:44,"RT @JoeBiden: Folks, we don't have to put up with four more years of that. https://t.co/aIt2BNuQg3",None,None,None,None,None,0,12448,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/aIt2BNuQg3', 'expanded_url': 'https://joe.link/2HJ8ZVZ', 'display_url': 'joe.link/2HJ8ZVZ', 'indices': [75, 98]}]}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
6,1311161744828628992,2020-09-30 04:31:34,"RT @CarlosGSmith: Trump says he's ""had no problems whatsoever"" at his rallies. Herman Cain is dead.",None,None,None,None,None,0,76,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CarlosGSmith', 'name': 'Rep. Carlos G Smith', 'id': 32313637, 'id_str': '32313637', 'indices': [3, 16]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
7,1311152076085489667,2020-09-30 03:53:09,"RT @ElPerurrican: Prefieren criticar a Biden por no ponerse al nivel de idiota de Trump, que ponerse a trabajar para sacar a un presidente…",None,None,None,None,None,0,4,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ElPerurrican', 'name': 'Roberto J.', 'id': 50214556, 'id_str': '50214556', 'indices': [3, 16]}], 'urls': []}",456,False,1097,False,Keith,False,False,es,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
8,1311148460683530241,2020-09-30 03:38:47,"RT @nytimes: During Tuesday's debate, President Trump was asked whether he really paid $750 in federal taxes in 2016 and 2017.
Here's how w…",None,None,None,None,None,0,264,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [3, 11]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
9,1311146168152461312,2020-09-30 03:29:41,"RT @DebbieforFL: I'm from Ecuador. I'm the only Member of Congress from South America.

My family and I have seen how dictators act as they…",None,None,None,None,None,0,746,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DebbieforFL', 'name': 'Debbie Mucarsel-Powell', 'id': 750046943905058816, 'id_str': '750046943905058816', 'indices': [3, 15]}], 'urls': []}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
10,1311144554771484672,2020-09-30 03:23:16,"@jcoleforselma Here’s the yard sign request form!

https://t.co/ti29LUKlV5",1311144028658860032,jcoleforselma,1311144028658860032,748198919914524672,748198919914524672,0,0,Twitter for iPhone,"Houston, TX","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jcoleforselma', 'name': 'jcole', 'id': 748198919914524672, 'id_str': '748198919914524672', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/ti29LUKlV5', 'expanded_url': 'https://www.mobilize.us/fl2020victory/event/324401/', 'display_url': 'mobilize.us/fl2020victory/…', 'indices': [51, 74]}]}",456,False,1097,False,Keith,False,False,en,"Lover of nature, justice, and a good mango smoothie. Now: Hire me Before: GACC, @fladems, @hillary",False,KeithLovesMango,1502,False,False
