id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311437214161670144,2020-09-30 22:46:11,Tagging the great Dr. @jasonechung for full attribution! Star medical knowledge &amp; sense of humor!,1311369629986484224,LekshmiMD,1311369629986484224,2895218638,2895218638,10,0,Twitter for Android,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jasonechung', 'name': 'Jason Chung', 'id': 219163340, 'id_str': '219163340', 'indices': [22, 34]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
2,1311369629986484224,2020-09-30 18:17:38,"My amazing intern on ICU rounds today: ""Patient was doing well &amp; watched the debate last night. After the debate, patient had depressed mental status, like everyone else."" ?? #VoteHealth2020 #VoteBlueToSaveAmerica @DoctorsForBiden",None,None,None,None,None,766,41,Twitter Web App,"San Francisco, CA","{'hashtags': [{'text': 'VoteHealth2020', 'indices': [178, 193]}, {'text': 'VoteBlueToSaveAmerica', 'indices': [194, 216]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DoctorsForBiden', 'name': 'Doctors for Biden', 'id': 2886412360, 'id_str': '2886412360', 'indices': [217, 233]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
3,1311369153752653825,2020-09-30 18:15:44,@ericafarrandMD @gradydoctor @UCSFMedicine @TalmadgeKing @Gurpreet2015 @EmoryDeptofMed Seconded!! Dr. @TalmadgeKing is an amazing leader &amp; human being. I had the great joy of working down the hall w/ him with @Sarah_SchaeffMD for 1 awesome year &amp; the mentorship &amp; sponsorship he gives are incredible - a true role model.,1311359808172224512,ericafarrandMD,1311359808172224512,729770118331379713,729770118331379713,6,0,Twitter Web App,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ericafarrandMD', 'name': 'Erica Farrand', 'id': 729770118331379713, 'id_str': '729770118331379713', 'indices': [0, 15]}, {'screen_name': 'gradydoctor', 'name': 'Kimberly D. Manning, MD', 'id': 197470016, 'id_str': '197470016', 'indices': [16, 28]}, {'screen_name': 'UCSFMedicine', 'name': 'UCSF School of Medicine', 'id': 64862896, 'id_str': '64862896', 'indices': [29, 42]}, {'screen_name': 'TalmadgeKing', 'name': 'TalmadgeKing', 'id': 528893064, 'id_str': '528893064', 'indices': [43, 56]}, {'screen_name': 'Gurpreet2015', 'name': 'Gurpreet Dhaliwal', 'id': 2505559038, 'id_str': '2505559038', 'indices': [57, 70]}, {'screen_name': 'EmoryDeptofMed', 'name': 'Emory Dept of Med', 'id': 632324512, 'id_str': '632324512', 'indices': [71, 86]}, {'screen_name': 'TalmadgeKing', 'name': 'TalmadgeKing', 'id': 528893064, 'id_str': '528893064', 'indices': [102, 115]}, {'screen_name': 'Sarah_SchaeffMD', 'name': 'Sarah Schaeffer, MD', 'id': 800580590550405120, 'id_str': '800580590550405120', 'indices': [213, 229]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
4,1311316976522768386,2020-09-30 14:48:24,One of my most inspirational @ucsfccm attendings! Congratulations! https://t.co/XSlksLYkDu,None,None,None,None,None,14,1,Twitter Web App,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ucsfccm', 'name': 'UCSF Critical Care Medicine', 'id': 990237826288685056, 'id_str': '990237826288685056', 'indices': [29, 37]}], 'urls': [{'url': 'https://t.co/XSlksLYkDu', 'expanded_url': 'https://twitter.com/AbaPhysicians/status/1310987865367678976', 'display_url': 'twitter.com/AbaPhysicians/…', 'indices': [67, 90]}]}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,True
5,1311159488372563970,2020-09-30 04:22:36,"You think 2020 can't get any worse? It ABSOLUTELY can. But we can change this. VOTE. Donate. Call, Text &amp; Write. Yes, we can. #VoteHealth2020 #VoteEarly @DoctorsForBiden",None,None,None,None,None,38,3,Twitter Web App,"San Francisco, CA","{'hashtags': [{'text': 'VoteHealth2020', 'indices': [130, 145]}, {'text': 'VoteEarly', 'indices': [146, 156]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DoctorsForBiden', 'name': 'Doctors for Biden', 'id': 2886412360, 'id_str': '2886412360', 'indices': [157, 173]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
6,1311127031199956992,2020-09-30 02:13:38,"RT @shubhatweets: I use one surgical mask for an entire day at work. We don't have rapid on site testing for healthcare workers, schools, n…",None,None,None,None,None,0,4,Twitter for Android,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shubhatweets', 'name': 'Shubha Srinivas MD MPH \U0001fac1 ????', 'id': 48131965, 'id_str': '48131965', 'indices': [3, 16]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
7,1311115615868862464,2020-09-30 01:28:16,RT @DoctorsForBiden: We know many patients whose insulin would cost them way more than $750 if they lost their health insurance #VoteHealth…,None,None,None,None,None,0,48,Twitter for Android,"San Francisco, CA","{'hashtags': [{'text': 'VoteHealth', 'indices': [128, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DoctorsForBiden', 'name': 'Doctors for Biden', 'id': 2886412360, 'id_str': '2886412360', 'indices': [3, 19]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
8,1311024711006998528,2020-09-29 19:27:03,"I talked to @sfchronicle abt our post-COVID clinic-&amp; noted how HCWs are discouraged seeing how COVID has wrecked our pts' lives &amp; then witnessing the lack of national leadership &amp; the antimask movt. Seeing pts surviving &amp; thriving post-COVID gives us hope
https://t.co/SfGu6wGunQ",None,None,None,None,None,23,7,Twitter Web App,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sfchronicle', 'name': 'San Francisco Chronicle', 'id': 121597316, 'id_str': '121597316', 'indices': [12, 24]}], 'urls': [{'url': 'https://t.co/SfGu6wGunQ', 'expanded_url': 'https://www.sfchronicle.com/health/article/Another-scary-thing-about-COVID-Survivors-15601758.php', 'display_url': 'sfchronicle.com/health/article…', 'indices': [272, 295]}]}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
9,1310794719891349504,2020-09-29 04:13:09,"@brianlblock Thank YOU for your valuable input throughout, seeing a ton of our patients, and being a sounding board every step of the way! #futureofficemates",1310781003611254784,brianlblock,1310781003611254784,36362487,36362487,1,0,Twitter Web App,"San Francisco, CA","{'hashtags': [{'text': 'futureofficemates', 'indices': [139, 157]}], 'symbols': [], 'user_mentions': [{'screen_name': 'brianlblock', 'name': 'Brian Block', 'id': 36362487, 'id_str': '36362487', 'indices': [0, 12]}], 'urls': []}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
10,1310633220916961280,2020-09-28 17:31:24,"We still have so much to learn to help patients recovering from COVID-19. Thx to our OPTIMAL clinic faculty Drs. @brianlblock @LeahJWitt @ericafarrandMD Bhakta &amp; @UCSFHospitals @LorrianaLeard @michelle_mourad @UCSFPsychiatry for supporting our clinic. 

https://t.co/NB3x3eGb4f",None,None,None,None,None,22,3,Twitter Web App,"San Francisco, CA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'brianlblock', 'name': 'Brian Block', 'id': 36362487, 'id_str': '36362487', 'indices': [113, 125]}, {'screen_name': 'LeahJWitt', 'name': 'Leah Witt, MD', 'id': 195158991, 'id_str': '195158991', 'indices': [126, 136]}, {'screen_name': 'ericafarrandMD', 'name': 'Erica Farrand', 'id': 729770118331379713, 'id_str': '729770118331379713', 'indices': [137, 152]}, {'screen_name': 'UCSFHospitals', 'name': 'UCSF Health', 'id': 115490380, 'id_str': '115490380', 'indices': [166, 180]}, {'screen_name': 'LorrianaLeard', 'name': 'Lorriana Leard', 'id': 850457809963466752, 'id_str': '850457809963466752', 'indices': [181, 195]}, {'screen_name': 'michelle_mourad', 'name': 'michelle mourad', 'id': 1554978176, 'id_str': '1554978176', 'indices': [196, 212]}, {'screen_name': 'UCSFPsychiatry', 'name': 'UCSF Psychiatry and Behavioral Sciences', 'id': 1848956155, 'id_str': '1848956155', 'indices': [213, 228]}], 'urls': [{'url': 'https://t.co/NB3x3eGb4f', 'expanded_url': 'https://edition.cnn.com/2020/09/28/health/post-covid-clinics-wellness-partner/index.html', 'display_url': 'edition.cnn.com/2020/09/28/hea…', 'indices': [258, 281]}]}",4356,False,5001,False,"Lekshmi Santhosh, MD MAEd",False,False,en,Pulm/ICU/Hospitalist MD & Fellowship Associate PD @UCSF. Interests: #MedEd #WomeninMedicine #Leadership #ClinicalReasoning #LongCOVID. Mom of 2. Tweets my own.,False,LekshmiMD,3121,False,False
