id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311417061357154304,2020-09-30 21:26:07,Not in 2016. https://t.co/y8R1lymoQf,None,None,None,None,None,12,1,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/y8R1lymoQf', 'expanded_url': 'https://twitter.com/tedcruz/status/1311407388218601480', 'display_url': 'twitter.com/tedcruz/status…', 'indices': [13, 36]}]}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,True
2,1311308309396242433,2020-09-30 14:13:58,@HPTweeter Most countries skip the insurance part all together and cut straight to the healthcare part. Medicare for all would enable you and your family to have all the care it needs without worrying about deductibles or filing claims.,1311277064520110081,HPTweeter,1311277064520110081,2407114212,2407114212,1,0,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HPTweeter', 'name': 'The New Press', 'id': 2407114212, 'id_str': '2407114212', 'indices': [0, 10]}], 'urls': []}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
3,1311167419084234753,2020-09-30 04:54:07,RT @darrylstephens: These two old men are really making it clear what a brilliant debater Hillary Clinton is.,None,None,None,None,None,0,173,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'darrylstephens', 'name': 'Darryl Stephens', 'id': 22648354, 'id_str': '22648354', 'indices': [3, 18]}], 'urls': []}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
4,1311116255613526016,2020-09-30 01:30:49,RT @ed_solomon: This is like the worst Thanksgiving ever,None,None,None,None,None,0,76,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ed_solomon', 'name': 'Ed Solomon', 'id': 609265351, 'id_str': '609265351', 'indices': [3, 14]}], 'urls': []}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
5,1311103407449468928,2020-09-30 00:39:46,I say we let the new Supreme Court strike down the ACA. Everyone will panic and we’d probably get Medicare for All done in all of 14 days.,None,None,None,None,None,9,0,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
6,1311103407449468928,2020-09-30 00:39:46,I say we let the new Supreme Court strike down the ACA. Everyone will panic and we’d probably get Medicare for All done in all of 14 days.,None,None,None,None,None,9,0,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
7,1310957543351611392,2020-09-29 15:00:09,RT @jdickerson: The Trump vs. Obama economy —  in 16 charts https://t.co/qYqtigQgd9,None,None,None,None,None,0,41,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jdickerson', 'name': 'John Dickerson', 'id': 4119741, 'id_str': '4119741', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/qYqtigQgd9', 'expanded_url': 'https://www.washingtonpost.com/business/2020/09/05/trump-obama-economy/?tid=ss_tw', 'display_url': 'washingtonpost.com/business/2020/…', 'indices': [60, 83]}]}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,False
8,1309498986710007816,2020-09-25 14:24:22,Shockingly fascinating. https://t.co/deT0n9vzRf,None,None,None,None,None,5,2,Twitter for iPhone,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/deT0n9vzRf', 'expanded_url': 'https://twitter.com/MPhillipsWSJ/status/1309162968396058624', 'display_url': 'twitter.com/MPhillipsWSJ/s…', 'indices': [24, 47]}]}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,True
9,1309187197526896641,2020-09-24 17:45:26,"About 5 yrs ago, one of these cabins went up for sale for about $50k. If I'd had the money, I would have bought it up in a heartbeat. Chantry Flats was my most favorite hike. Rivers, waterfalls, woods, and silver sage. I'd say rest in peace but feels more like requiem. So sad. https://t.co/ZaJehlWDhc",None,None,None,None,None,8,1,Twitter Web App,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZaJehlWDhc', 'expanded_url': 'https://twitter.com/la_dorkout/status/1309157830017060868', 'display_url': 'twitter.com/la_dorkout/sta…', 'indices': [278, 301]}]}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,True
10,1308885596438396928,2020-09-23 21:46:58,Burn it to the ground. https://t.co/RaAK8D0hUM,None,None,None,None,None,10,0,Twitter Web App,"Phoenix, AZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RaAK8D0hUM', 'expanded_url': 'https://twitter.com/laurenthehough/status/1308848319234539526', 'display_url': 'twitter.com/laurenthehough…', 'indices': [23, 46]}]}",5795,False,1109,False,Luke,False,False,en,Serial news junkie who loves martinis and uses this space to collect the cool things he finds on the internets.,False,LukeRenner,5436,False,True
