id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311418095940956161,2020-09-30 21:30:13,"@SenTedCruz says he would support constitutional amendment to secure nine justices on Supreme Court Good luck with that NO WAY GET 3/4ths of states to ratify
https://t.co/V44YhjcE9e",None,SenTedCruz,None,1074480192,1074480192,0,0,Twitter for Android,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenTedCruz', 'name': 'Senator Ted Cruz', 'id': 1074480192, 'id_str': '1074480192', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/V44YhjcE9e', 'expanded_url': 'https://washex.am/2Gpi8Ca', 'display_url': 'washex.am/2Gpi8Ca', 'indices': [158, 181]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
2,1311414973713719296,2020-09-30 21:17:49,Does Amy Coney Barrett Think Roe v. Wade Was Wrongly Decided An GOP senator thinks she does https://t.co/Y4e24dbGM8,None,None,None,None,None,0,0,Twitter for Android,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y4e24dbGM8', 'expanded_url': 'https://lawandcrime.com/supreme-court/gop-senator-believes-hes-seen-evidence-amy-coney-barrett-thinks-roe-v-wade-was-wrongly-decided-heres-what-that-might-be/', 'display_url': 'lawandcrime.com/supreme-court/…', 'indices': [92, 115]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
3,1311414074203238400,2020-09-30 21:14:14,Judge approves $800M payout plan for Vegas shooting victims https://t.co/lWAromyp6B #SmartNews,None,None,None,None,None,1,0,SmartNews | ????????,"Reno, NV","{'hashtags': [{'text': 'SmartNews', 'indices': [84, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lWAromyp6B', 'expanded_url': 'https://apnews.com/article/lawsuits-shootings-las-vegas-mass-shooting-nevada-las-vegas-cd07b4640a5a8e6d32ccbccd1aae2e65', 'display_url': 'apnews.com/article/lawsui…', 'indices': [60, 83]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
4,1311341971462520832,2020-09-30 16:27:44,Campaign started to help officer #MylesCosgrove retire Why #BreonnaTaylor doesn't have that luxury https://t.co/fdpHEM90bu,None,None,None,None,None,0,0,Twitter for Android,"Reno, NV","{'hashtags': [{'text': 'MylesCosgrove', 'indices': [33, 47]}, {'text': 'BreonnaTaylor', 'indices': [59, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fdpHEM90bu', 'expanded_url': 'https://www.insider.com/breonna-taylor-officer-myles-cosgrove-fundraiser-help-retire-early-safety-2020-9', 'display_url': 'insider.com/breonna-taylor…', 'indices': [99, 122]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
5,1311339291944001536,2020-09-30 16:17:05,RT @Acyn: Biden: He’s Putin’s puppy https://t.co/wjGKNvjGH7,None,None,None,None,None,0,129,Twitter Web App,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Acyn', 'name': 'Acyn Torabi', 'id': 16635277, 'id_str': '16635277', 'indices': [3, 8]}], 'urls': [], 'media': [{'id': 1311127457378910208, 'id_str': '1311127457378910208', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311127457378910208/pu/img/7yLGCb-mcLIEOhDB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311127457378910208/pu/img/7yLGCb-mcLIEOhDB.jpg', 'url': 'https://t.co/wjGKNvjGH7', 'display_url': 'pic.twitter.com/wjGKNvjGH7', 'expanded_url': 'https://twitter.com/Acyn/status/1311127487682760705/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1311127487682760705, 'source_status_id_str': '1311127487682760705', 'source_user_id': 16635277, 'source_user_id_str': '16635277'}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
6,1311339291944001536,2020-09-30 16:17:05,RT @Acyn: Biden: He’s Putin’s puppy https://t.co/wjGKNvjGH7,None,None,None,None,None,0,129,Twitter Web App,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Acyn', 'name': 'Acyn Torabi', 'id': 16635277, 'id_str': '16635277', 'indices': [3, 8]}], 'urls': [], 'media': [{'id': 1311127457378910208, 'id_str': '1311127457378910208', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311127457378910208/pu/img/7yLGCb-mcLIEOhDB.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311127457378910208/pu/img/7yLGCb-mcLIEOhDB.jpg', 'url': 'https://t.co/wjGKNvjGH7', 'display_url': 'pic.twitter.com/wjGKNvjGH7', 'expanded_url': 'https://twitter.com/Acyn/status/1311127487682760705/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1311127487682760705, 'source_status_id_str': '1311127487682760705', 'source_user_id': 16635277, 'source_user_id_str': '16635277'}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
7,1311338314503303173,2020-09-30 16:13:12,Kentucky AG says he did not recommend charges against two #BreonnaTaylor officers The Governor need to adopt a special council and independent grand jury lets pray not to late for justice #AGCameron needs to be impeached https://t.co/MFbyUNHLzd,None,None,None,None,None,1,0,Twitter for Android,"Reno, NV","{'hashtags': [{'text': 'BreonnaTaylor', 'indices': [58, 72]}, {'text': 'AGCameron', 'indices': [188, 198]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MFbyUNHLzd', 'expanded_url': 'https://www.reuters.com/article/us-global-race-usa-louisville-idUSKBN26L1TV', 'display_url': 'reuters.com/article/us-glo…', 'indices': [221, 244]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
8,1311180611902558208,2020-09-30 05:46:33,@MysterySolvent Stepford wives,1311166949313974273,MysterySolvent,1311166949313974273,1094713876132872192,1094713876132872192,0,0,Twitter for Android,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MysterySolvent', 'name': 'Mystery Solvent', 'id': 1094713876132872192, 'id_str': '1094713876132872192', 'indices': [0, 15]}], 'urls': []}",8260,False,8688,False,Dana??,False,False,de,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
9,1311161049068961792,2020-09-30 04:28:48,The Notorious B.I.G.’s Son C.J. Wallace Says His Father 'Would Be Honored to Share the 'Notorious' Title With' Ruth Bader Ginsburg https://t.co/ElM12DBvFM via blackenterprise,None,None,None,None,None,2,1,Twitter for Android,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ElM12DBvFM', 'expanded_url': 'https://www.blackenterprise.com/?p=684938', 'display_url': 'blackenterprise.com/?p=684938', 'indices': [131, 154]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
10,1311158088175464448,2020-09-30 04:17:03,"GOOD Trump needs to loose big in every state possible the bigger his loose leaves no doubt of the righteous of the vote no need to dispute vote

 'Sick of him’: Trump is bleeding desperately needed support in Republican Florida stronghold https://t.co/5d3OwCvTDP via rawstory",None,None,None,None,None,0,0,Twitter for Android,"Reno, NV","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5d3OwCvTDP', 'expanded_url': 'https://www.rawstory.com/2020/09/sick-of-him-trump-is-bleeding-desperately-needed-support-in-republican-florida-stronghold/', 'display_url': 'rawstory.com/2020/09/sick-o…', 'indices': [239, 262]}]}",8260,False,8688,False,Dana??,False,False,en,"Was time for a change of name and bio #ReleaseTheFullMuellerReport 
#EnoughIsEnough #SaveTheACA #FBR #resist #climatechange ??#ResisterSisters??",True,Mama_D62,54015,False,False
