id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311448336868671488,2020-09-30 23:30:23,RT @DBatesSafety: Great piece by @IshaniG on physician work hours and pay by gender https://t.co/sn0ClyPyoI,None,None,None,None,None,0,5,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DBatesSafety', 'name': 'David Bates', 'id': 897067621, 'id_str': '897067621', 'indices': [3, 16]}, {'screen_name': 'IshaniG', 'name': 'Ishani Ganguli MD, MPH', 'id': 18535117, 'id_str': '18535117', 'indices': [33, 41]}], 'urls': [{'url': 'https://t.co/sn0ClyPyoI', 'expanded_url': 'https://www.nejm.org/doi/full/10.1056/NEJMsa2013804#.X3UNZwv6iso.twitter', 'display_url': 'nejm.org/doi/full/10.10…', 'indices': [84, 107]}]}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
2,1311358981122617344,2020-09-30 17:35:19,"@redpenblackpen sucked down into the quicksand of ""meet and greet"" meetings with new students/ trainees over here",1310633744168960000,redpenblackpen,1310633744168960000,3300876766,3300876766,1,0,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'redpenblackpen', 'name': 'RedPen-kindasus-BlackPen', 'id': 3300876766, 'id_str': '3300876766', 'indices': [0, 15]}], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
3,1311132297240834049,2020-09-30 02:34:33,"RT @DrGarbs: ""we've got insulin everywhere, it's like water."" 

I'm a physician. It's not. Raise your hand if you've admitted a DKA patient…",None,None,None,None,None,0,2525,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrGarbs', 'name': 'Alex Garbarino', 'id': 463827780, 'id_str': '463827780', 'indices': [3, 11]}], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
4,1311059184658464768,2020-09-29 21:44:02,RT @MKushel: Great @ucsf research job opp related to homelessness @ucsfcvp faculty member is conducting a study to ??tobacco use in ppl who…,None,None,None,None,None,0,6,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MKushel', 'name': 'Margot Kushel MD', 'id': 403786250, 'id_str': '403786250', 'indices': [3, 11]}, {'screen_name': 'UCSF', 'name': 'UC San Francisco', 'id': 15458277, 'id_str': '15458277', 'indices': [19, 24]}, {'screen_name': 'ucsfcvp', 'name': 'UCSF CVP at ZSFG', 'id': 87762137, 'id_str': '87762137', 'indices': [66, 74]}], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
5,1311042197408501761,2020-09-29 20:36:32,RT @Neil_R_Powe: The Staff at ZSFG Medicine are innovative and amazing!  We celebrate their outstanding dedication and contributions with o…,None,None,None,None,None,0,2,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Neil_R_Powe', 'name': 'Neil R. Powe', 'id': 821508861299290112, 'id_str': '821508861299290112', 'indices': [3, 15]}], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
6,1311037132337684480,2020-09-29 20:16:24,Today is the day we need to re-envision how we think about #medicalerror and its effect on clinicians. It's an important contributor to the #burnout epidemic and we as a physician community MUST change the culture! 6/6,1311037131595239424,UrmimalaSarkar,1311037131595239424,57195772,57195772,4,0,Twitter Web App,San Francisco,"{'hashtags': [{'text': 'medicalerror', 'indices': [59, 72]}, {'text': 'burnout', 'indices': [140, 148]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
7,1311037131595239424,2020-09-29 20:16:24,"I encouraged (ok, pushed) her to debrief with a peer in her specialty- she did, and texted later to say it was incredibly valuable. They came up w 2 systems strategies- one relating to teams and another related to MD staffing- that could prevent such situations in future. 5/x",1311037130647371777,UrmimalaSarkar,1311037130647371777,57195772,57195772,2,0,Twitter Web App,San Francisco,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
8,1311037130647371777,2020-09-29 20:16:24,"She worried about being viewed differently by colleagues. She noted this seems like more of an issue for #WomenInMedicine. There's evidence for this too, in the form of drop in referrals for female but not male surgeons after a patient death 4/x: https://t.co/JhFwyEkNWv",1311037129728745472,UrmimalaSarkar,1311037129728745472,57195772,57195772,3,1,Twitter Web App,San Francisco,"{'hashtags': [{'text': 'WomenInMedicine', 'indices': [105, 121]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JhFwyEkNWv', 'expanded_url': 'https://scholar.harvard.edu/files/sarsons/files/sarsons_jmp.pdf', 'display_url': 'scholar.harvard.edu/files/sarsons/…', 'indices': [247, 270]}]}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
9,1311037129728745472,2020-09-29 20:16:24,"when I told her making a #medicalerror or having a patient experience an adverse outcome is associated with #burnout, she was surprised to hear she's not alone. here's our study @KiranGuptaMD @sarahlisker Natalie Rivadeneira @CMangurian @linos_eleni  https://t.co/BCH2xs7hNl 3/x",1311037128973807616,UrmimalaSarkar,1311037128973807616,57195772,57195772,14,4,Twitter Web App,San Francisco,"{'hashtags': [{'text': 'medicalerror', 'indices': [25, 38]}, {'text': 'burnout', 'indices': [108, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KiranGuptaMD', 'name': 'Kiran Gupta', 'id': 355140414, 'id_str': '355140414', 'indices': [178, 191]}, {'screen_name': 'sarahlisker', 'name': 'Sarah Lisker', 'id': 439826388, 'id_str': '439826388', 'indices': [192, 204]}, {'screen_name': 'CMangurian', 'name': 'Christina Mangurian, MD, MAS', 'id': 2513381569, 'id_str': '2513381569', 'indices': [225, 236]}, {'screen_name': 'linos_eleni', 'name': 'Eleni Linos', 'id': 808835839866212353, 'id_str': '808835839866212353', 'indices': [237, 249]}], 'urls': [{'url': 'https://t.co/BCH2xs7hNl', 'expanded_url': 'https://qualitysafety.bmj.com/content/28/7/564', 'display_url': 'qualitysafety.bmj.com/content/28/7/5…', 'indices': [251, 274]}]}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
10,1311037128973807616,2020-09-29 20:16:24,"she just made a #diagnostic error with potential for patient harm. Hadn't debriefed with anyone, was expecting her service line director to ""call and yell"" at her at minute, was worried she would be ""thrown under the bus"" 2/x",1311037128160149505,UrmimalaSarkar,1311037128160149505,57195772,57195772,2,0,Twitter Web App,San Francisco,"{'hashtags': [{'text': 'diagnostic', 'indices': [16, 27]}], 'symbols': [], 'user_mentions': [], 'urls': []}",3220,False,419,False,"Urmimala Sarkar, MD, MPH",False,False,en,"Professor of Medicine, General Internist at Zuckerberg San Francisco General Hospital. Innovating for health equity. Views are my own.",True,UrmimalaSarkar,16508,False,False
