id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1309892855842762752,2020-09-26 16:29:28,"Modiji trying to look erudite with his beard (and shit).

We see through you man. 
We see a charlatan.",None,None,None,None,None,2,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
2,1309877783259037701,2020-09-26 15:29:34,sin mérito #BHAMUN,None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [{'text': 'BHAMUN', 'indices': [11, 18]}], 'symbols': [], 'user_mentions': [], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,es,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
3,1307587927732449281,2020-09-20 07:50:30,"Ye Bruno Fernandes ko aenvei sar par chadha k rakha hai. 
Haggu saala. 
#MUNCRY",None,None,None,None,None,0,0,Twitter for Android,,"{'hashtags': [{'text': 'MUNCRY', 'indices': [72, 79]}], 'symbols': [], 'user_mentions': [], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,hi,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
4,1307587440786337799,2020-09-20 07:48:34,You are not Indian if you don't find Aamras to be the sweetest thing in the entire universe.,None,None,None,None,None,4,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
5,1307584060403916801,2020-09-20 07:35:08,RT @LiamPaulCanning: Man United's centre backs are so soft.,None,None,None,None,None,0,1051,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LiamPaulCanning', 'name': 'Liam Canning', 'id': 1433066989, 'id_str': '1433066989', 'indices': [3, 19]}], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
6,1307424226735992835,2020-09-19 21:00:01,"@NChhappan @ManUtd SAF's retirement was the first football conversation we made. 
Still vivid.",1307374419799490560,NChhappan,1307374419799490560,1234363967893434368,1234363967893434368,1,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NChhappan', 'name': 'Nirmit Chhappan', 'id': 1234363967893434368, 'id_str': '1234363967893434368', 'indices': [0, 10]}, {'screen_name': 'ManUtd', 'name': 'Manchester United', 'id': 558797310, 'id_str': '558797310', 'indices': [11, 18]}], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
7,1306949784687828996,2020-09-18 13:34:45,Is this a confession ? https://t.co/z69vwB87R2,None,None,None,None,None,2,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z69vwB87R2', 'expanded_url': 'https://twitter.com/brfootball/status/1306884922980864002', 'display_url': 'twitter.com/brfootball/sta…', 'indices': [23, 46]}]}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,True
8,1305972368322392064,2020-09-15 20:50:51,Twitter's timeline algorithm is a work of art. https://t.co/9DvfBT9Fip,None,None,None,None,None,2,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1305972364992159747, 'id_str': '1305972364992159747', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/Eh--8lXVoAMO7nx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eh--8lXVoAMO7nx.jpg', 'url': 'https://t.co/9DvfBT9Fip', 'display_url': 'pic.twitter.com/9DvfBT9Fip', 'expanded_url': 'https://twitter.com/arthgadhia/status/1305972368322392064/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 528, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 932, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1390, 'resize': 'fit'}}}]}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
9,1305582248725372929,2020-09-14 19:00:39,"@thesimransaluja Don't know about normal,
but it should be illegal.",1305571329517600768,thesimransaluja,1305571329517600768,3196597537,3196597537,0,0,Twitter for Android,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thesimransaluja', 'name': 'Simran Saluja', 'id': 3196597537, 'id_str': '3196597537', 'indices': [0, 16]}], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
10,1304627706915553280,2020-09-12 03:47:38,"In India, there is always a steady market for products that are inherently Indian.  

#MBAtrivia",None,None,None,None,None,4,0,Twitter for Android,,"{'hashtags': [{'text': 'MBAtrivia', 'indices': [86, 96]}], 'symbols': [], 'user_mentions': [], 'urls': []}",68,False,456,False,Arth Gadhia,False,False,en,Tweets are non sequiturs. Retweets are endorsements and Likes are moods.,True,arthgadhia,750,False,False
