id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311419282258042881,2020-09-30 21:34:56,"RT @EdMarkey: We are going to elect Joe Biden, flip the Senate, and pass a Green New Deal.",None,None,None,None,None,0,788,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EdMarkey', 'name': 'Ed Markey', 'id': 1129029661, 'id_str': '1129029661', 'indices': [3, 12]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
2,1311418398216253447,2020-09-30 21:31:25,@organizeemma You know I voted for alcohol emm ??,1311299534891483136,organizeemma,1311299534891483136,1303789940296351744,1303789940296351744,1,0,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'organizeemma', 'name': 'Emma S', 'id': 1303789940296351744, 'id_str': '1303789940296351744', 'indices': [0, 13]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
3,1311398704373477378,2020-09-30 20:13:10,RT @EdMarkey: Donald Trump won't condemn white supremacists because he is one.,None,None,None,None,None,0,68188,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EdMarkey', 'name': 'Ed Markey', 'id': 1129029661, 'id_str': '1129029661', 'indices': [3, 12]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
4,1311397658087567366,2020-09-30 20:09:00,@jcoleforselma Imagine if i didn’t have a white claw in hand on my last day off ??,1311396261338251265,jcoleforselma,1311396261338251265,748198919914524672,748198919914524672,0,0,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jcoleforselma', 'name': 'jcole', 'id': 748198919914524672, 'id_str': '748198919914524672', 'indices': [0, 14]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
5,1311393135558352896,2020-09-30 19:51:02,"Last day off before Election Day... don’t text, busy saving democracy ???????? *unless you want to volunteer, then by all means, please text* #Biden2020 #R6for46 #dogsforbiden https://t.co/oHw96SqCiP",None,None,None,None,None,12,0,Twitter for iPhone,"Florida, USA","{'hashtags': [{'text': 'Biden2020', 'indices': [138, 148]}, {'text': 'R6for46', 'indices': [149, 157]}, {'text': 'dogsforbiden', 'indices': [158, 171]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311393115434094593, 'id_str': '1311393115434094593', 'indices': [172, 195], 'media_url': 'http://pbs.twimg.com/media/EjMBFyZXkAE_6NA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMBFyZXkAE_6NA.jpg', 'url': 'https://t.co/oHw96SqCiP', 'display_url': 'pic.twitter.com/oHw96SqCiP', 'expanded_url': 'https://twitter.com/camcarlyle_dems/status/1311393135558352896/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
6,1311152904242376705,2020-09-30 03:56:27,RT @JoeBiden: This. This is Donald Trump's America.,None,None,None,None,None,0,64579,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [3, 12]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,True
7,1311133387403546625,2020-09-30 02:38:53,“I have serious breathing problems and our cities are underwater/on fire but THANK GOD my great grandfather was rich” ??,1311130606533840897,camcarlyle_dems,1311130606533840897,1214943784061919232,1214943784061919232,3,0,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
8,1311130606533840897,2020-09-30 02:27:50,Why do we even care about the financial impact of environmental protections.... WHO CARES!!! DO YOU WANT TO HAVE CHILDREN???? I can’t believe some people would rather be rich than give their children the opportunity to breathe clean air.,None,None,None,None,None,7,0,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
9,1311043498590732288,2020-09-29 20:41:42,@ChloePArmstrong 100%,1311042877976449025,ChloePArmstrong,1311042877976449025,1004727186765557760,1004727186765557760,1,0,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChloePArmstrong', 'name': '??chloe “val’s roommate” armstrong??', 'id': 1004727186765557760, 'id_str': '1004727186765557760', 'indices': [0, 16]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,und,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
10,1310795757453275138,2020-09-29 04:17:16,RT @organizeemma: Fun fact! Did you know that make calls can increase voter turnout by 2-3%? Did you also know that we lost Florida in 2016…,None,None,None,None,None,0,4,Twitter for iPhone,"Florida, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'organizeemma', 'name': 'Emma S', 'id': 1303789940296351744, 'id_str': '1303789940296351744', 'indices': [3, 16]}], 'urls': []}",209,False,375,False,Cameron Carlyle,False,False,en,She/hers | formerly: @BidenforFL | currently: not sure ??,False,camcarlyle_dems,159,False,False
