id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311057264632123393,2020-09-29 21:36:24,RT @freedlander: SCOOP: Biden camp denies Trump campaign request to cut him open and see if he is cake,None,None,None,None,None,0,9776,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'freedlander', 'name': 'David Freedlander', 'id': 161044052, 'id_str': '161044052', 'indices': [3, 15]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
2,1310737425317199873,2020-09-29 00:25:29,RT @raosameer97: My mom made calls today for the first time ever and told me she loved it!,None,None,None,None,None,0,1,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raosameer97', 'name': 'Sameer Rao', 'id': 1215134496757964800, 'id_str': '1215134496757964800', 'indices': [3, 15]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,True
3,1310708195866939393,2020-09-28 22:29:20,"RT @marceelias: BREAKING: Georgia court REJECTS effort to purge 14,000 voters from Fulton County rolls before election.",None,None,None,None,None,0,16388,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'marceelias', 'name': 'Marc E. Elias', 'id': 23281108, 'id_str': '23281108', 'indices': [3, 14]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
4,1310708174870249472,2020-09-28 22:29:15,Shout out to @raosameer97 for forcing his mom to come to our GOTV training and make calls https://t.co/MUuHk0DTU6,None,None,None,None,None,5,0,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raosameer97', 'name': 'Sameer Rao', 'id': 1215134496757964800, 'id_str': '1215134496757964800', 'indices': [13, 25]}], 'urls': [], 'media': [{'id': 1310708169669316620, 'id_str': '1310708169669316620', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjCSIslXkAwpJyM.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjCSIslXkAwpJyM.jpg', 'url': 'https://t.co/MUuHk0DTU6', 'display_url': 'pic.twitter.com/MUuHk0DTU6', 'expanded_url': 'https://twitter.com/ci_case/status/1310708174870249472/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 244, 'h': 200, 'resize': 'fit'}, 'large': {'w': 244, 'h': 200, 'resize': 'fit'}, 'medium': {'w': 244, 'h': 200, 'resize': 'fit'}}}]}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
5,1310704980823887877,2020-09-28 22:16:33,RT @AOC: Last year Republicans blasted a firehose of hatred + vitriol my way because I treated myself to a $250 cut &amp; lowlights on my birth…,None,None,None,None,None,0,89849,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,True
6,1310704847398764546,2020-09-28 22:16:01,RT @davidhogg111: Trump paid $750 more in taxes than Amazon.,None,None,None,None,None,0,17434,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'davidhogg111', 'name': 'David Hogg (He / Him)', 'id': 1915033663, 'id_str': '1915033663', 'indices': [3, 16]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
7,1310704743233343488,2020-09-28 22:15:37,RT @NabilahforGA07: Undocumented immigrants pay more taxes than Donald Trump.,None,None,None,None,None,0,1408,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NabilahforGA07', 'name': 'Nabilah Islam', 'id': 78396305, 'id_str': '78396305', 'indices': [3, 18]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
8,1310704701403529217,2020-09-28 22:15:27,Why is this so accurate?! https://t.co/YocJEXl3uY,None,None,None,None,None,2,1,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YocJEXl3uY', 'expanded_url': 'https://twitter.com/mjleighs/status/1310058129128927233', 'display_url': 'twitter.com/mjleighs/statu…', 'indices': [26, 49]}]}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,True
9,1310704493667942407,2020-09-28 22:14:37,RT @raosameer97: Why do I have my same mobilize link open multiple times on my laptop?,None,None,None,None,None,0,1,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'raosameer97', 'name': 'Sameer Rao', 'id': 1215134496757964800, 'id_str': '1215134496757964800', 'indices': [3, 15]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,False
10,1310032916228038656,2020-09-27 01:46:01,RT @IlhanMN: Who’s gonna tell him ??,None,None,None,None,None,0,9219,Twitter for iPhone,"Pensacola, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IlhanMN', 'name': 'Ilhan Omar', 'id': 783792992, 'id_str': '783792992', 'indices': [3, 11]}], 'urls': []}",42,False,50,False,Carl ??,False,False,en,Former @BidenforFL. @orgcorps2020 alum from the Deep South. Rihanna enthusiast. (He/him),False,ci_case,268,False,True
