id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1310353504909897729,2020-09-27 22:59:55,RT @SenSchumer: ????? if you paid more in federal income tax than President Trump.,None,None,None,None,None,0,14114,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenSchumer', 'name': 'Chuck Schumer', 'id': 17494010, 'id_str': '17494010', 'indices': [3, 14]}], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,True
2,1310353353482928128,2020-09-27 22:59:19,@NathanB_FlaDems The real secret is that the PIN verification is enabled on a committee basis ??,1310344948303245312,NathanB_ORL,1310344948303245312,1278374012524072960,1278374012524072960,1,0,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
3,1310288785335373824,2020-09-27 18:42:45,"RT @madelinezart: “Phone banking is like getting your flu shot. It’s not really about you personally, it’s about the overall effect of lots…",None,None,None,None,None,0,45,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'madelinezart', 'name': 'Maddy Art', 'id': 4839878373, 'id_str': '4839878373', 'indices': [3, 16]}], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
4,1310288615717642242,2020-09-27 18:42:04,Gotta love the toxic fragility that prevents people from allowing their spouses to speak on the phone ?? https://t.co/xVnf0FrK3L,None,None,None,None,None,0,0,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xVnf0FrK3L', 'expanded_url': 'https://twitter.com/saramikaila/status/1309937941209403393', 'display_url': 'twitter.com/saramikaila/st…', 'indices': [104, 127]}]}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,True
5,1310274243335249923,2020-09-27 17:44:57,"RT @mjleighs: my volunteer who made seven calls: ""I've made a TON of calls, so I'm done""
my volunteer who has made 1,000 calls in the last…",None,None,None,None,None,0,3,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mjleighs', 'name': 'MJ ?', 'id': 406071230, 'id_str': '406071230', 'indices': [3, 12]}], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
6,1310240759338106885,2020-09-27 15:31:54,RT @LeaKThompson: You guys are heroes!!! Thanks!! #BidenHarrisLandslide2020,None,None,None,None,None,0,6,Twitter for iPhone,"Hollywood, FL","{'hashtags': [{'text': 'BidenHarrisLandslide2020', 'indices': [50, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LeaKThompson', 'name': 'Lea Thompson', 'id': 260864109, 'id_str': '260864109', 'indices': [3, 16]}], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,True
7,1309981820776321024,2020-09-26 22:22:59,This is the most satisfying bubble I’ve ever had the pleasure of filling. @FlaDems #DefeatTrumpFL #VoteEarlyFL https://t.co/3cFcxfyl6S,None,None,None,None,None,38,3,Twitter for iPhone,"Hollywood, FL","{'hashtags': [{'text': 'DefeatTrumpFL', 'indices': [83, 97]}, {'text': 'VoteEarlyFL', 'indices': [98, 110]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FlaDems', 'name': 'Florida Democrats', 'id': 76027332, 'id_str': '76027332', 'indices': [74, 82]}], 'urls': [], 'media': [{'id': 1309981776727756802, 'id_str': '1309981776727756802', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1309981776727756802/pu/img/-FiqLXYvQ1rTuYT3.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1309981776727756802/pu/img/-FiqLXYvQ1rTuYT3.jpg', 'url': 'https://t.co/3cFcxfyl6S', 'display_url': 'pic.twitter.com/3cFcxfyl6S', 'expanded_url': 'https://twitter.com/felton_mitch/status/1309981820776321024/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}}]}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
8,1309948309340073984,2020-09-26 20:09:49,Thank you @LeaKThompson for joining us today and giving a rousing encouragement to some of our new volunteers! Still geeking out that I got to channel my inner Marty McFly at you with my favorite Lorraine quote. Glad to have someone like you on our side ???? #DefeatTrumpFL https://t.co/AMmvnYHRzL,None,None,None,None,None,8,0,Twitter Web App,"Hollywood, FL","{'hashtags': [{'text': 'DefeatTrumpFL', 'indices': [257, 271]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LeaKThompson', 'name': 'Lea Thompson', 'id': 260864109, 'id_str': '260864109', 'indices': [10, 23]}], 'urls': [], 'media': [{'id': 1309946726615314438, 'id_str': '1309946726615314438', 'indices': [272, 295], 'media_url': 'http://pbs.twimg.com/media/Ei3dm4KXcAYrA7B.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ei3dm4KXcAYrA7B.jpg', 'url': 'https://t.co/AMmvnYHRzL', 'display_url': 'pic.twitter.com/AMmvnYHRzL', 'expanded_url': 'https://twitter.com/felton_mitch/status/1309948309340073984/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1661, 'h': 931, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 673, 'resize': 'fit'}, 'small': {'w': 680, 'h': 381, 'resize': 'fit'}}}]}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
9,1309525128972242944,2020-09-25 16:08:15,@ThomsenDrake Racquetball but with a non-bouncy grape. ??,1309342517649907712,ThomsenDrake,1309342517649907712,796393355974443008,796393355974443008,1,0,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ThomsenDrake', 'name': 'Drake Thomsen', 'id': 796393355974443008, 'id_str': '796393355974443008', 'indices': [0, 13]}], 'urls': []}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,en,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
10,1309519946624446464,2020-09-25 15:47:39,@OrganizerMemes https://t.co/crzsMclMk9,None,OrganizerMemes,None,1259557606504316928,1259557606504316928,14,1,Twitter for iPhone,"Hollywood, FL","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OrganizerMemes', 'name': 'Organizer Memes', 'id': 1259557606504316928, 'id_str': '1259557606504316928', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1309519943386443779, 'id_str': '1309519943386443779', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EixZc0vWsAMTFd3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EixZc0vWsAMTFd3.jpg', 'url': 'https://t.co/crzsMclMk9', 'display_url': 'pic.twitter.com/crzsMclMk9', 'expanded_url': 'https://twitter.com/felton_mitch/status/1309519946624446464/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 660, 'h': 414, 'resize': 'fit'}, 'small': {'w': 660, 'h': 414, 'resize': 'fit'}, 'large': {'w': 660, 'h': 414, 'resize': 'fit'}}}]}",271,False,182,False,Mitch Felton | Text FLORIDA to 30330,False,False,und,Just a guy trying to do his part to fight tyranny // @FlaDems Field Organizer Broward County // @OC2020 Alum,False,felton_mitch,178,False,False
