id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311451907613839360,2020-09-30 23:44:35,"RT @GwenGraham: “This was an assault. I feel abused, Joe was abused, Chris was abused, the American people were abused. @RealDonaldTrump IS…",None,None,None,None,None,0,949,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GwenGraham', 'name': 'Gwen Graham', 'id': 1283359081, 'id_str': '1283359081', 'indices': [3, 14]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [120, 136]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
2,1311439688381546496,2020-09-30 22:56:01,@IngrahamAngle What a unique kind of special are you?? You really watched that and thought Biden was interrupting?? I think it’s time that your 15 minutes of fame are over.,1311124892193107977,IngrahamAngle,1311124892193107977,50769180,50769180,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IngrahamAngle', 'name': 'Laura Ingraham', 'id': 50769180, 'id_str': '50769180', 'indices': [0, 14]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
3,1311335134696632320,2020-09-30 16:00:34,Ladies and gentlemen: the most corrupt and dangerous president in US history.  https://t.co/9wQC2313Xg,None,None,None,None,None,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9wQC2313Xg', 'expanded_url': 'https://apple.news/A3SqmAmnbRb2ixVoP3fraLw', 'display_url': 'apple.news/A3SqmAmnbRb2ix…', 'indices': [79, 102]}]}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
4,1311329389959766017,2020-09-30 15:37:44,RT @ABC: Moderator Chris Wallace to Trump as he repeatedly interrupts Biden: “Your campaign agreed that both sides would get 2 minute answe…,None,None,None,None,None,0,2537,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [3, 7]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
5,1311202543226163200,2020-09-30 07:13:41,@CPAmichaelT Me!!???????,1310999061290520576,CPAmichaelT,1310999061290520576,1303041255811801088,1303041255811801088,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CPAmichaelT', 'name': 'Michael?????? #BIDENHARRIS2020', 'id': 1303041255811801088, 'id_str': '1303041255811801088', 'indices': [0, 12]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,und,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
6,1311169870298402818,2020-09-30 05:03:52,@RobertGarciaLB I’m so sorry.,1311117894911102976,RobertGarcia,1311117894911102976,18120497,18120497,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobertGarciaLB', 'name': '.', 'id': 1028707293351698432, 'id_str': '1028707293351698432', 'indices': [0, 15]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
7,1311169145916989440,2020-09-30 05:00:59,Exactly. https://t.co/qTiSzTXHCo,None,None,None,None,None,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qTiSzTXHCo', 'expanded_url': 'https://twitter.com/TheRealHoarse/status/1311160336528166914', 'display_url': 'twitter.com/TheRealHoarse/…', 'indices': [9, 32]}]}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,True
8,1311164609089298432,2020-09-30 04:42:57,@LyndaSStuart1 @seanhannity Lol!! I was thinking the same thing!!,1311122185713594370,LyndaSStuart1,1311122185713594370,982862140792033280,982862140792033280,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LyndaSStuart1', 'name': 'LyndaSStuart', 'id': 982862140792033280, 'id_str': '982862140792033280', 'indices': [0, 14]}, {'screen_name': 'seanhannity', 'name': 'Sean Hannity', 'id': 41634520, 'id_str': '41634520', 'indices': [15, 27]}], 'urls': []}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
9,1311089186431053824,2020-09-29 23:43:15,@AriMelber https://t.co/tFJVXdoChS,1311057889721630720,AriMelber,1311057889721630720,15441965,15441965,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AriMelber', 'name': 'Ari Melber', 'id': 15441965, 'id_str': '15441965', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1311089181163020289, 'id_str': '1311089181163020289', 'indices': [11, 34], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjHsqfAUYAEGqvv.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjHsqfAUYAEGqvv.jpg', 'url': 'https://t.co/tFJVXdoChS', 'display_url': 'pic.twitter.com/tFJVXdoChS', 'expanded_url': 'https://twitter.com/StephanieEric17/status/1311089186431053824/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 238, 'h': 178, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 238, 'h': 178, 'resize': 'fit'}, 'small': {'w': 238, 'h': 178, 'resize': 'fit'}}}]}",3193,False,4739,False,SuperSonoGirl,False,False,und,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,False
10,1311088828027867137,2020-09-29 23:41:50,Some leopards just can’t change their spots. https://t.co/l4gyb3pyjJ,None,None,None,None,None,0,0,Twitter for iPhone,In the kitchen in central WA,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l4gyb3pyjJ', 'expanded_url': 'https://twitter.com/itsJeffTiedrich/status/1310940686041133062', 'display_url': 'twitter.com/itsJeffTiedric…', 'indices': [45, 68]}]}",3193,False,4739,False,SuperSonoGirl,False,False,en,"Sonographer by day, politically frustrated all the rest of the time. Firmly anchored to the left. Happily married. Breast cancer fighter. #FBR #VoteBlue",False,StephanieEric17,19581,False,True
