id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311387060725379073,2020-09-30 19:26:54,@stevenportnoy We need expert input.  It is the only way or fail again.  I suggest @BandyXLee1,1311355856450129920,stevenportnoy,1311355856450129920,24703826,24703826,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stevenportnoy', 'name': 'Steven Portnoy', 'id': 24703826, 'id_str': '24703826', 'indices': [0, 14]}, {'screen_name': 'BandyXLee1', 'name': 'Bandy X Lee, MD, MDiv', 'id': 1143542870575595520, 'id_str': '1143542870575595520', 'indices': [83, 94]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
2,1311386527121829888,2020-09-30 19:24:47,@AaronLo68947221 @JustinKollar @JoeBiden Child molester is Trump.,1311382663928909824,AaronLo68947221,1311382663928909824,1300351487814623232,1300351487814623232,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AaronLo68947221', 'name': 'Aaron Long', 'id': 1300351487814623232, 'id_str': '1300351487814623232', 'indices': [0, 16]}, {'screen_name': 'JustinKollar', 'name': 'Justin Kollar', 'id': 333861006, 'id_str': '333861006', 'indices': [17, 30]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [31, 40]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
3,1311385704245522433,2020-09-30 19:21:30,"@DarrellIssa Umm, face masks, then we shouldn't need to shut down.  Trump would keep spreading and killing us.  Blah blah he is controlling you.  Grow a spine.",1311152470400196608,DarrellIssa,1311152470400196608,22509548,22509548,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DarrellIssa', 'name': 'Darrell Issa', 'id': 22509548, 'id_str': '22509548', 'indices': [0, 12]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
4,1311330091209601026,2020-09-30 15:40:31,"@oliverdarcy I will take seemingly senile over ill-informed-pathalogical-lying-con, hands down.",1311095192343252992,oliverdarcy,1311095192343252992,27075032,27075032,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'oliverdarcy', 'name': 'Oliver Darcy', 'id': 27075032, 'id_str': '27075032', 'indices': [0, 12]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
5,1311329203434844161,2020-09-30 15:37:00,@BeauWillimon They are no match for Angry Moms who have been stuck at home with their kids all summer.  We got this.,1311323228116320256,BeauWillimon,1311323228116320256,28185163,28185163,7,1,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BeauWillimon', 'name': 'Beau Willimon', 'id': 28185163, 'id_str': '28185163', 'indices': [0, 13]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
6,1311310260091535365,2020-09-30 14:21:43,RT @JustinKollar: I’m a law enforcement leader who supports @JoeBiden for President.,None,None,None,None,None,0,17270,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JustinKollar', 'name': 'Justin Kollar', 'id': 333861006, 'id_str': '333861006', 'indices': [3, 16]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [60, 69]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
7,1311310260091535365,2020-09-30 14:21:43,RT @JustinKollar: I’m a law enforcement leader who supports @JoeBiden for President.,None,None,None,None,None,0,17270,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JustinKollar', 'name': 'Justin Kollar', 'id': 333861006, 'id_str': '333861006', 'indices': [3, 16]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [60, 69]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
8,1311242859991891970,2020-09-30 09:53:54,RT @NewYorkStateAG: The court has blocked the Trump administration’s attempt to arbitrarily and dramatically increase fees for immigration…,None,None,None,None,None,0,700,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NewYorkStateAG', 'name': 'NY AG James', 'id': 132496568, 'id_str': '132496568', 'indices': [3, 18]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,True
9,1311242775468208132,2020-09-30 09:53:34,@KellyannePolls @JoeBiden @AOC @EdMarkey Trying to break them up Miss Troublemaker??  Sorry but no dice.  Team #BidenAOC are going to get it done.  Save the human species.  Not kill them.,1311130638754381824,KellyannePolls,1311130638754381824,471672239,471672239,14,1,Twitter for Android,California,"{'hashtags': [{'text': 'BidenAOC', 'indices': [111, 120]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KellyannePolls', 'name': 'Kellyanne Conway', 'id': 471672239, 'id_str': '471672239', 'indices': [0, 15]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [16, 25]}, {'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [26, 30]}, {'screen_name': 'EdMarkey', 'name': 'Ed Markey', 'id': 1129029661, 'id_str': '1129029661', 'indices': [31, 40]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
10,1311241672706064384,2020-09-30 09:49:11,RT @SethAbramson: RETWEET if it sounded to you like a *threat* against America when Donald Trump—asked about whether he would accept the 20…,None,None,None,None,None,0,4061,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SethAbramson', 'name': 'Seth Abramson', 'id': 3223426134, 'id_str': '3223426134', 'indices': [3, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
11,1311241222288146432,2020-09-30 09:47:23,5 Traitors. https://t.co/fn9VlHBqUr,None,None,None,None,None,1,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fn9VlHBqUr', 'expanded_url': 'https://twitter.com/RepSwalwell/status/1311105061674606592', 'display_url': 'twitter.com/RepSwalwell/st…', 'indices': [12, 35]}]}",741,False,1170,False,dora diora noble,False,False,fr,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,True
12,1311241013239799814,2020-09-30 09:46:33,RT @neal_katyal: Donald trump treated the debate rules the way he treated the tax code.,None,None,None,None,None,0,17966,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'neal_katyal', 'name': 'Neal Katyal', 'id': 780206406024691712, 'id_str': '780206406024691712', 'indices': [3, 15]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
13,1311240620359335936,2020-09-30 09:45:00,"@NikkiHaley Damn straight.  Killed 200k, brought a healthy economy to its knees, and other countries will let us in.  No other president did this much damage.  We are living in US prison. #TrumpmassiveFAILURE",1311121195492933632,NikkiHaley,1311121195492933632,1079776144524754944,1079776144524754944,1,0,Twitter for Android,California,"{'hashtags': [{'text': 'TrumpmassiveFAILURE', 'indices': [188, 208]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NikkiHaley', 'name': 'Nikki Haley', 'id': 1079776144524754944, 'id_str': '1079776144524754944', 'indices': [0, 11]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
14,1311238295561486336,2020-09-30 09:35:45,RT @PreetBharara: I’m now in favor of absentee debates,None,None,None,None,None,0,6383,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PreetBharara', 'name': 'Preet Bharara', 'id': 834081571493785600, 'id_str': '834081571493785600', 'indices': [3, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
15,1311238188430573568,2020-09-30 09:35:20,RT @CharlesMBlow: “Stand back and stand by”. Absolutely unbelievable.,None,None,None,None,None,0,1218,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CharlesMBlow', 'name': 'Charles M. Blow', 'id': 20772763, 'id_str': '20772763', 'indices': [3, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
16,1311238186396315648,2020-09-30 09:35:19,"@McFaul Uh huh, so tired of winning.",1311178508224266240,McFaul,1311178508224266240,454099919,454099919,1,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'McFaul', 'name': 'Michael McFaul', 'id': 454099919, 'id_str': '454099919', 'indices': [0, 7]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
17,1311238184395661312,2020-09-30 09:35:19,RT @FrankConniff: A big night for Trump: he totally nailed down undecided white supremacists once and for all.,None,None,None,None,None,0,387,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FrankConniff', 'name': 'Frank Conniff', 'id': 34556109, 'id_str': '34556109', 'indices': [3, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
18,1311237023919779844,2020-09-30 09:30:42,RT @RobertGarciaLB: Listening to our President downplay this pandemic which killed both my parents is fucking infuriating.,None,None,None,None,None,0,39611,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobertGarciaLB', 'name': '.', 'id': 1028707293351698432, 'id_str': '1028707293351698432', 'indices': [3, 18]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
19,1311236968332718080,2020-09-30 09:30:29,RT @mitchellreports: The President of the United States energized Neo Nazi White Supremacists by refusing to denounce them and telling them…,None,None,None,None,None,0,11105,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mitchellreports', 'name': 'Andrea Mitchell', 'id': 89820928, 'id_str': '89820928', 'indices': [3, 19]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
20,1311236810371022849,2020-09-30 09:29:51,"@roper_93 What Jeff said.  It was 100% avoidable.  No one had to die under Obama/Biden, because they had full time watchers to catch a virus before it ever left China.  Trump fired them.   The body count would be 0-10, max.",1311161832460242944,covie_93,1311161832460242944,2768271223,2768271223,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
21,1311172038191509505,2020-09-30 05:12:28,"@MikahMiriam @chrislhayes Herman Cain, why can't anyone SAY HIS NAME?!",1311168852571504641,MikahMiriam,1311168852571504641,803461555094335489,803461555094335489,6,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MikahMiriam', 'name': 'Mikah O’Mara', 'id': 803461555094335489, 'id_str': '803461555094335489', 'indices': [0, 12]}, {'screen_name': 'chrislhayes', 'name': 'Chris Hayes', 'id': 4207961, 'id_str': '4207961', 'indices': [13, 25]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
22,1311171234642538496,2020-09-30 05:09:17,@thebradfordfile He is running against democracy.  He needs a mamma to shut his abusive ass down.,1311158214730362881,thebradfordfile,1311158214730362881,3406938525,3406938525,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thebradfordfile', 'name': 'thebradfordfile™', 'id': 3406938525, 'id_str': '3406938525', 'indices': [0, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
23,1311170796014895109,2020-09-30 05:07:32,"@salaams_from_68 If you are thinking the abusive treatment to our democracy is good, yeah, winning.",1311138594715652096,salaams_from_68,1311138594715652096,197670008,197670008,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'salaams_from_68', 'name': 'Ryan Harris', 'id': 197670008, 'id_str': '197670008', 'indices': [0, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
24,1311170207952502784,2020-09-30 05:05:12,@kayleighmcenany Why hasn't the president been able to tell you?  He got his fixers Gulliani and Barr investigating for years. Nothing.   Smoke and mirrors.,1311121406269231106,kayleighmcenany,1311121406269231106,259001548,259001548,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kayleighmcenany', 'name': 'Kayleigh McEnany', 'id': 259001548, 'id_str': '259001548', 'indices': [0, 16]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
25,1311166007562571776,2020-09-30 04:48:31,"@BandyXLee1 When 45 accused democrats wanting to slow down the vaccine and let people die for political gain, I would had served his ass to the cameras on a platter.  How DARE he.  He should be ashamed of himself.  Make him apologize and stand in the corner.",1311123326270615552,BandyXLee1,1311123326270615552,1143542870575595520,1143542870575595520,0,0,Twitter for Android,California,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BandyXLee1', 'name': 'Bandy X Lee, MD, MDiv', 'id': 1143542870575595520, 'id_str': '1143542870575595520', 'indices': [0, 11]}], 'urls': []}",741,False,1170,False,dora diora noble,False,False,en,Evaluation of @realDonaldTrump's mental state shows he is grossly unfit to lead this country.  https://t.co/1yRE57OVac,True,AdorableNstyWmn,11456,False,False
