id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1284319208868732928,2020-07-18 02:48:55,"#HollowFire ?? unofficial, automated update.
~9mi SSW of Mountain House, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/qhJWHRn6Ng https://t.co/Eb2OMkA4FA",None,None,None,None,None,3,2,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'HollowFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qhJWHRn6Ng', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/16/hollow-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [176, 199]}], 'media': [{'id': 1284319168309805056, 'id_str': '1284319168309805056', 'indices': [200, 223], 'media_url': 'http://pbs.twimg.com/media/EdLRep1UwAAPLOX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdLRep1UwAAPLOX.jpg', 'url': 'https://t.co/Eb2OMkA4FA', 'display_url': 'pic.twitter.com/Eb2OMkA4FA', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284319208868732928/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
2,1284315957851127808,2020-07-18 02:36:00,"#BenFire ?? unofficial, automated update.
Near Mariposa, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/LLWh8MWOnW https://t.co/HMEqmTu0lT",None,None,None,None,None,1,0,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'BenFire', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LLWh8MWOnW', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/15/ben-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [160, 183]}], 'media': [{'id': 1284315918059724800, 'id_str': '1284315918059724800', 'indices': [184, 207], 'media_url': 'http://pbs.twimg.com/media/EdLOhdtUYAAeHfY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdLOhdtUYAAeHfY.jpg', 'url': 'https://t.co/HMEqmTu0lT', 'display_url': 'pic.twitter.com/HMEqmTu0lT', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284315957851127808/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
3,1284314835941916672,2020-07-18 02:31:32,"#PitzerFire ?? unofficial, automated update.
~5mi SW of Lucerne Valley, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/VotOSfH5cA https://t.co/misKwazIQl",None,None,None,None,None,0,1,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'PitzerFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VotOSfH5cA', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/17/pitzer-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [175, 198]}], 'media': [{'id': 1284314762247991296, 'id_str': '1284314762247991296', 'indices': [199, 222], 'media_url': 'http://pbs.twimg.com/media/EdLNeL-U8AAEdG4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdLNeL-U8AAEdG4.jpg', 'url': 'https://t.co/misKwazIQl', 'display_url': 'pic.twitter.com/misKwazIQl', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284314835941916672/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
4,1284292731603320832,2020-07-18 01:03:42,"#CoyoteFire ?? unofficial, automated update.
@calfirebeu; ~18mi ESE of Tres Pinos, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images. https://t.co/mTcjLA1yjG",None,None,None,None,None,2,0,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'CoyoteFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CALFIREBEU', 'name': 'CAL FIRE BEU', 'id': 356018104, 'id_str': '356018104', 'indices': [44, 55]}], 'urls': [], 'media': [{'id': 1284292691199590400, 'id_str': '1284292691199590400', 'indices': [186, 209], 'media_url': 'http://pbs.twimg.com/media/EdK5Ze6VAAA8Unw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdK5Ze6VAAA8Unw.jpg', 'url': 'https://t.co/mTcjLA1yjG', 'display_url': 'pic.twitter.com/mTcjLA1yjG', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284292731603320832/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
5,1284292155641434119,2020-07-18 01:01:25,"#MineralFire ?? unofficial, automated update.
@FresnoCoFire; ~10mi WSW of Coalinga, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images. https://t.co/KZ0F1v9ppa",None,None,None,None,None,2,2,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'MineralFire', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FresnoCoFire', 'name': 'CALFIRE/FresnoCoFire', 'id': 204979592, 'id_str': '204979592', 'indices': [45, 58]}], 'urls': [], 'media': [{'id': 1284292105876062209, 'id_str': '1284292105876062209', 'indices': [187, 210], 'media_url': 'http://pbs.twimg.com/media/EdK43aaUwAEwGF1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdK43aaUwAEwGF1.jpg', 'url': 'https://t.co/KZ0F1v9ppa', 'display_url': 'pic.twitter.com/KZ0F1v9ppa', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284292155641434119/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
6,1284249220602449920,2020-07-17 22:10:49,"#PitzerFire ?? unofficial, automated update.
~5mi SW of Lucerne Valley, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/VotOSfH5cA https://t.co/5ThKCyzXUO",None,None,None,None,None,0,1,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'PitzerFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VotOSfH5cA', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/17/pitzer-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [175, 198]}], 'media': [{'id': 1284249182543331328, 'id_str': '1284249182543331328', 'indices': [199, 222], 'media_url': 'http://pbs.twimg.com/media/EdKR08iUwAAAOqw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdKR08iUwAAAOqw.jpg', 'url': 'https://t.co/5ThKCyzXUO', 'display_url': 'pic.twitter.com/5ThKCyzXUO', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284249220602449920/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
7,1284137837231632388,2020-07-17 14:48:13,"#HollowFire ?? unofficial, automated update.
~9mi SSW of Mountain House, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/qhJWHRn6Ng https://t.co/dDVfkTEvbe",None,None,None,None,None,1,0,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'HollowFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qhJWHRn6Ng', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/16/hollow-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [176, 199]}], 'media': [{'id': 1284137796697899008, 'id_str': '1284137796697899008', 'indices': [200, 223], 'media_url': 'http://pbs.twimg.com/media/EdIshb7UwAAg1zH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdIshb7UwAAg1zH.jpg', 'url': 'https://t.co/dDVfkTEvbe', 'display_url': 'pic.twitter.com/dDVfkTEvbe', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284137837231632388/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
8,1284134315169701889,2020-07-17 14:34:13,"#BenFire ?? unofficial, automated update.
Near Mariposa, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images.
https://t.co/LLWh8MWOnW https://t.co/asY6vNPv7Y",None,None,None,None,None,0,0,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'BenFire', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LLWh8MWOnW', 'expanded_url': 'https://www.fire.ca.gov/incidents/2020/7/15/ben-fire/', 'display_url': 'fire.ca.gov/incidents/2020…', 'indices': [160, 183]}], 'media': [{'id': 1284134276330479617, 'id_str': '1284134276330479617', 'indices': [184, 207], 'media_url': 'http://pbs.twimg.com/media/EdIpUhiU4AERAp_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdIpUhiU4AERAp_.jpg', 'url': 'https://t.co/asY6vNPv7Y', 'display_url': 'pic.twitter.com/asY6vNPv7Y', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284134315169701889/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
9,1284119644970684416,2020-07-17 13:35:55,"#CoyoteFire ?? unofficial, automated update.
@calfirebeu; ~18mi ESE of Tres Pinos, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images. https://t.co/pmyYvCU5ig",None,None,None,None,None,0,1,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'CoyoteFire', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CALFIREBEU', 'name': 'CAL FIRE BEU', 'id': 356018104, 'id_str': '356018104', 'indices': [44, 55]}], 'urls': [], 'media': [{'id': 1284119574376415233, 'id_str': '1284119574376415233', 'indices': [186, 209], 'media_url': 'http://pbs.twimg.com/media/EdIb8wfVAAEuEO0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdIb8wfVAAEuEO0.jpg', 'url': 'https://t.co/pmyYvCU5ig', 'display_url': 'pic.twitter.com/pmyYvCU5ig', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284119644970684416/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
10,1284119025014861826,2020-07-17 13:33:27,"#MineralFire ?? unofficial, automated update.
@FresnoCoFire; ~10mi WSW of Coalinga, CA. ?? DO NOT USE FOR SAFETY PURPOSES - See officials instead. May be incorrect; disclaimers in images. https://t.co/mvcynRDGXk",None,None,None,None,None,1,1,Wildfire Data Monitor Region 1,"California, USA","{'hashtags': [{'text': 'MineralFire', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FresnoCoFire', 'name': 'CALFIRE/FresnoCoFire', 'id': 204979592, 'id_str': '204979592', 'indices': [45, 58]}], 'urls': [], 'media': [{'id': 1284118980693647360, 'id_str': '1284118980693647360', 'indices': [187, 210], 'media_url': 'http://pbs.twimg.com/media/EdIbaM2U4AAZzUI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdIbaM2U4AAZzUI.jpg', 'url': 'https://t.co/mvcynRDGXk', 'display_url': 'pic.twitter.com/mvcynRDGXk', 'expanded_url': 'https://twitter.com/CaliFireBot/status/1284119025014861826/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1330, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 779, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}}}]}",1270,False,23,False,Wildfire Bot (CA) - Unofficial ????,False,False,en,"California #Wildfire?? data. NOT FOR SAFETY, EMERGENCY, or EVACUATION PURPOSES; not affiliated with govt. RT/fav/follow?endorse. Open source. See @FireUnofficial",True,CaliFireBot,2572,False,False
