id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1304978126082957312,2020-09-13 03:00:05,RT @RealJamesWoods: Another great Newsom first: air quality in California worse than Hong Kong and India. Newsom chose to listen to “green”…,None,None,None,None,None,0,14368,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [3, 18]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
2,1304977944209580032,2020-09-13 02:59:21,"RT @RealJamesWoods: If the cartel managing #SlowJoeBiden manages to cheat this Trojan horse into the White House, America will be run by Ka…",None,None,None,None,None,0,10741,Twitter for iPhone,The OC,"{'hashtags': [{'text': 'SlowJoeBiden', 'indices': [43, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [3, 18]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
3,1304977823740821505,2020-09-13 02:58:53,RT @tedcruz: .@TulsiGabbard is right.,None,None,None,None,None,0,4230,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [3, 11]}, {'screen_name': 'TulsiGabbard', 'name': 'Tulsi Gabbard ??', 'id': 26637348, 'id_str': '26637348', 'indices': [14, 27]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,True
4,1304977686285099010,2020-09-13 02:58:20,"RT @charliekirk11: Iran just executed wrestler Navid Afkari - an actual peaceful protestor - despite international calls for mercy.

Never…",None,None,None,None,None,0,5812,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'charliekirk11', 'name': 'Charlie Kirk', 'id': 292929271, 'id_str': '292929271', 'indices': [3, 17]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
5,1304977149892243457,2020-09-13 02:56:12,RT @Stefild: Pelosi says she will retire if Trump wins.  Everyone on the fence will definitely vote for Trump after hearing this. #pelosifo…,None,None,None,None,None,0,7600,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Stefild', 'name': 'Stefanie Daubert ???? Conservative Christian News', 'id': 89842963, 'id_str': '89842963', 'indices': [3, 11]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
6,1304976829325877248,2020-09-13 02:54:56,"RT @charliekirk11: You don’t just “accidentally” wipe 31 phones unless you have something to hide.

What does Mueller’s team have to hide?…",None,None,None,None,None,0,18941,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'charliekirk11', 'name': 'Charlie Kirk', 'id': 292929271, 'id_str': '292929271', 'indices': [3, 17]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
7,1304976691597467648,2020-09-13 02:54:23,RT @RyanAFournier: Defund cities that defund our police.,None,None,None,None,None,0,4760,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RyanAFournier', 'name': 'Ryan Fournier', 'id': 166751745, 'id_str': '166751745', 'indices': [3, 17]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
8,1304658022921195522,2020-09-12 05:48:06,"RT @RyanAFournier: Netflix has lost over $9 billion in market value since the #CancelNetflix hashtag went viral.

Good.

Any network that p…",None,None,None,None,None,0,13284,Twitter for iPhone,The OC,"{'hashtags': [{'text': 'CancelNetflix', 'indices': [78, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RyanAFournier', 'name': 'Ryan Fournier', 'id': 166751745, 'id_str': '166751745', 'indices': [3, 17]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
9,1304657711548649473,2020-09-12 05:46:52,"RT @GeraldoRivera: Can Democrats join Republicans to congratulate @realDonaldTrump on the peace deals between Israel, the UAE &amp; now Bahrain…",None,None,None,None,None,0,13912,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeraldoRivera', 'name': 'Geraldo Rivera', 'id': 246500501, 'id_str': '246500501', 'indices': [3, 17]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [66, 82]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
10,1302457425505648640,2020-09-06 04:03:43,"RT @RedWingGrips: Where were all of these ""anonymous sources"" when Barack Obama was weaponizing the FISA court and Intelligence Agencies?",None,None,None,None,None,0,406,Twitter for iPhone,The OC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RedWingGrips', 'name': 'John D ?', 'id': 1083551928821448710, 'id_str': '1083551928821448710', 'indices': [3, 16]}], 'urls': []}",831,False,1618,False,Joyce Ann,False,False,en,"True Native American Conservative, love my God the Great Spirit, love my family, love America! Let's get back to the Constitution. @realdonaldtrump",True,JoyceAn74755183,3873,False,False
