id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1298791634973401090,2020-08-27 01:17:10,"RT @SethAbramson: UPDATE: Dr. Fauci confirms to CNN that he *didn't* sign off on the changes, though the White House claims he did; that he…",None,None,None,None,None,0,7259,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SethAbramson', 'name': 'Seth Abramson', 'id': 3223426134, 'id_str': '3223426134', 'indices': [3, 16]}], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
2,1298791061431746560,2020-08-27 01:14:54,RT @RBReich: Seattle Mariners won't play tonight’s game against San Diego Padres. Giants won't be playing against Dodgers. We've all got to…,None,None,None,None,None,0,2240,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RBReich', 'name': 'Robert Reich', 'id': 148529707, 'id_str': '148529707', 'indices': [3, 11]}], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
3,1298789715622191105,2020-08-27 01:09:33,@CrankyBelle That looks like a crooked penis with eyeballs....creepy as hell!,1298778601265954817,CrankyBelle,1298778601265954817,1158961425173245954,1158961425173245954,0,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrankyBelle', 'name': 'Cranky Belle™????? ????', 'id': 1158961425173245954, 'id_str': '1158961425173245954', 'indices': [0, 12]}], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
4,1298588731453177861,2020-08-26 11:50:54,@johnysonthespot Thank you! I had to count twice because I just don’t trust my math skills this early in the morning lol,1298588496668569601,johnysonthespot,1298588496668569601,844951793490694145,844951793490694145,1,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'johnysonthespot', 'name': '????JB ????', 'id': 844951793490694145, 'id_str': '844951793490694145', 'indices': [0, 16]}], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
5,1298588355983179776,2020-08-26 11:49:25,@johnysonthespot If my math is correct (too early and too tired to be certain) this makes 7. Every presidential election since 1996 when I became of age. I’ve only missed one non-presidential election in 24 years.,1298583575743410176,johnysonthespot,1298583575743410176,844951793490694145,844951793490694145,1,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'johnysonthespot', 'name': '????JB ????', 'id': 844951793490694145, 'id_str': '844951793490694145', 'indices': [0, 16]}], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
6,1297967878260568064,2020-08-24 18:43:51,"Lordy lordy...just got into it with an instructor here, he's a Trumper, I obviously am not.  He's telling me all these horrible things Biden has done but they're all things the orange ass has done. How are they all so stupid?!  And he won't stop!!!",None,None,None,None,None,2,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
7,1296957724740132864,2020-08-21 23:49:52,"Alright, who’s chopping onions near me? What a good man and what a difference from the orange jackass. https://t.co/n0IL3KKs2J",None,None,None,None,None,0,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/n0IL3KKs2J', 'expanded_url': 'https://twitter.com/joncoopertweets/status/1296864641491116032', 'display_url': 'twitter.com/joncoopertweet…', 'indices': [103, 126]}]}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,True
8,1296619394311675904,2020-08-21 01:25:28,@resistPOTUSnow Yes. I’ve only gotten the flu shot a few times before. This year my kids and I will all get it and get it early.,1296584856319614976,WeedyMimiBee,1296584856319614976,3666808216,3666808216,0,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
9,1296280256051998720,2020-08-20 02:57:51,Props to this Scottish lady! https://t.co/KcfO2QCOi4,None,None,None,None,None,1,1,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KcfO2QCOi4', 'expanded_url': 'https://twitter.com/sandzz77/status/1296167757600264193', 'display_url': 'twitter.com/sandzz77/statu…', 'indices': [29, 52]}]}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,True
10,1296277497324036096,2020-08-20 02:46:53,Oh how I miss Obama! Elizabeth made me cry with her Aunt Bea story too.,None,None,None,None,None,0,0,Twitter Web App,New Mexico,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1433,False,1724,False,Carrie,False,False,en,"Got Twitter originally to troll Trump #resist and see the off the wall stuff my kid says...progressive, mom, small town anomaly",False,JustAGal9,1425,False,False
