id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311355371500367872,2020-09-30 17:20:59,Bad things happen in Philadelphia? ... Donald Trump's worst moment of the 1st debate (that you probably missed)  https://t.co/9jWgk7TqFy,None,None,None,None,None,2,0,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9jWgk7TqFy', 'expanded_url': 'https://www.cnn.com/2020/09/30/politics/polls-donald-trump-election-first-debate/index.html', 'display_url': 'cnn.com/2020/09/30/pol…', 'indices': [113, 136]}]}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
2,1310791398891728897,2020-09-29 03:59:57,"Straight from the GOP playbook: When you can’t defend the Trump, kill the messenger ...       Top House Republican calls for criminal investigation into Trump tax returns leak https://t.co/0hOhe6d2zU",None,None,None,None,None,1,1,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0hOhe6d2zU', 'expanded_url': 'https://www.washingtonexaminer.com/news/top-house-republican-calls-for-criminal-investigation-into-trump-tax-returns-leak', 'display_url': 'washingtonexaminer.com/news/top-house…', 'indices': [176, 199]}]}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
3,1310782953123770369,2020-09-29 03:26:23,"RT @net7654321: @LauraOLauraO 
Tu for following Laura?? I feel like Alice's rabbit trying to broadcast the message all by myself.
Plzzz ReTW…",None,None,None,None,None,0,1,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'net7654321', 'name': 'C Wall', 'id': 111631895, 'id_str': '111631895', 'indices': [3, 14]}, {'screen_name': 'LauraOLauraO', 'name': ""Laura O'Connor??"", 'id': 845506343414874112, 'id_str': '845506343414874112', 'indices': [16, 29]}], 'urls': []}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
4,1310412697175912449,2020-09-28 02:55:07,RT @CarmenTS: Y’all i’ve been crying laughing for almost 20 minutes. I’m trying to make dinner &amp; my eyes keep watering ???? Shit like this do…,None,None,None,None,None,0,61,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CarmenTS', 'name': ""??Jen Psaki's Anger Translator"", 'id': 39070036, 'id_str': '39070036', 'indices': [3, 12]}], 'urls': []}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,True
5,1310412431991005186,2020-09-28 02:54:04,"RT @RuleChicago: 44
@LarryBuhl 
@larrydowell
@lauracosta_13
@LauraHopeLS
@LauraJanespoon
@LauraOLauraO
@LaurelRamoser
@LaurieScott7
@Laurie…",None,None,None,None,None,0,9,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RuleChicago', 'name': 'ChicagoDogsRule', 'id': 1008826682164334593, 'id_str': '1008826682164334593', 'indices': [3, 15]}, {'screen_name': 'LarryBuhl', 'name': 'Larry Buhl', 'id': 348068728, 'id_str': '348068728', 'indices': [20, 30]}, {'screen_name': 'larrydowell', 'name': 'Larry Dowell', 'id': 111039232, 'id_str': '111039232', 'indices': [32, 44]}, {'screen_name': 'lauracosta_13', 'name': '???? Laura Costa ???? Biden is our President', 'id': 37886783, 'id_str': '37886783', 'indices': [45, 59]}], 'urls': []}",27625,False,24585,False,Laura O'Connor??,False,False,und,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
6,1310411417917337601,2020-09-28 02:50:02,“The financial pressure on [Trump] is increasing as hundreds of millions of dollars in loans he personally guaranteed are soon coming due.” ... Does anyone still question whether he’s being bought and sold by foreign powers like Putin?? https://t.co/BcajkiXgfh,None,None,None,None,None,4,1,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BcajkiXgfh', 'expanded_url': 'https://www.nytimes.com/2020/09/27/us/trump-taxes-takeaways.html', 'display_url': 'nytimes.com/2020/09/27/us/…', 'indices': [237, 260]}]}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
7,1309681593536008192,2020-09-26 02:29:59,"I don’t know if this is possible, but I might hate Bill Barr even more than Trump. #DisbarBarr",None,None,None,None,None,4,0,Twitter for iPhone,Los Angeles,"{'hashtags': [{'text': 'DisbarBarr', 'indices': [83, 94]}], 'symbols': [], 'user_mentions': [], 'urls': []}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
8,1309677795736391681,2020-09-26 02:14:53,"RT @AllanMargolin: Flood of Democratic Fundraising Since RBG’s Death Changes Senate Landscape https://t.co/f3TIYqSa26 bia @NYMag 
 @JJaazze…",None,None,None,None,None,0,23,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AllanMargolin', 'name': 'Allan Margolin', 'id': 456865788, 'id_str': '456865788', 'indices': [3, 17]}, {'screen_name': 'NYMag', 'name': 'New York Magazine', 'id': 45564482, 'id_str': '45564482', 'indices': [122, 128]}], 'urls': [{'url': 'https://t.co/f3TIYqSa26', 'expanded_url': 'http://ow.ly/T1GS30rbfw6', 'display_url': 'ow.ly/T1GS30rbfw6', 'indices': [94, 117]}]}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
9,1307350750956105745,2020-09-19 16:08:03,"For once, Big Pharma makes the right decision ... A Deal on Drug Prices Undone by White House Insistence on ‘Trump Cards’ https://t.co/okZCBthg3Z",None,None,None,None,None,3,0,Twitter for iPhone,Los Angeles,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/okZCBthg3Z', 'expanded_url': 'https://www.nytimes.com/2020/09/18/us/politics/trump-drug-prices.html', 'display_url': 'nytimes.com/2020/09/18/us/…', 'indices': [122, 145]}]}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
10,1307192124350160896,2020-09-19 05:37:43,"RT @SDDNP: Fellow Californians @powers_edy needs?? 
#California ?????????????????@everyhumanknows @ElNoPower @FamArana @GentlemanJSDCA @itrikke @Gr…",None,None,None,None,None,0,7,Twitter for iPhone,Los Angeles,"{'hashtags': [{'text': 'California', 'indices': [51, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SDDNP', 'name': '??IFA’s????\u200d??Doctoring Souls??', 'id': 1084524458, 'id_str': '1084524458', 'indices': [3, 9]}, {'screen_name': 'powers_edy', 'name': 'this girl is for Biden2020', 'id': 1056697928641785856, 'id_str': '1056697928641785856', 'indices': [31, 42]}, {'screen_name': 'everyhumanknows', 'name': 'gr8grannyJanny???? WearYourMask', 'id': 825469388656480256, 'id_str': '825469388656480256', 'indices': [73, 89]}, {'screen_name': 'ElNoPower', 'name': 'El ??????????????????????????????????', 'id': 1135767308473753600, 'id_str': '1135767308473753600', 'indices': [90, 100]}, {'screen_name': 'FamArana', 'name': 'AranaFam', 'id': 884962797112537088, 'id_str': '884962797112537088', 'indices': [101, 110]}, {'screen_name': 'GentlemanJSDCA', 'name': 'GentlemanJack', 'id': 1185649861078552576, 'id_str': '1185649861078552576', 'indices': [111, 126]}, {'screen_name': 'itrikke', 'name': 'Trikke Fans', 'id': 71901471, 'id_str': '71901471', 'indices': [127, 135]}], 'urls': []}",27625,False,24585,False,Laura O'Connor??,False,False,en,"???????Psychologist, believer in science & equality #RESIST #NeverTrumper #VoteBlue #FactsMatter #RemoveAndIndict #WearADamnMask I'm happy to #FBR",False,LauraOLauraO,4905,False,False
