id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311352885591056385,2020-09-30 17:11:06,"RT @tomiahonen: Donald Trump, Stable Genius:

""Don't ever use the word smart with me.""

#TrumpMeltdown #BidenWonDebate #Debate2020 #MAGA #S…",None,None,None,None,None,0,691,Twitter for Android,Hot Hot Texas,"{'hashtags': [{'text': 'TrumpMeltdown', 'indices': [88, 102]}, {'text': 'BidenWonDebate', 'indices': [103, 118]}, {'text': 'Debate2020', 'indices': [119, 130]}, {'text': 'MAGA', 'indices': [131, 136]}], 'symbols': [], 'user_mentions': [{'screen_name': 'tomiahonen', 'name': 'Tomi T Ahonen', 'id': 17477864, 'id_str': '17477864', 'indices': [3, 14]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
2,1311352810622144515,2020-09-30 17:10:48,"RT @SteveRustad1: President?

We HAVE no president.

We have a lawless thug in the White House, a racist, a fascist, a scheming traitor wit…",None,None,None,None,None,0,1693,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SteveRustad1', 'name': 'Steve Rustad', 'id': 862315394, 'id_str': '862315394', 'indices': [3, 16]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
3,1311352741860724737,2020-09-30 17:10:32,"RT @Sky_Lee_1: Watching Trump refuse to tell the white supremacist to stand down, he instead told the Proud Boys to stand down and stand by…",None,None,None,None,None,0,1270,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sky_Lee_1', 'name': 'Skyleigh?? DAY 354@??', 'id': 3003886063, 'id_str': '3003886063', 'indices': [3, 13]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
4,1311352623132487680,2020-09-30 17:10:03,"RT @GeoffRBennett: Sen. Tim Scott on Trump telling the Proud Boys to ""stand back and stand by"" at last night's debate: ""I think he misspoke…",None,None,None,None,None,0,4202,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeoffRBennett', 'name': 'Geoff Bennett', 'id': 19502995, 'id_str': '19502995', 'indices': [3, 17]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
5,1311352623132487680,2020-09-30 17:10:03,"RT @GeoffRBennett: Sen. Tim Scott on Trump telling the Proud Boys to ""stand back and stand by"" at last night's debate: ""I think he misspoke…",None,None,None,None,None,0,4202,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GeoffRBennett', 'name': 'Geoff Bennett', 'id': 19502995, 'id_str': '19502995', 'indices': [3, 17]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
6,1311352424502878208,2020-09-30 17:09:16,@realDonaldTrump your boys are listening. This is disgusting and you will never be my president. #TrumpMeltdown https://t.co/uAo4IzhPOo,None,realDonaldTrump,None,25073877,25073877,0,0,Twitter for Android,Hot Hot Texas,"{'hashtags': [{'text': 'TrumpMeltdown', 'indices': [97, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/uAo4IzhPOo', 'expanded_url': 'https://twitter.com/kylegriffin1/status/1311334998776180737', 'display_url': 'twitter.com/kylegriffin1/s…', 'indices': [112, 135]}]}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,True
7,1311351848842997762,2020-09-30 17:06:59,"RT @Acyn: Question: Do you have a message for the Proud Boys today?
Biden: Cease and desist https://t.co/nJVEGg5PKx",None,None,None,None,None,0,1600,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Acyn', 'name': 'Acyn Torabi', 'id': 16635277, 'id_str': '16635277', 'indices': [3, 8]}], 'urls': [], 'media': [{'id': 1311347197351395333, 'id_str': '1311347197351395333', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1311347197351395333/pu/img/stZ8lJVLDDbxzxPU.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1311347197351395333/pu/img/stZ8lJVLDDbxzxPU.jpg', 'url': 'https://t.co/nJVEGg5PKx', 'display_url': 'pic.twitter.com/nJVEGg5PKx', 'expanded_url': 'https://twitter.com/Acyn/status/1311347236870041602/video/1', 'type': 'photo', 'sizes': {'large': {'w': 1272, 'h': 720, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 679, 'resize': 'fit'}, 'small': {'w': 680, 'h': 385, 'resize': 'fit'}}, 'source_status_id': 1311347236870041602, 'source_status_id_str': '1311347236870041602', 'source_user_id': 16635277, 'source_user_id_str': '16635277'}]}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
8,1311351556667854849,2020-09-30 17:05:49,RT @washingtonpost: Analysis: It wasn’t just the Proud Boys: Trump refused to dissuade supporters from a violent response to the election h…,None,None,None,None,None,0,263,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'washingtonpost', 'name': 'The Washington Post', 'id': 2467791, 'id_str': '2467791', 'indices': [3, 18]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
9,1311351370314809345,2020-09-30 17:05:05,RT @RexChapman: 12-hours later and Trump still hasn’t said he misspoke about white supremacy and the Proud Boys gang.,None,None,None,None,None,0,1868,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RexChapman', 'name': 'Rex Chapman????', 'id': 324703658, 'id_str': '324703658', 'indices': [3, 14]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
10,1311351333799301130,2020-09-30 17:04:56,"RT @kylegriffin1: Joe Biden: ""My message to the Proud Boys and every other white supremacists group is cease and desist. That's not who we…",None,None,None,None,None,0,4797,Twitter for Android,Hot Hot Texas,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kylegriffin1', 'name': 'Kyle Griffin', 'id': 32871086, 'id_str': '32871086', 'indices': [3, 16]}], 'urls': []}",625,False,1054,False,Raquel Papel ????,False,False,en,"Not a Trump fan. All trolls, tools and overall jerks will be blocked. Believes in Science, BLM, Puerto Rico libre!, Feminist. Boricua! Wepa!",True,RaquelPapel,15045,False,False
