id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311429796631515136,2020-09-30 22:16:43,RT @RepKatiePorter: TODAY &gt;&gt; I asked a Big Pharma CEO to justify why his company raised the price of a lifesaving cancer drug by over $500…,None,None,None,None,None,0,48409,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepKatiePorter', 'name': 'Rep. Katie Porter', 'id': 1081222837459996672, 'id_str': '1081222837459996672', 'indices': [3, 18]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
2,1311429781028704256,2020-09-30 22:16:39,"RT @BernieSanders: Last night Trump was asked to condemn white supremacy—and refused. He has called neo-Nazis ""very fine people."" He has in…",None,None,None,None,None,0,32915,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BernieSanders', 'name': 'Bernie Sanders', 'id': 216776631, 'id_str': '216776631', 'indices': [3, 17]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
3,1311429695154479104,2020-09-30 22:16:19,RT @AssalRad: Reporters need to stop asking him about white supremacists in third person. He’s not going to condemn them because he is a wh…,None,None,None,None,None,0,5,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AssalRad', 'name': 'Assal Rad', 'id': 1094276372044800000, 'id_str': '1094276372044800000', 'indices': [3, 12]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
4,1311429695154479104,2020-09-30 22:16:19,RT @AssalRad: Reporters need to stop asking him about white supremacists in third person. He’s not going to condemn them because he is a wh…,None,None,None,None,None,0,5,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AssalRad', 'name': 'Assal Rad', 'id': 1094276372044800000, 'id_str': '1094276372044800000', 'indices': [3, 12]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
5,1311429689647325184,2020-09-30 22:16:17,"RT @JoshuaPotash: Everyone mentioning ""stand back &amp; stand by"" should include that it was followed by, ""somebody's gotta do something about…",None,None,None,None,None,0,1145,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoshuaPotash', 'name': 'Joshua Potash', 'id': 1090715513586679813, 'id_str': '1090715513586679813', 'indices': [3, 16]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
6,1311347410723954691,2020-09-30 16:49:21,"RT @AssalRad: Diaspora #Iranian “opposition” hail Trump as means to an end, despite dangers he poses. Their willingness to destroy US democ…",None,None,None,None,None,0,50,Twitter for iPad,"California, USA","{'hashtags': [{'text': 'Iranian', 'indices': [23, 31]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AssalRad', 'name': 'Assal Rad', 'id': 1094276372044800000, 'id_str': '1094276372044800000', 'indices': [3, 12]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
7,1311347388158627840,2020-09-30 16:49:15,RT @elliotcwilliams: Unsolicited opinion from a black man: everything that's wrong with race in America is three white men starting a conve…,None,None,None,None,None,0,48271,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elliotcwilliams', 'name': 'Elliot Williams', 'id': 144300104, 'id_str': '144300104', 'indices': [3, 19]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
8,1311347354134433792,2020-09-30 16:49:07,RT @aplusk: I never thought in my lifetime that I would see the commander in chief give a military command to stand back and stand-by to wh…,None,None,None,None,None,0,2847,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aplusk', 'name': 'ashton kutcher', 'id': 19058681, 'id_str': '19058681', 'indices': [3, 10]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
9,1311347328221995009,2020-09-30 16:49:01,RT @stephenwertheim: The debate said all it needed to say about foreign policy. Who could watch it and think the United States is the indis…,None,None,None,None,None,0,116,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stephenwertheim', 'name': 'Stephen Wertheim', 'id': 51606154, 'id_str': '51606154', 'indices': [3, 19]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
10,1311347278607646722,2020-09-30 16:48:49,RT @marclamonthill: Trump didn’t denounce White supremacists. He told them to “stand back and stand by.” This wasn’t an accident.,None,None,None,None,None,0,95686,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'marclamonthill', 'name': 'Marc Lamont Hill', 'id': 20068679, 'id_str': '20068679', 'indices': [3, 18]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
11,1311127109566214144,2020-09-30 02:13:57,"RT @AssalRad: He didn’t condemn white supremacists, he told them to *stand by* #Debates2020",None,None,None,None,None,0,12,Twitter for iPhone,"California, USA","{'hashtags': [{'text': 'Debates2020', 'indices': [79, 91]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AssalRad', 'name': 'Assal Rad', 'id': 1094276372044800000, 'id_str': '1094276372044800000', 'indices': [3, 12]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
12,1311115543584206850,2020-09-30 01:27:59,It’s like watching the Kardashians ?? ??????? https://t.co/rly3osikGP,None,None,None,None,None,2,0,Twitter for iPhone,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rly3osikGP', 'expanded_url': 'https://twitter.com/AssalRad/status/1311113891062013953', 'display_url': 'twitter.com/AssalRad/statu…', 'indices': [43, 66]}]}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
13,1311114947594657792,2020-09-30 01:25:37,RT @davejorgenson: Remember to tweet direct quotes from the debate as fast as you can. No one else will be doing this.,None,None,None,None,None,0,2929,Twitter for iPhone,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'davejorgenson', 'name': 'Washington Post TikTok Guy ??', 'id': 190063585, 'id_str': '190063585', 'indices': [3, 17]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
14,1311114842724470784,2020-09-30 01:25:12,RT @WajahatAli: Biden's attack on Trump for his failure to lead on coronavirus is his strongest moment yet. Keep it simple. And he repeated…,None,None,None,None,None,0,64,Twitter for iPhone,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WajahatAli', 'name': 'Wajahat ""Wears a Mask Because of a Pandemic"" Ali', 'id': 21733692, 'id_str': '21733692', 'indices': [3, 14]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
15,1311114726068240384,2020-09-30 01:24:44,"RT @AssalRad: This is insane to watch, is there a mercy rule in presidential debates for the audience? Can this be rained out? #Presidentia…",None,None,None,None,None,0,3,Twitter for iPhone,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AssalRad', 'name': 'Assal Rad', 'id': 1094276372044800000, 'id_str': '1094276372044800000', 'indices': [3, 12]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
16,1311079993464598530,2020-09-29 23:06:43,RT @2lesslegs: My arrest last night. I just got released at noon. PPB really enjoyed themselves too; locking me up in a isolation cell for…,None,None,None,None,None,0,8720,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '2lesslegs', 'name': '2LessLegs', 'id': 1259912573404626944, 'id_str': '1259912573404626944', 'indices': [3, 13]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
17,1311079975064231936,2020-09-29 23:06:39,"RT @mehdirhasan: Biden needs to say this word for word tonight. I’d love to see Trump’s face, live.",None,None,None,None,None,0,367,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mehdirhasan', 'name': 'Mehdi Hasan', 'id': 130557513, 'id_str': '130557513', 'indices': [3, 15]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
18,1311079933238677507,2020-09-29 23:06:29,"RT @stephenwertheim: ""If, in ten years, all American troops stationed in Europe for national defense purposes have not been returned to the…",None,None,None,None,None,0,79,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stephenwertheim', 'name': 'Stephen Wertheim', 'id': 51606154, 'id_str': '51606154', 'indices': [3, 19]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
19,1311079922039881728,2020-09-29 23:06:26,"RT @JoshuaPotash: Oh my God they weren’t even given the option of indicting the murderers 

https://t.co/zu5AjoXDcg",None,None,None,None,None,0,3309,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoshuaPotash', 'name': 'Joshua Potash', 'id': 1090715513586679813, 'id_str': '1090715513586679813', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/zu5AjoXDcg', 'expanded_url': 'https://news.yahoo.com/breonna-taylor-case-grand-juror-152501558.html', 'display_url': 'news.yahoo.com/breonna-taylor…', 'indices': [92, 115]}]}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
20,1311079906961317888,2020-09-29 23:06:23,RT @RyeCostello: Iran hawks want to pretend that regime collapse is just one sanction away - yet it is Iran's civilian population that is t…,None,None,None,None,None,0,33,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RyeCostello', 'name': 'Ryan Costello', 'id': 484129385, 'id_str': '484129385', 'indices': [3, 15]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,False
21,1311079839634391040,2020-09-29 23:06:07,"RT @Ammir: ???? ????? ?? ??? ?????? ????? ?? ???? ?? ?????? ???? ????? ?? ????? ???? ?? ??? ???? ????? ???? ???? ????? ???? ?????? ????? ??…",None,None,None,None,None,0,27,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ammir', 'name': 'AmiR Rashidi', 'id': 16716834, 'id_str': '16716834', 'indices': [3, 9]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,fa,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
22,1311079821326217217,2020-09-29 23:06:02,"RT @KateKizer: So the plan is to destabilize Iraq + have no way of communicating with the Iraqi government except via the military, all to…",None,None,None,None,None,0,13,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KateKizer', 'name': 'Kate Kizer', 'id': 2962571709, 'id_str': '2962571709', 'indices': [3, 13]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
23,1311079821326217217,2020-09-29 23:06:02,"RT @KateKizer: So the plan is to destabilize Iraq + have no way of communicating with the Iraqi government except via the military, all to…",None,None,None,None,None,0,13,Twitter for iPad,"California, USA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KateKizer', 'name': 'Kate Kizer', 'id': 2962571709, 'id_str': '2962571709', 'indices': [3, 13]}], 'urls': []}",158,False,230,False,Sanna (The Unicorn Troll),False,False,en,My wife’s one woman troll army ????#proudfin????,True,Satabir66,5182,False,True
