id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1311348479436812288,2020-09-30 16:53:35,RT @ariyondailey: Not voting is not the power move you think it is. ??,None,None,None,None,None,0,51148,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ariyondailey', 'name': 'Ariyon Dailey', 'id': 3333183124, 'id_str': '3333183124', 'indices': [3, 16]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
2,1311343356522319873,2020-09-30 16:33:14,RT @ava: @theferocity Undecided = I’m a racist and I don’t wanna say it out loud.,None,None,None,None,None,0,2022,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ava', 'name': 'Ava DuVernay', 'id': 14982804, 'id_str': '14982804', 'indices': [3, 7]}, {'screen_name': 'theferocity', 'name': 'Saeed Jones', 'id': 15649438, 'id_str': '15649438', 'indices': [9, 21]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
3,1309636024016879616,2020-09-25 23:28:54,RT @tiffusss: I literally do not know a single woman who hasn’t been sexually assaulted/harassed in some capacity,None,None,None,None,None,0,23694,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tiffusss', 'name': 'piff tiff', 'id': 1069334803, 'id_str': '1069334803', 'indices': [3, 12]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,True
4,1309636024016879616,2020-09-25 23:28:54,RT @tiffusss: I literally do not know a single woman who hasn’t been sexually assaulted/harassed in some capacity,None,None,None,None,None,0,23694,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tiffusss', 'name': 'piff tiff', 'id': 1069334803, 'id_str': '1069334803', 'indices': [3, 12]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,True
5,1307602515127496711,2020-09-20 08:48:28,RT @harrisonredmond: https://t.co/eS0A0Iw5Bz.www\creedthoughts,None,None,None,None,None,0,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'harrisonredmond', 'name': 'Harrison Redmond', 'id': 1102673510, 'id_str': '1102673510', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/eS0A0Iw5Bz', 'expanded_url': 'http://www.creedthoughts.gov', 'display_url': 'creedthoughts.gov', 'indices': [21, 44]}]}",333,False,372,False,Clare ??,False,False,und,@MissionForAZ organizer :),True,clurd_,1847,False,True
6,1307380877769367554,2020-09-19 18:07:45,"RT @armoneejacksonn: Republicans are really trying to overturn Roe v. Wade. For people who HATE being told what to do, i.e. wear masks, y’a…",None,None,None,None,None,0,129,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'armoneejacksonn', 'name': 'Armonee D. Jackson', 'id': 1078753698933657600, 'id_str': '1078753698933657600', 'indices': [3, 19]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
7,1307232619361267713,2020-09-19 08:18:38,RT @teddylake: https://t.co/4vc44Fxinn,None,None,None,None,None,0,8,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'teddylake', 'name': 'Teddy', 'id': 1258162817925967872, 'id_str': '1258162817925967872', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/4vc44Fxinn', 'expanded_url': 'http://mobilize.us/missionforaz', 'display_url': 'mobilize.us/missionforaz', 'indices': [15, 38]}]}",333,False,372,False,Clare ??,False,False,und,@MissionForAZ organizer :),True,clurd_,1847,False,True
8,1307189922873241601,2020-09-19 05:28:58,"RT @colleenwach: Reflecting on how RBG made the world I live in as a woman safer and more equitable, and how close that progress is to crum…",None,None,None,None,None,0,5,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'colleenwach', 'name': 'Colleen Wachenfeld', 'id': 707107188, 'id_str': '707107188', 'indices': [3, 15]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
9,1307177809530351621,2020-09-19 04:40:50,RT @AOC: Now is not the time for cynicism or hopelessness. There is and continues to be political possibility to preserve our democracy &amp; m…,None,None,None,None,None,0,7206,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AOC', 'name': 'Alexandria Ocasio-Cortez', 'id': 138203134, 'id_str': '138203134', 'indices': [3, 7]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
10,1307177753372848130,2020-09-19 04:40:37,RT @anaxkaren: if you’re an Arizona voter I feel like this is an important difference to note https://t.co/oe3QUf1omN,None,None,None,None,None,0,3115,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anaxkaren', 'name': 'Anakaren', 'id': 1348041608, 'id_str': '1348041608', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1307132308017893379, 'id_str': '1307132308017893379', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/EiPd6J3X0AMQ3xv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EiPd6J3X0AMQ3xv.jpg', 'url': 'https://t.co/oe3QUf1omN', 'display_url': 'pic.twitter.com/oe3QUf1omN', 'expanded_url': 'https://twitter.com/anaxkaren/status/1307132314342879232/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 750, 'h': 1624, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1307132314342879232, 'source_status_id_str': '1307132314342879232', 'source_user_id': 1348041608, 'source_user_id_str': '1348041608'}]}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
11,1307139009274093569,2020-09-19 02:06:39,RT @teddylake: https://t.co/4vc44FfHvP,None,None,None,None,None,0,6,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'teddylake', 'name': 'Teddy', 'id': 1258162817925967872, 'id_str': '1258162817925967872', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/4vc44FfHvP', 'expanded_url': 'http://mobilize.us/missionforaz', 'display_url': 'mobilize.us/missionforaz', 'indices': [15, 38]}]}",333,False,372,False,Clare ??,False,False,und,@MissionForAZ organizer :),True,clurd_,1847,False,True
12,1307131621024452608,2020-09-19 01:37:18,RT @colleenwach: BREAKING: Arizona's unelected Senator wants to put in place an illegitimate Supreme Court Justice,None,None,None,None,None,0,6,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'colleenwach', 'name': 'Colleen Wachenfeld', 'id': 707107188, 'id_str': '707107188', 'indices': [3, 15]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,True
13,1307107991842426882,2020-09-19 00:03:24,RT @ecox_21: Call your senators. Volunteer. This is now the single most important election in American history 0 debate. And don’t even THI…,None,None,None,None,None,0,3,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
14,1307107854965452801,2020-09-19 00:02:52,"RT @Curt_KEdmonds: Please everybody, do it for John Lewis, do it for RBG, for the millions of lives loss to COVID. Seriously vote as if you…",None,None,None,None,None,0,147,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Curt_KEdmonds', 'name': 'Curtis Edmonds ????\u200d??', 'id': 251475384, 'id_str': '251475384', 'indices': [3, 17]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
15,1307107826360344576,2020-09-19 00:02:45,RT @amandalitman: May her memory be a revolution.,None,None,None,None,None,0,46163,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amandalitman', 'name': 'Amanda Litman', 'id': 3488471, 'id_str': '3488471', 'indices': [3, 16]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
16,1305370255338795011,2020-09-14 04:58:16,RT @megjohnston_: I don’t know this feeling,None,None,None,None,None,0,1,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'megjohnston_', 'name': 'Meg Johnston', 'id': 627004599, 'id_str': '627004599', 'indices': [3, 16]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,True
17,1305013128967499776,2020-09-13 05:19:10,RT @iJaadee: That’s 6 too many.,None,None,None,None,None,0,11219,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iJaadee', 'name': 'Thee BLUEPRINT ??', 'id': 844632740, 'id_str': '844632740', 'indices': [3, 11]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,True
18,1304308320316960768,2020-09-11 06:38:31,"RT @harrisonredmond: Emphatic reminder ??

The pandemic is NOT over. Those of you going to bars, indoor dining, &amp; refusing to wear masks ne…",None,None,None,None,None,0,11,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'harrisonredmond', 'name': 'Harrison Redmond', 'id': 1102673510, 'id_str': '1102673510', 'indices': [3, 19]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
19,1303885529457385473,2020-09-10 02:38:29,RT @sara_kahanamoku: White people stop moving to Hawai’i in the middle of a pandemic and endangering our Native communities Challenge,None,None,None,None,None,0,481,Twitter for iPhone,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sara_kahanamoku', 'name': 'Sara Tenamoeata Kahanamoku', 'id': 976982475304927232, 'id_str': '976982475304927232', 'indices': [3, 19]}], 'urls': []}",333,False,372,False,Clare ??,False,False,en,@MissionForAZ organizer :),True,clurd_,1847,False,False
